,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.650,1.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
1,1846,2,-1.126,3.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
2,1846,3,0.104,0.999,-0.438,0.602,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
3,1846,4,0.158,1.002,-0.375,0.595,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
4,1846,5,0.252,1.428,-0.368,0.609,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
5,1846,6,0.237,0.903,-0.233,0.612,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
6,1846,7,-0.298,1.232,-0.300,0.585,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
7,1846,8,-0.357,1.106,-0.265,0.830,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
8,1846,9,0.239,1.874,-0.417,0.803,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
9,1846,10,-1.060,2.163,-0.533,0.726,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
10,1846,11,-0.433,4.704,-0.572,0.628,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
11,1846,12,-1.159,1.985,-0.723,0.631,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
12,1847,1,-0.158,1.604,-0.756,0.685,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
13,1847,2,-0.702,1.239,-0.845,0.624,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
14,1847,3,-1.726,1.029,-0.987,0.544,NaN,NaN,NaN,NaN,NaN,NaN,25.23,0.27
15,1847,4,-1.237,1.486,-1.039,0.610,-0.897,NaN,NaN,NaN,NaN,NaN,25.23,0.27
16,1847,5,-0.212,1.314,-1.068,0.543,-0.888,NaN,NaN,NaN,NaN,NaN,25.23,0.27
17,1847,6,-1.574,0.942,-0.993,0.554,-0.874,NaN,NaN,NaN,NaN,NaN,25.23,0.27
18,1847,7,-0.689,0.856,-1.010,0.746,-0.912,0.575,NaN,NaN,NaN,NaN,25.23,0.27
19,1847,8,-1.429,1.795,-0.905,0.897,-0.890,0.604,NaN,NaN,NaN,NaN,25.23,0.27
20,1847,9,-1.469,1.177,-0.825,0.913,-0.888,0.624,NaN,NaN,NaN,NaN,25.23,0.27
21,1847,10,-1.686,1.278,-0.786,0.913,-0.899,0.623,NaN,NaN,NaN,NaN,25.23,0.27
22,1847,11,-0.778,2.510,-0.836,0.949,-0.880,0.626,NaN,NaN,NaN,NaN,25.23,0.27
23,1847,12,-0.251,1.790,-0.753,0.916,-0.869,0.631,NaN,NaN,NaN,NaN,25.23,0.27
24,1848,1,-0.371,6.132,-0.793,0.822,-0.849,0.644,NaN,NaN,NaN,NaN,25.23,0.27
