,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1879,1,-0.426,1.740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
1,1879,2,-0.513,1.715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
2,1879,3,-0.552,1.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
3,1879,4,-0.509,1.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
4,1879,5,-0.579,1.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
5,1879,6,-0.509,1.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
6,1879,7,-1.127,1.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
7,1879,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
8,1879,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
9,1879,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
10,1879,11,-0.190,1.293,-0.794,1.290,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
11,1879,12,-1.001,1.302,-0.735,1.232,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
12,1880,1,-1.224,2.381,-0.574,1.043,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
13,1880,2,-1.462,2.162,-0.512,0.997,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
14,1880,3,-1.488,2.502,-0.531,1.040,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
15,1880,4,-1.173,2.279,-0.602,1.116,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
16,1880,5,-1.064,2.410,-0.635,1.096,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
17,1880,6,0.202,1.082,-0.642,1.094,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
18,1880,7,0.803,1.619,-0.653,1.087,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
19,1880,8,0.459,1.425,-0.581,1.033,NaN,NaN,NaN,NaN,NaN,NaN,28.02,0.60
20,1880,9,-0.224,1.119,-0.538,1.035,-0.376,0.698,NaN,NaN,NaN,NaN,28.02,0.60
21,1880,10,-0.864,1.535,-0.511,1.029,-0.388,0.686,NaN,NaN,NaN,NaN,28.02,0.60
22,1880,11,-0.585,1.252,-0.510,1.064,-0.388,0.675,NaN,NaN,NaN,NaN,28.02,0.60
23,1880,12,-1.089,1.285,-0.639,1.195,-0.388,0.676,NaN,NaN,NaN,NaN,28.02,0.60
24,1881,1,-1.346,1.836,-0.791,1.434,-0.388,0.668,NaN,NaN,NaN,NaN,28.02,0.60
25,1881,2,-0.609,1.437,-0.805,1.474,-0.400,0.667,NaN,NaN,NaN,NaN,28.02,0.60
26,1881,3,-0.969,2.413,-0.810,1.439,-0.413,0.667,NaN,NaN,NaN,NaN,28.02,0.60
27,1881,4,-0.844,2.354,-0.756,1.369,-0.430,0.666,NaN,NaN,NaN,NaN,28.02,0.60
28,1881,5,-1.060,2.914,-0.719,1.307,-0.454,0.659,NaN,NaN,NaN,NaN,28.02,0.60
29,1881,6,-1.337,2.718,NaN,NaN,-0.466,0.651,NaN,NaN,NaN,NaN,28.02,0.60
30,1881,7,-1.028,2.525,NaN,NaN,-0.472,0.626,NaN,NaN,NaN,NaN,28.02,0.60
31,1881,8,NaN,NaN,NaN,NaN,-0.462,0.588,NaN,NaN,NaN,NaN,28.02,0.60
32,1881,9,NaN,NaN,NaN,NaN,-0.464,0.576,NaN,NaN,NaN,NaN,28.02,0.60
33,1881,10,NaN,NaN,NaN,NaN,-0.456,0.544,NaN,NaN,NaN,NaN,28.02,0.60
34,1881,11,-0.138,1.433,NaN,NaN,-0.455,0.529,NaN,NaN,NaN,NaN,28.02,0.60
35,1881,12,-0.627,1.529,NaN,NaN,-0.453,0.525,NaN,NaN,NaN,NaN,28.02,0.60
36,1882,1,0.075,1.294,NaN,NaN,-0.436,0.500,NaN,NaN,NaN,NaN,28.02,0.60
37,1882,2,0.150,1.065,-0.278,0.587,-0.438,0.495,NaN,NaN,NaN,NaN,28.02,0.60
38,1882,3,-0.349,1.183,-0.291,0.601,-0.441,0.488,-0.232,0.340,NaN,NaN,28.02,0.60
39,1882,4,-0.594,1.005,-0.307,0.586,-0.447,0.479,-0.230,0.338,NaN,NaN,28.02,0.60
40,1882,5,-0.440,1.084,-0.246,0.537,-0.455,0.466,-0.231,0.350,NaN,NaN,28.02,0.60
41,1882,6,-0.126,0.983,-0.232,0.513,-0.449,0.455,-0.242,0.352,NaN,NaN,28.02,0.60
42,1882,7,-0.475,0.994,-0.311,0.484,-0.446,0.425,-0.259,0.345,NaN,NaN,28.02,0.60
43,1882,8,-0.319,1.095,-0.379,0.458,-0.423,0.397,-0.275,0.347,NaN,NaN,28.02,0.60
44,1882,9,-0.432,1.301,-0.417,0.460,-0.400,0.374,-0.281,0.349,NaN,NaN,28.02,0.60
45,1882,10,-0.412,1.018,-0.364,0.466,-0.380,0.353,-0.280,0.348,NaN,NaN,28.02,0.60
46,1882,11,0.603,1.673,-0.323,0.490,-0.343,0.334,-0.276,0.341,NaN,NaN,28.02,0.60
47,1882,12,-0.462,0.983,-0.263,0.482,-0.334,0.327,-0.286,0.344,NaN,NaN,28.02,0.60
48,1883,1,-0.880,0.957,-0.195,0.493,-0.328,0.321,-0.294,0.343,NaN,NaN,28.02,0.60
49,1883,2,-0.663,1.660,-0.189,0.514,-0.328,0.311,-0.304,0.341,NaN,NaN,28.02,0.60
50,1883,3,-0.798,1.090,-0.199,0.521,-0.332,0.303,-0.313,0.335,NaN,NaN,28.02,0.60
51,1883,4,0.038,1.242,-0.208,0.539,-0.325,0.294,-0.327,0.328,NaN,NaN,28.02,0.60
52,1883,5,0.048,1.232,-0.298,0.502,-0.325,0.283,-0.341,0.330,NaN,NaN,28.02,0.60
53,1883,6,0.599,1.068,-0.301,0.536,-0.320,0.286,-0.352,0.332,NaN,NaN,28.02,0.60
54,1883,7,0.344,1.099,-0.292,0.528,-0.321,0.283,-0.367,0.326,NaN,NaN,28.02,0.60
55,1883,8,-0.257,1.144,-0.233,0.526,-0.316,0.283,-0.378,0.327,NaN,NaN,28.02,0.60
56,1883,9,-0.541,1.077,-0.221,0.528,-0.301,0.283,-0.379,0.324,NaN,NaN,28.02,0.60
57,1883,10,-0.529,0.968,-0.227,0.551,-0.295,0.292,-0.389,0.331,NaN,NaN,28.02,0.60
58,1883,11,-0.476,1.031,-0.275,0.545,-0.261,0.292,-0.398,0.334,NaN,NaN,28.02,0.60
59,1883,12,-0.490,1.446,-0.353,0.544,-0.214,0.306,-0.401,0.341,NaN,NaN,28.02,0.60
60,1884,1,-0.783,0.985,-0.394,0.568,-0.185,0.320,-0.405,0.336,NaN,NaN,28.02,0.60
61,1884,2,0.056,1.571,-0.403,0.570,-0.190,0.326,-0.396,0.325,NaN,NaN,28.02,0.60
62,1884,3,-0.657,1.049,-0.375,0.627,-0.191,0.325,-0.389,0.323,NaN,NaN,28.02,0.60
63,1884,4,-0.041,1.628,-0.361,0.665,-0.193,0.322,-0.385,0.313,NaN,NaN,28.02,0.60
64,1884,5,-0.525,1.090,-0.376,0.666,-0.190,0.313,-0.374,0.307,NaN,NaN,28.02,0.60
65,1884,6,-0.334,1.120,-0.389,0.665,-0.193,0.316,-0.358,0.300,NaN,NaN,28.02,0.60
66,1884,7,-0.151,1.275,-0.413,0.722,-0.212,0.319,-0.336,0.286,NaN,NaN,28.02,0.60
67,1884,8,-0.369,1.125,-0.426,0.726,-0.222,0.317,-0.329,0.282,-0.199,0.216,28.02,0.60
68,1884,9,-0.195,1.198,-0.378,0.745,-0.230,0.306,-0.328,0.282,-0.199,0.217,28.02,0.60
69,1884,10,-0.367,1.106,-0.371,0.710,-0.220,0.308,-0.324,0.279,-0.203,0.215,28.02,0.60
70,1884,11,-0.653,1.103,-0.231,0.858,-0.219,0.292,-0.322,0.274,-0.198,0.214,28.02,0.60
71,1884,12,-0.649,1.257,-0.142,0.986,-0.236,0.284,-0.316,0.274,-0.198,0.213,28.02,0.60
72,1885,1,-1.074,1.345,-0.031,1.051,-0.252,0.288,-0.309,0.265,-0.191,0.211,28.02,0.60
73,1885,2,-0.096,1.433,0.037,1.035,-0.263,0.278,-0.303,0.259,-0.183,0.207,28.02,0.60
74,1885,3,-0.084,1.082,0.014,0.972,-0.263,0.287,-0.297,0.253,-0.182,0.205,28.02,0.60
75,1885,4,0.039,1.357,0.008,0.864,-0.261,0.290,-0.295,0.244,-0.177,0.204,28.02,0.60
76,1885,5,1.155,2.908,0.012,0.771,-0.259,0.291,-0.287,0.237,-0.182,0.203,28.02,0.60
77,1885,6,0.737,1.827,-0.001,0.612,-0.264,0.289,-0.293,0.236,-0.187,0.204,28.02,0.60
78,1885,7,1.188,1.965,-0.028,0.531,-0.264,0.294,-0.308,0.234,-0.193,0.204,28.02,0.60
79,1885,8,0.439,1.109,-0.043,0.534,-0.263,0.291,-0.318,0.231,-0.196,0.203,28.02,0.60
80,1885,9,-0.467,1.036,-0.044,0.542,-0.250,0.303,-0.320,0.228,-0.198,0.203,28.02,0.60
81,1885,10,-0.442,1.401,-0.087,0.540,-0.266,0.313,-0.316,0.222,-0.199,0.201,28.02,0.60
82,1885,11,-0.606,1.427,-0.102,0.428,-0.293,0.312,-0.312,0.219,-0.188,0.197,28.02,0.60
83,1885,12,-0.801,2.147,-0.038,0.441,-0.317,0.310,-0.309,0.217,-0.187,0.198,28.02,0.60
84,1886,1,-1.400,1.377,-0.077,0.557,-0.346,0.311,-0.305,0.213,-0.179,0.196,28.02,0.60
85,1886,2,-0.273,1.453,-0.118,0.538,-0.356,0.312,-0.307,0.213,-0.181,0.196,28.02,0.60
86,1886,3,-0.092,1.174,-0.106,0.552,-0.346,0.317,-0.305,0.209,-0.179,0.195,28.02,0.60
87,1886,4,-0.481,1.473,-0.094,0.586,-0.348,0.303,-0.296,0.205,-0.180,0.194,28.02,0.60
88,1886,5,0.977,1.468,-0.041,0.568,-0.341,0.295,-0.293,0.203,-0.177,0.192,28.02,0.60
89,1886,6,1.497,2.143,-0.044,0.535,-0.336,0.280,-0.287,0.207,-0.181,0.193,28.02,0.60
90,1886,7,0.721,1.868,-0.016,0.565,-0.337,0.275,-0.269,0.209,-0.181,0.192,28.02,0.60
91,1886,8,-0.048,1.171,-0.027,0.551,-0.329,0.279,-0.273,0.207,-0.182,0.191,28.02,0.60
92,1886,9,-0.328,1.044,-0.090,0.577,-0.314,0.277,-0.270,0.206,-0.182,0.191,28.02,0.60
93,1886,10,-0.297,1.270,-0.048,0.678,-0.313,0.271,-0.265,0.207,-0.178,0.190,28.02,0.60
