,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1833,1,-3.112,3.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
1,1833,2,3.551,3.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
2,1833,3,-0.728,3.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
3,1833,4,-1.526,2.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
4,1833,5,4.498,3.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
5,1833,6,1.628,3.703,0.079,1.502,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
6,1833,7,-1.730,3.353,0.754,1.732,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
7,1833,8,-3.881,2.800,0.665,1.734,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
8,1833,9,-1.472,3.127,0.729,1.810,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
9,1833,10,-0.221,3.274,0.742,1.792,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
10,1833,11,-0.275,2.821,0.675,1.699,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
11,1833,12,4.214,3.200,0.742,1.594,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
12,1834,1,4.989,3.306,1.294,1.601,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
13,1834,2,2.489,3.072,1.862,1.709,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
14,1834,3,0.030,2.813,2.292,1.621,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
15,1834,4,-1.365,2.844,2.400,1.560,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
16,1834,5,3.697,2.998,2.456,1.569,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
17,1834,6,2.432,2.968,2.216,1.527,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
18,1834,7,4.891,3.386,1.955,1.484,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
19,1834,8,2.930,3.168,1.988,1.455,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
20,1834,9,3.693,2.874,1.936,1.446,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
21,1834,10,1.075,2.817,1.994,1.432,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
22,1834,11,0.402,2.841,1.755,1.379,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
23,1834,12,1.327,2.845,1.524,1.370,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
24,1835,1,1.862,2.861,1.288,1.330,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
25,1835,2,2.885,2.846,1.032,1.302,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
26,1835,3,-0.591,2.784,0.790,1.361,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
27,1835,4,-0.673,2.788,0.571,1.359,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
28,1835,5,0.826,3.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
29,1835,6,-0.341,2.884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
30,1835,7,2.062,2.874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
31,1835,8,-0.148,2.880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
32,1835,9,0.796,3.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
33,1835,10,-1.558,2.785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
34,1835,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
35,1835,12,-1.902,3.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
36,1836,1,-1.011,3.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
37,1836,2,1.112,3.205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
38,1836,3,4.607,4.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
39,1836,4,-0.489,2.954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
40,1836,5,-2.868,3.105,-0.071,1.604,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
41,1836,6,-0.509,2.799,0.218,1.588,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
42,1836,7,0.342,2.842,0.381,1.556,NaN,NaN,NaN,NaN,NaN,NaN,7.80,0.79
