,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.201,2.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
1,1814,2,-5.025,2.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
2,1814,3,-3.076,1.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
3,1814,4,1.257,2.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
4,1814,5,-2.655,2.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
5,1814,6,-1.638,3.185,-1.572,1.201,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
6,1814,7,-0.797,1.798,-1.602,1.178,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
7,1814,8,-1.425,2.050,-1.083,1.141,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
8,1814,9,-2.976,3.311,-0.655,1.150,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
9,1814,10,-2.114,1.686,-0.702,1.130,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
10,1814,11,0.564,1.990,-0.407,1.132,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
11,1814,12,1.223,1.763,-0.350,1.009,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
12,1815,1,-2.564,2.039,-0.505,1.056,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
13,1815,2,1.211,1.845,-0.589,0.995,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
14,1815,3,2.053,1.892,-0.436,1.081,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
15,1815,4,0.693,1.959,-0.247,1.142,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
16,1815,5,0.880,2.090,-0.427,1.114,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
17,1815,6,-0.944,1.867,-0.752,1.102,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
18,1815,7,-2.657,2.201,-0.562,1.105,NaN,NaN,NaN,NaN,NaN,NaN,17.00,1.46
