,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-1.223,1.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
1,1878,2,-1.356,2.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
2,1878,3,0.936,1.461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
3,1878,4,0.494,1.358,0.104,0.862,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
4,1878,5,1.263,1.346,0.138,0.841,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
5,1878,6,-0.308,1.458,0.217,0.832,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
6,1878,7,NaN,NaN,0.401,0.766,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
7,1878,8,0.370,1.946,0.537,0.822,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
8,1878,9,1.344,1.643,0.398,0.927,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
9,1878,10,0.507,1.367,0.352,0.904,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
10,1878,11,-0.075,1.405,0.208,0.852,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
11,1878,12,0.429,1.898,0.167,0.799,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
12,1879,1,0.993,1.128,0.174,0.785,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
13,1879,2,0.270,1.645,0.132,0.710,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
14,1879,3,-0.734,2.097,0.044,0.749,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
15,1879,4,-0.055,1.561,-0.004,0.708,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
16,1879,5,-0.466,1.557,0.019,0.714,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
17,1879,6,-0.805,1.750,0.036,0.697,NaN,NaN,NaN,NaN,NaN,NaN,34.40,0.65
18,1879,7,0.312,1.291,0.049,0.686,0.116,0.358,NaN,NaN,NaN,NaN,34.40,0.65
19,1879,8,NaN,NaN,-0.140,0.636,0.090,0.361,NaN,NaN,NaN,NaN,34.40,0.65
