,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1871,1,-0.769,1.443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
1,1871,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
2,1871,3,-0.347,1.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
3,1871,4,-0.722,1.618,-0.860,0.736,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
4,1871,5,-1.154,1.641,-0.908,0.670,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
5,1871,6,-0.543,1.674,-0.924,0.593,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
6,1871,7,-1.180,1.508,-0.973,0.691,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
7,1871,8,-0.883,1.516,-1.025,0.825,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
8,1871,9,-1.806,1.582,-1.145,0.820,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
9,1871,10,-0.711,1.189,-1.174,0.781,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
10,1871,11,-0.447,1.993,-1.161,0.721,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
11,1871,12,-1.717,2.019,-1.161,0.694,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
12,1872,1,-1.351,1.933,-1.178,0.670,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
13,1872,2,-1.436,1.807,-1.119,0.637,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
14,1872,3,-1.793,1.494,-1.045,0.617,NaN,NaN,NaN,NaN,NaN,NaN,8.09,0.39
15,1872,4,-1.070,1.489,-1.060,0.633,-0.902,0.498,NaN,NaN,NaN,NaN,8.09,0.39
