,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.418,2.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
1,1880,9,-0.374,2.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
2,1880,10,-0.831,2.524,-0.406,1.242,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
3,1880,11,-0.181,2.583,-0.432,1.268,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
4,1880,12,-2.077,2.656,-0.597,1.246,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
5,1881,1,0.174,3.395,-0.681,1.259,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
6,1881,2,-1.241,1.838,-0.563,1.247,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
7,1881,3,-0.701,2.402,-0.654,1.274,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
8,1881,4,0.081,2.599,-0.711,1.296,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
9,1881,5,-0.376,1.939,-0.914,1.329,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
10,1881,6,-1.286,2.320,-1.045,1.323,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
11,1881,7,-0.937,2.312,-1.131,1.257,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
12,1881,8,0.998,1.565,-1.313,1.152,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
13,1881,9,-1.469,3.128,-1.302,1.038,NaN,NaN,NaN,NaN,NaN,NaN,13.74,2.12
14,1881,10,-1.517,2.003,-1.491,1.031,-0.609,0.520,NaN,NaN,NaN,NaN,13.74,2.12
15,1881,11,-2.619,1.659,-1.506,0.977,-0.622,0.520,NaN,NaN,NaN,NaN,13.74,2.12
16,1881,12,-3.647,1.867,-1.369,0.928,-0.615,0.520,NaN,NaN,NaN,NaN,13.74,2.12
17,1882,1,-0.864,1.974,-1.139,0.942,-0.621,0.516,NaN,NaN,NaN,NaN,13.74,2.12
18,1882,2,-3.420,1.259,-1.059,1.054,-0.641,0.518,NaN,NaN,NaN,NaN,13.74,2.12
19,1882,3,-0.568,1.668,-0.992,0.794,-0.709,0.538,NaN,NaN,NaN,NaN,13.74,2.12
20,1882,4,-2.191,1.641,-1.195,0.702,-0.706,0.536,NaN,NaN,NaN,NaN,13.74,2.12
21,1882,5,-0.549,1.571,-0.940,0.531,-0.718,0.537,NaN,NaN,NaN,NaN,13.74,2.12
22,1882,6,0.351,1.964,-0.685,0.440,-0.670,0.533,NaN,NaN,NaN,NaN,13.74,2.12
23,1882,7,1.828,3.208,-0.929,0.520,-0.717,0.559,NaN,NaN,NaN,NaN,13.74,2.12
24,1882,8,1.953,3.054,-0.956,0.463,-0.697,0.559,NaN,NaN,NaN,NaN,13.74,2.12
25,1882,9,-0.662,2.892,-0.920,0.498,-0.699,0.544,NaN,NaN,NaN,NaN,13.74,2.12
26,1882,10,-3.950,1.911,-0.897,0.470,-0.725,0.548,NaN,NaN,NaN,NaN,13.74,2.12
27,1882,11,0.433,2.197,-0.792,0.390,-0.711,0.540,NaN,NaN,NaN,NaN,13.74,2.12
28,1882,12,-0.580,1.145,-0.760,0.423,-0.721,0.507,NaN,NaN,NaN,NaN,13.74,2.12
29,1883,1,-3.796,1.667,-0.802,0.589,-0.720,0.475,-0.420,0.343,NaN,NaN,13.74,2.12
30,1883,2,-3.743,2.183,-0.917,0.839,-0.723,0.477,-0.414,0.338,NaN,NaN,13.74,2.12
31,1883,3,-0.134,1.347,-0.782,0.703,-0.724,0.472,-0.414,0.340,NaN,NaN,13.74,2.12
32,1883,4,-1.918,1.538,-0.357,0.693,-0.699,0.461,-0.414,0.350,NaN,NaN,13.74,2.12
33,1883,5,0.716,2.071,-0.387,0.610,-0.707,0.476,-0.422,0.357,NaN,NaN,13.74,2.12
34,1883,6,0.735,1.865,-0.418,0.573,-0.663,0.470,-0.440,0.369,NaN,NaN,13.74,2.12
35,1883,7,1.327,2.613,-0.076,0.546,-0.677,0.451,-0.437,0.372,NaN,NaN,13.74,2.12
36,1883,8,0.571,2.053,0.176,0.511,-0.694,0.450,-0.433,0.377,NaN,NaN,13.74,2.12
37,1883,9,0.953,1.298,0.070,0.538,-0.687,0.436,-0.450,0.376,NaN,NaN,13.74,2.12
38,1883,10,1.159,1.620,0.111,0.589,-0.694,0.425,-0.431,0.372,NaN,NaN,13.74,2.12
39,1883,11,0.062,2.344,-0.113,0.504,-0.686,0.402,-0.452,0.371,NaN,NaN,13.74,2.12
40,1883,12,-0.943,1.858,-0.153,0.538,-0.652,0.392,-0.489,0.372,NaN,NaN,13.74,2.12
41,1884,1,0.305,1.597,-0.338,0.513,-0.648,0.393,-0.519,0.377,NaN,NaN,13.74,2.12
42,1884,2,-0.723,1.289,-0.487,0.550,-0.677,0.390,-0.512,0.385,NaN,NaN,13.74,2.12
43,1884,3,-1.409,1.459,-0.829,0.627,-0.666,0.389,-0.510,0.395,NaN,NaN,13.74,2.12
44,1884,4,-1.416,1.613,-0.953,0.613,-0.672,0.394,-0.510,0.400,NaN,NaN,13.74,2.12
45,1884,5,-1.980,1.737,-1.060,0.555,-0.655,0.387,-0.503,0.404,NaN,NaN,13.74,2.12
46,1884,6,0.255,1.464,-0.792,0.620,-0.587,0.373,-0.508,0.406,NaN,NaN,13.74,2.12
47,1884,7,-0.889,1.555,-1.099,0.736,-0.582,0.377,-0.491,0.408,NaN,NaN,13.74,2.12
48,1884,8,-1.224,1.858,-1.046,0.836,-0.552,0.383,-0.483,0.408,NaN,NaN,13.74,2.12
49,1884,9,-3.140,3.047,-0.935,0.755,-0.549,0.383,-0.487,0.417,NaN,NaN,13.74,2.12
50,1884,10,-0.334,1.748,-0.942,0.747,-0.525,0.378,-0.478,0.423,NaN,NaN,13.74,2.12
51,1884,11,-1.219,1.593,-0.712,0.910,-0.506,0.371,-0.493,0.425,NaN,NaN,13.74,2.12
52,1884,12,2.273,2.954,-0.726,0.847,-0.519,0.386,-0.515,0.426,NaN,NaN,13.74,2.12
53,1885,1,-3.379,2.356,-0.639,0.773,-0.550,0.391,-0.533,0.427,NaN,NaN,13.74,2.12
54,1885,2,-0.095,2.299,-0.588,0.760,-0.575,0.402,-0.544,0.431,NaN,NaN,13.74,2.12
55,1885,3,-0.076,1.254,-0.362,0.910,-0.547,0.390,-0.521,0.434,NaN,NaN,13.74,2.12
56,1885,4,-1.499,1.551,-0.279,0.833,-0.457,0.382,-0.520,0.434,NaN,NaN,13.74,2.12
57,1885,5,0.782,2.929,-0.234,0.795,-0.434,0.365,-0.507,0.434,NaN,NaN,13.74,2.12
58,1885,6,0.090,2.164,-0.375,0.684,-0.417,0.360,-0.500,0.434,NaN,NaN,13.74,2.12
59,1885,7,0.148,2.360,-0.151,0.629,-0.368,0.343,-0.492,0.434,-0.420,0.277,13.74,2.12
60,1885,8,-0.612,2.070,-0.332,0.676,-0.313,0.341,-0.473,0.429,-0.420,0.276,13.74,2.12
61,1885,9,-0.422,1.495,-0.345,0.674,-0.297,0.341,-0.465,0.428,-0.423,0.274,13.74,2.12
62,1885,10,0.656,1.363,-0.253,0.659,-0.267,0.355,-0.460,0.427,-0.414,0.269,13.74,2.12
63,1885,11,-0.675,2.403,-0.306,0.685,-0.299,0.372,-0.457,0.430,-0.417,0.268,13.74,2.12
64,1885,12,0.577,1.352,-0.252,0.715,-0.345,0.397,-0.473,0.428,-0.407,0.270,13.74,2.12
65,1886,1,-0.687,1.501,-0.324,0.840,-0.362,0.424,-0.489,0.438,-0.406,0.272,13.74,2.12
66,1886,2,-2.260,3.050,-0.333,0.863,-0.359,0.447,-0.494,0.427,-0.412,0.274,13.74,2.12
67,1886,3,-0.237,1.828,-0.367,0.973,-0.389,0.442,-0.473,0.409,-0.412,0.279,13.74,2.12
68,1886,4,-0.395,1.441,-0.574,1.151,-0.362,0.443,-0.478,0.400,-0.428,0.277,13.74,2.12
69,1886,5,0.150,1.760,-0.654,1.051,-0.393,0.437,-0.484,0.387,-0.431,0.274,13.74,2.12
70,1886,6,0.734,1.501,-0.666,1.015,-0.438,0.433,-0.473,0.374,-0.436,0.274,13.74,2.12
71,1886,7,-0.714,1.983,-0.653,0.988,-0.497,0.437,-0.467,0.360,-0.440,0.274,13.74,2.12
72,1886,8,-0.722,2.288,-0.599,0.845,-0.461,0.440,-0.474,0.348,-0.434,0.272,13.74,2.12
73,1886,9,-0.827,2.671,-0.616,0.841,-0.433,0.442,-0.461,0.329,-0.433,0.272,13.74,2.12
74,1886,10,-1.835,3.068,-0.645,0.881,-0.410,0.442,-0.442,0.321,-0.432,0.270,13.74,2.12
