,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1890,1,-1.582,0.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
1,1890,2,-1.538,0.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
2,1890,3,-1.877,0.708,-1.257,0.362,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
3,1890,4,-1.876,1.967,-1.207,0.333,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
4,1890,5,-1.167,0.899,-1.159,0.370,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
5,1890,6,-0.994,0.568,-1.170,0.362,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
6,1890,7,-1.629,1.577,-1.113,0.373,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
7,1890,8,-1.234,0.547,-1.108,0.454,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
8,1890,9,0.274,2.626,-1.033,0.480,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
9,1890,10,-0.521,0.533,-1.008,0.574,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
10,1890,11,-0.779,1.894,-0.993,0.545,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
11,1890,12,-1.120,0.564,-0.993,0.544,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
12,1891,1,-0.895,1.435,-0.963,0.593,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
13,1891,2,-1.477,1.644,-0.959,0.577,NaN,NaN,NaN,NaN,NaN,NaN,23.81,0.67
14,1891,3,-0.980,0.710,-1.087,0.371,-1.038,0.244,NaN,NaN,NaN,NaN,23.81,0.67
15,1891,4,-1.576,0.881,-1.130,0.389,-1.054,0.244,NaN,NaN,NaN,NaN,23.81,0.67
16,1891,5,-0.984,0.730,-1.163,0.344,-1.067,0.246,NaN,NaN,NaN,NaN,23.81,0.67
17,1891,6,-0.997,0.758,-1.161,0.327,-1.080,0.248,NaN,NaN,NaN,NaN,23.81,0.67
18,1891,7,-1.273,0.986,-1.201,0.372,-1.089,0.251,NaN,NaN,NaN,NaN,23.81,0.67
19,1891,8,-1.178,0.727,-1.205,0.462,-1.115,0.270,NaN,NaN,NaN,NaN,23.81,0.67
20,1891,9,-1.269,1.164,-1.219,0.446,-1.134,0.280,NaN,NaN,NaN,NaN,23.81,0.67
21,1891,10,-1.037,0.611,-1.193,0.431,-1.153,0.279,NaN,NaN,NaN,NaN,23.81,0.67
