,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1956,3,0.482,1.286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
1,1956,4,-0.074,1.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
2,1956,5,0.773,2.206,0.291,0.790,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
3,1956,6,0.641,2.026,0.428,0.801,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
4,1956,7,1.763,1.395,0.467,0.790,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
5,1956,8,-1.584,1.375,0.513,0.798,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
6,1956,9,1.676,1.582,0.492,0.818,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
7,1956,10,-0.377,1.522,0.596,0.812,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
8,1956,11,0.623,1.922,0.580,0.718,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
9,1956,12,1.426,1.553,0.569,0.592,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
10,1957,1,0.211,1.031,0.344,0.576,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
11,1957,2,0.381,1.035,0.601,0.590,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
12,1957,3,0.224,1.036,0.592,0.549,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
13,1957,4,1.172,1.028,0.698,0.484,NaN,NaN,NaN,NaN,NaN,NaN,-20.41,0.67
14,1957,5,0.592,1.081,0.709,0.438,0.169,0.289,NaN,NaN,NaN,NaN,-20.41,0.67
15,1957,6,0.510,1.185,0.648,0.430,0.170,0.285,NaN,NaN,NaN,NaN,-20.41,0.67
16,1957,7,-0.939,1.049,0.681,0.441,0.147,0.284,NaN,NaN,NaN,NaN,-20.41,0.67
17,1957,8,1.492,1.362,0.727,0.418,0.153,0.290,NaN,NaN,NaN,NaN,-20.41,0.67
18,1957,9,1.574,1.073,0.723,0.394,0.128,0.289,NaN,NaN,NaN,NaN,-20.41,0.67
19,1957,10,0.893,1.464,0.695,0.385,0.113,0.282,NaN,NaN,NaN,NaN,-20.41,0.67
20,1957,11,0.759,0.944,0.687,0.415,0.088,0.275,NaN,NaN,NaN,NaN,-20.41,0.67
21,1957,12,0.687,0.965,0.482,0.366,0.071,0.273,NaN,NaN,NaN,NaN,-20.41,0.67
22,1958,1,0.617,1.011,0.552,0.416,0.037,0.264,NaN,NaN,NaN,NaN,-20.41,0.67
23,1958,2,0.922,1.033,0.343,0.413,0.031,0.253,NaN,NaN,NaN,NaN,-20.41,0.67
24,1958,3,0.184,1.059,0.103,0.466,0.025,0.254,NaN,NaN,NaN,NaN,-20.41,0.67
25,1958,4,0.839,1.227,0.017,0.446,0.020,0.248,NaN,NaN,NaN,NaN,-20.41,0.67
26,1958,5,0.486,1.238,-0.049,0.444,0.010,0.244,NaN,NaN,NaN,NaN,-20.41,0.67
