,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1956,3,0.400,1.754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
1,1956,4,-0.443,1.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
2,1956,5,0.889,1.974,0.106,0.680,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
3,1956,6,0.733,1.465,0.194,0.675,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
4,1956,7,1.432,1.276,0.254,0.670,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
5,1956,8,-1.800,1.950,0.330,0.619,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
6,1956,9,1.555,1.493,0.317,0.591,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
7,1956,10,-0.478,1.605,0.438,0.583,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
8,1956,11,0.267,1.853,0.415,0.549,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
9,1956,12,0.297,1.528,0.414,0.503,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
10,1957,1,0.176,1.388,0.204,0.487,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
11,1957,2,0.335,1.198,0.456,0.512,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
12,1957,3,0.254,1.146,0.454,0.495,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
13,1957,4,0.998,1.029,0.571,0.489,NaN,NaN,NaN,NaN,NaN,NaN,-28.50,0.39
14,1957,5,0.625,0.983,0.587,0.483,0.142,0.415,NaN,NaN,NaN,NaN,-28.50,0.39
15,1957,6,0.720,2.261,0.621,0.445,0.160,0.423,NaN,NaN,NaN,NaN,-28.50,0.39
16,1957,7,-1.097,1.485,0.611,0.410,0.144,0.427,NaN,NaN,NaN,NaN,-28.50,0.39
17,1957,8,1.233,1.236,0.650,0.393,0.155,0.433,NaN,NaN,NaN,NaN,-28.50,0.39
