,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-0.796,2.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
1,1814,2,-4.994,2.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
2,1814,3,-0.999,2.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
3,1814,4,2.248,1.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
4,1814,5,-0.647,1.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
5,1814,6,-0.041,1.296,-0.107,1.315,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
6,1814,7,1.425,1.247,-0.131,1.264,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
7,1814,8,0.576,1.084,0.503,1.135,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
8,1814,9,-1.580,1.206,0.776,1.013,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
9,1814,10,-0.520,1.173,0.700,1.001,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
10,1814,11,1.423,2.285,0.993,1.031,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
11,1814,12,2.622,1.144,1.114,1.004,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
12,1815,1,-1.085,1.843,0.976,0.967,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
13,1815,2,2.608,1.272,0.936,0.979,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
14,1815,3,2.278,0.903,1.092,1.025,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
15,1815,4,1.344,1.176,1.273,1.092,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
16,1815,5,2.864,1.413,1.072,0.973,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
17,1815,6,1.415,0.954,0.690,0.985,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
18,1815,7,-0.230,0.957,0.937,0.961,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
19,1815,8,0.097,1.208,0.581,0.926,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
20,1815,9,0.292,1.642,0.406,0.902,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
21,1815,10,1.649,1.984,0.323,0.900,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
22,1815,11,-0.993,1.017,0.156,0.890,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
23,1815,12,-1.955,1.232,0.074,0.943,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
24,1816,1,1.871,1.709,0.108,1.041,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
25,1816,2,-1.662,1.170,0.048,1.048,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
26,1816,3,0.175,0.993,0.009,1.038,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
27,1816,4,0.348,1.123,-0.062,0.984,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
28,1816,5,0.858,1.295,-0.028,1.006,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
29,1816,6,0.442,1.480,0.020,0.936,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
30,1816,7,0.173,1.984,0.101,0.907,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
31,1816,8,-0.625,1.294,0.477,0.854,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
32,1816,9,-0.175,1.434,0.537,0.849,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
33,1816,10,0.800,1.149,0.278,0.814,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
34,1816,11,-0.584,1.221,0.286,0.815,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
35,1816,12,-1.384,1.649,0.457,0.828,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
36,1817,1,2.848,1.384,0.547,0.844,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
37,1817,2,2.849,1.210,0.692,0.931,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
38,1817,3,0.898,0.893,0.830,0.930,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
39,1817,4,-2.758,1.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
40,1817,5,0.950,1.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
41,1817,6,2.494,1.834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
42,1817,7,1.255,2.343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
43,1817,8,1.115,2.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
44,1817,9,1.477,1.483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
45,1817,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
46,1817,11,0.936,1.066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
47,1817,12,0.735,1.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
48,1818,1,2.045,1.519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
49,1818,2,1.426,2.073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
50,1818,3,1.899,1.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
51,1818,4,1.738,1.839,1.521,1.049,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
52,1818,5,2.490,1.609,1.526,1.059,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
53,1818,6,1.807,1.481,1.403,1.006,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
54,1818,7,2.131,1.803,1.290,0.985,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
55,1818,8,0.689,1.526,1.336,0.959,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
56,1818,9,1.198,1.646,1.368,0.959,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
57,1818,10,1.159,0.934,1.405,0.941,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
58,1818,11,0.993,1.064,1.322,0.958,NaN,NaN,NaN,NaN,NaN,NaN,1.96,0.48
