,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,2,-1.440,1.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
1,1880,3,-1.500,1.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
2,1880,4,-1.598,1.008,-1.147,0.610,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
3,1880,5,-1.520,1.007,-1.129,0.573,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
4,1880,6,-0.882,1.183,-1.034,0.562,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
5,1880,7,-0.549,0.798,-1.060,0.483,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
6,1880,8,-0.891,1.012,-1.040,0.488,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
7,1880,9,-0.220,0.929,-0.976,0.485,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
8,1880,10,-0.639,0.826,-0.858,0.492,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
9,1880,11,-1.034,1.117,-0.751,0.494,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
10,1880,12,-0.929,0.980,-0.721,0.512,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
11,1881,1,-1.516,1.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
12,1881,2,-1.201,1.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
13,1881,3,-0.735,0.820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
14,1881,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
15,1881,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
16,1881,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
17,1881,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
18,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
19,1881,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
20,1881,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
21,1881,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
22,1881,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
23,1882,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
24,1882,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
25,1882,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
26,1882,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
27,1882,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
28,1882,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
29,1882,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
30,1882,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
31,1882,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
32,1882,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
33,1882,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
34,1882,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
35,1883,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
36,1883,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
37,1883,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
38,1883,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
39,1883,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
40,1883,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
41,1883,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.12,0.49
