,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.200,2.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
1,1814,2,-4.350,1.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
2,1814,3,-3.203,1.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
3,1814,4,1.903,1.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
4,1814,5,-2.079,1.664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
5,1814,6,-2.291,3.014,-1.405,1.264,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
6,1814,7,-0.003,1.299,-1.368,1.246,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
7,1814,8,-1.261,1.583,-0.854,1.181,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
8,1814,9,-1.431,4.802,-0.404,1.181,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
9,1814,10,-2.253,1.162,-0.478,1.154,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
10,1814,11,0.227,1.644,-0.260,1.139,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
11,1814,12,1.075,1.253,-0.149,1.004,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
12,1815,1,-2.752,1.590,-0.337,1.058,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
13,1815,2,1.822,1.323,-0.400,1.000,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
14,1815,3,2.199,1.447,-0.357,1.084,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
15,1815,4,1.015,1.538,-0.188,1.150,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
16,1815,5,0.529,1.724,-0.303,1.118,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
17,1815,6,-0.961,1.387,-0.549,1.113,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
18,1815,7,-2.259,1.878,-0.289,1.119,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
19,1815,8,-2.009,1.070,-0.563,1.158,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
20,1815,9,-0.912,1.245,-0.892,1.125,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
21,1815,10,-0.229,1.767,-0.965,1.158,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
22,1815,11,-1.154,1.425,-1.166,1.220,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
23,1815,12,-1.882,1.474,-1.366,1.345,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
24,1816,1,0.373,1.627,-1.403,1.426,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
25,1816,2,-1.461,1.715,-1.502,1.477,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
26,1816,3,-1.750,1.138,-1.611,1.614,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
27,1816,4,0.138,1.900,-1.688,1.729,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
28,1816,5,-1.887,2.474,-1.733,1.897,NaN,NaN,NaN,NaN,NaN,NaN,13.48,0.81
29,1816,6,-3.356,2.914,-1.614,1.908,-0.778,1.692,NaN,NaN,NaN,NaN,13.48,0.81
30,1816,7,-2.706,2.881,-1.451,1.944,-0.697,1.653,NaN,NaN,NaN,NaN,13.48,0.81
31,1816,8,-3.198,1.554,-1.094,1.955,-0.602,1.596,NaN,NaN,NaN,NaN,13.48,0.81
32,1816,9,-2.218,2.591,-0.982,2.089,-0.560,1.622,NaN,NaN,NaN,NaN,13.48,0.81
33,1816,10,-1.155,3.050,-1.248,2.091,-0.572,1.535,NaN,NaN,NaN,NaN,13.48,0.81
34,1816,11,-1.693,3.126,-1.240,2.146,-0.519,NaN,NaN,NaN,NaN,NaN,13.48,0.81
35,1816,12,-0.451,1.619,-0.955,2.146,-0.485,NaN,NaN,NaN,NaN,NaN,13.48,0.81
36,1817,1,2.325,1.973,-0.917,2.188,-0.474,NaN,NaN,NaN,NaN,NaN,13.48,0.81
37,1817,2,2.826,1.860,-0.823,2.380,-0.451,NaN,NaN,NaN,NaN,NaN,13.48,0.81
38,1817,3,-0.404,2.532,-0.638,2.310,-0.431,NaN,NaN,NaN,NaN,NaN,13.48,0.81
39,1817,4,-3.062,1.953,-0.868,2.183,-0.405,NaN,NaN,NaN,NaN,NaN,13.48,0.81
40,1817,5,-1.793,3.194,-0.549,2.008,-0.435,NaN,NaN,NaN,NaN,NaN,13.48,0.81
41,1817,6,0.065,2.919,-0.535,2.047,-0.469,NaN,NaN,NaN,NaN,NaN,13.48,0.81
42,1817,7,-2.246,3.468,-0.598,2.006,-0.471,NaN,NaN,NaN,NaN,NaN,13.48,0.81
43,1817,8,-2.075,3.722,-0.820,2.170,-0.507,NaN,NaN,NaN,NaN,NaN,13.48,0.81
44,1817,9,0.001,1.850,-0.836,2.193,-0.574,NaN,NaN,NaN,NaN,NaN,13.48,0.81
45,1817,10,-3.905,1.638,-0.487,2.225,-0.564,NaN,NaN,NaN,NaN,NaN,13.48,0.81
46,1817,11,2.134,1.979,-0.363,2.438,-0.572,NaN,NaN,NaN,NaN,NaN,13.48,0.81
47,1817,12,-0.288,1.480,-0.262,2.600,-0.592,NaN,NaN,NaN,NaN,NaN,13.48,0.81
48,1818,1,1.571,11.788,-0.023,2.476,-0.574,NaN,NaN,NaN,NaN,NaN,13.48,0.81
49,1818,2,0.164,7.297,0.056,2.259,-0.530,NaN,NaN,NaN,NaN,NaN,13.48,0.81
50,1818,3,-0.592,10.905,0.015,2.289,-0.533,NaN,NaN,NaN,NaN,NaN,13.48,0.81
51,1818,4,1.118,10.681,0.347,2.293,-0.561,NaN,NaN,NaN,NaN,NaN,13.48,0.81
52,1818,5,-0.302,8.272,0.336,2.276,-0.565,NaN,NaN,NaN,NaN,NaN,13.48,0.81
53,1818,6,1.277,7.849,0.216,2.416,-0.550,NaN,NaN,NaN,NaN,NaN,13.48,0.81
54,1818,7,0.627,1.838,0.221,2.278,-0.551,NaN,NaN,NaN,NaN,NaN,13.48,0.81
55,1818,8,-1.126,6.382,0.322,2.024,-0.555,NaN,NaN,NaN,NaN,NaN,13.48,0.81
56,1818,9,-0.498,2.042,0.313,2.018,-0.532,NaN,NaN,NaN,NaN,NaN,13.48,0.81
57,1818,10,0.078,1.662,0.317,2.393,-0.505,NaN,NaN,NaN,NaN,NaN,13.48,0.81
58,1818,11,2.007,8.388,0.435,NaN,-0.495,NaN,NaN,NaN,NaN,NaN,13.48,0.81
59,1818,12,-1.735,3.864,0.307,NaN,-0.492,NaN,-0.467,NaN,NaN,NaN,13.48,0.81
60,1819,1,1.631,9.087,0.308,NaN,-0.496,NaN,-0.437,NaN,NaN,NaN,13.48,0.81
61,1819,2,1.380,9.401,0.416,NaN,-0.451,NaN,-0.389,NaN,NaN,NaN,13.48,0.81
62,1819,3,-0.702,8.732,0.437,NaN,-0.409,NaN,-0.372,NaN,NaN,NaN,13.48,0.81
63,1819,4,1.170,11.692,0.374,6.984,-0.400,NaN,-0.401,NaN,NaN,NaN,13.48,0.81
64,1819,5,1.107,7.005,0.072,7.266,-0.337,NaN,-0.400,NaN,NaN,NaN,13.48,0.81
65,1819,6,-0.258,9.917,0.139,7.473,-0.282,NaN,-0.388,NaN,NaN,NaN,13.48,0.81
66,1819,7,0.643,7.373,-0.238,7.137,-0.299,NaN,-0.393,NaN,NaN,NaN,13.48,0.81
67,1819,8,0.170,9.868,-0.380,7.157,-0.307,NaN,-0.386,NaN,NaN,NaN,13.48,0.81
68,1819,9,-0.252,9.062,-0.476,6.964,-0.251,NaN,-0.370,NaN,NaN,NaN,13.48,0.81
69,1819,10,-0.678,6.945,-0.437,7.006,-0.181,NaN,-0.354,NaN,NaN,NaN,13.48,0.81
70,1819,11,-1.617,9.180,-0.527,NaN,-0.116,NaN,-0.343,NaN,NaN,NaN,13.48,0.81
71,1819,12,-0.920,3.501,-0.685,NaN,-0.057,NaN,-0.335,NaN,NaN,NaN,13.48,0.81
72,1820,1,-2.898,5.401,-0.834,NaN,-0.019,NaN,-0.296,NaN,NaN,NaN,13.48,0.81
73,1820,2,-0.327,8.369,-0.797,NaN,0.010,NaN,-0.302,NaN,NaN,NaN,13.48,0.81
74,1820,3,-1.847,6.870,-0.867,NaN,-0.003,NaN,-0.336,NaN,NaN,NaN,13.48,0.81
75,1820,4,1.628,7.138,-0.970,NaN,0.071,NaN,-0.337,NaN,NaN,NaN,13.48,0.81
76,1820,5,0.030,3.105,-0.950,NaN,0.070,NaN,-0.346,NaN,NaN,NaN,13.48,0.81
77,1820,6,-2.158,10.552,-0.957,NaN,0.025,NaN,-0.348,NaN,NaN,NaN,13.48,0.81
78,1820,7,-1.140,6.198,-0.689,NaN,-0.068,NaN,-0.333,NaN,NaN,NaN,13.48,0.81
79,1820,8,0.613,9.051,-0.803,NaN,-0.059,NaN,-0.323,NaN,NaN,NaN,13.48,0.81
80,1820,9,-1.093,8.495,-0.681,NaN,-0.051,NaN,-0.311,NaN,NaN,NaN,13.48,0.81
81,1820,10,-1.915,8.323,-0.667,NaN,-0.089,NaN,-0.308,NaN,NaN,NaN,13.48,0.81
82,1820,11,-1.368,6.661,-0.782,6.038,-0.068,NaN,-0.290,NaN,NaN,NaN,13.48,0.81
83,1820,12,-1.006,5.994,-0.866,6.104,-0.130,NaN,-0.252,NaN,NaN,NaN,13.48,0.81
84,1821,1,0.317,10.598,-1.014,5.790,-0.172,NaN,-0.279,NaN,NaN,NaN,13.48,0.81
85,1821,2,-1.693,8.501,-1.106,5.212,-0.156,NaN,-0.250,NaN,NaN,NaN,13.48,0.81
86,1821,3,-0.392,11.382,-0.993,4.987,-0.141,NaN,-0.237,NaN,NaN,NaN,13.48,0.81
87,1821,4,1.799,6.532,-0.884,4.901,-0.156,NaN,-0.242,NaN,NaN,NaN,13.48,0.81
88,1821,5,-1.342,13.525,-0.594,4.587,-0.201,NaN,-0.230,NaN,NaN,NaN,13.48,0.81
89,1821,6,-3.169,6.389,-0.272,4.107,-0.156,NaN,-0.204,NaN,NaN,NaN,13.48,0.81
90,1821,7,-2.923,6.187,-0.190,4.144,-0.178,NaN,-0.185,NaN,NaN,NaN,13.48,0.81
91,1821,8,-0.483,6.409,0.145,4.389,-0.177,NaN,-0.165,NaN,NaN,NaN,13.48,0.81
92,1821,9,0.256,5.633,0.422,4.571,-0.184,NaN,-0.144,NaN,NaN,NaN,13.48,0.81
93,1821,10,-0.608,7.108,0.368,NaN,-0.229,NaN,-0.138,NaN,NaN,NaN,13.48,0.81
94,1821,11,2.111,9.267,0.655,NaN,-0.282,NaN,-0.127,NaN,NaN,NaN,13.48,0.81
95,1821,12,2.863,8.220,1.222,NaN,-0.291,NaN,-0.116,NaN,NaN,NaN,13.48,0.81
96,1822,1,1.303,8.014,1.466,NaN,-0.311,NaN,-0.144,NaN,NaN,NaN,13.48,0.81
97,1822,2,2.321,11.434,1.480,NaN,-0.321,NaN,-0.201,NaN,NaN,NaN,13.48,0.81
98,1822,3,2.938,5.700,1.392,NaN,-0.309,NaN,-0.198,NaN,NaN,NaN,13.48,0.81
99,1822,4,1.153,1.524,1.489,NaN,-0.304,NaN,-0.162,NaN,NaN,NaN,13.48,0.81
100,1822,5,2.096,2.153,1.484,1.723,-0.251,NaN,-0.145,NaN,NaN,NaN,13.48,0.81
101,1822,6,3.638,5.059,0.998,1.899,-0.201,NaN,-0.153,NaN,NaN,NaN,13.48,0.81
102,1822,7,0.006,11.376,0.557,1.990,-0.120,NaN,-0.133,NaN,NaN,NaN,13.48,0.81
103,1822,8,-0.314,5.428,0.421,1.962,-0.098,NaN,-0.124,NaN,NaN,NaN,13.48,0.81
104,1822,9,-0.808,7.429,0.165,2.011,-0.097,NaN,-0.129,NaN,NaN,NaN,13.48,0.81
105,1822,10,0.553,7.757,-0.027,2.214,-0.111,NaN,-0.092,NaN,NaN,NaN,13.48,0.81
106,1822,11,2.056,7.279,-0.123,3.801,-0.120,NaN,-0.123,NaN,NaN,NaN,13.48,0.81
107,1822,12,-2.964,6.751,-0.629,3.900,-0.104,NaN,-0.096,NaN,NaN,NaN,13.48,0.81
108,1823,1,-3.991,8.095,-0.787,4.041,-0.092,NaN,-0.102,NaN,NaN,NaN,13.48,0.81
109,1823,2,0.688,8.391,-0.773,4.095,-0.115,NaN,-0.105,NaN,NaN,NaN,13.48,0.81
110,1823,3,-0.137,8.243,-0.674,1.648,-0.088,NaN,-0.098,NaN,NaN,NaN,13.48,0.81
111,1823,4,-1.150,6.832,-0.786,1.854,-0.055,NaN,-0.103,NaN,NaN,NaN,13.48,0.81
112,1823,5,0.945,9.106,-1.019,2.013,-0.015,NaN,-0.099,NaN,NaN,NaN,13.48,0.81
113,1823,6,-2.433,5.655,-0.687,1.764,0.046,NaN,-0.111,NaN,NaN,NaN,13.48,0.81
114,1823,7,-1.891,7.105,-0.328,1.660,-0.007,NaN,-0.116,NaN,NaN,NaN,13.48,0.81
115,1823,8,-0.147,7.066,-0.269,1.766,0.054,NaN,-0.122,NaN,NaN,NaN,13.48,0.81
116,1823,9,0.383,1.694,-0.350,2.104,0.058,NaN,-0.117,NaN,NaN,NaN,13.48,0.81
117,1823,10,-0.795,2.306,-0.382,1.916,0.020,NaN,-0.122,NaN,NaN,NaN,13.48,0.81
118,1823,11,-0.733,8.712,-0.632,2.250,0.036,NaN,-0.135,NaN,NaN,NaN,13.48,0.81
119,1823,12,1.014,9.948,-0.499,2.638,0.083,NaN,-0.103,NaN,-0.419,NaN,13.48,0.81
120,1824,1,0.317,4.941,-0.387,2.472,0.127,NaN,-0.153,NaN,-0.387,NaN,13.48,0.81
121,1824,2,1.395,6.390,-0.410,2.496,0.121,NaN,-0.188,NaN,-0.365,NaN,13.48,0.81
122,1824,3,-1.102,7.588,-0.404,2.577,0.121,NaN,-0.196,NaN,-0.350,NaN,13.48,0.81
123,1824,4,-1.540,3.057,-0.366,5.526,0.124,NaN,-0.211,NaN,-0.363,NaN,13.48,0.81
124,1824,5,-2.050,7.196,-0.175,5.425,0.084,1.714,-0.221,NaN,-0.344,NaN,13.48,0.81
125,1824,6,-0.833,8.070,-0.085,5.889,0.049,1.685,-0.222,NaN,-0.327,NaN,13.48,0.81
126,1824,7,-0.549,4.475,0.047,6.335,0.010,1.663,-0.229,NaN,-0.312,NaN,13.48,0.81
127,1824,8,-0.427,6.839,0.016,6.691,-0.096,1.613,-0.248,NaN,-0.299,NaN,13.48,0.81
128,1824,9,0.452,8.019,-0.042,6.670,-0.145,1.635,-0.267,NaN,-0.283,NaN,13.48,0.81
129,1824,10,-0.333,6.789,0.155,7.001,-0.143,1.644,-0.281,NaN,-0.270,NaN,13.48,0.81
130,1824,11,1.561,10.182,0.284,7.135,-0.174,1.714,-0.290,NaN,-0.271,NaN,13.48,0.81
131,1824,12,2.085,10.855,0.250,6.645,-0.250,1.718,-0.334,NaN,-0.272,NaN,13.48,0.81
132,1825,1,1.910,14.154,0.264,6.766,-0.247,1.698,-0.352,NaN,-0.254,NaN,13.48,0.81
133,1825,2,1.023,12.938,0.232,6.766,-0.259,1.705,-0.378,NaN,-0.254,NaN,13.48,0.81
