,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.648,3.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
1,1814,2,-4.898,2.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
2,1814,3,-2.825,2.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
3,1814,4,1.782,1.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
4,1814,5,-1.337,1.138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
5,1814,6,-1.504,1.395,-1.380,1.399,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
6,1814,7,0.075,1.328,-1.311,1.319,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
7,1814,8,-0.921,1.227,-0.761,1.210,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
8,1814,9,-1.790,1.289,-0.370,1.085,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
9,1814,10,-2.140,1.321,-0.441,1.081,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
10,1814,11,-0.061,2.118,-0.226,1.117,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
11,1814,12,0.710,1.796,-0.087,1.093,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
12,1815,1,-2.825,1.974,-0.216,1.062,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
13,1815,2,1.701,1.325,-0.227,1.071,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
14,1815,3,1.870,0.915,-0.164,1.116,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
15,1815,4,0.925,1.222,-0.025,1.168,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
16,1815,5,1.250,1.528,-0.159,1.067,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
17,1815,6,0.156,1.018,-0.379,1.057,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
18,1815,7,-1.470,1.061,-0.118,1.024,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
19,1815,8,-1.054,1.315,-0.372,0.994,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
20,1815,9,-1.035,1.838,-0.588,0.984,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
21,1815,10,-0.469,2.070,-0.681,0.981,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
22,1815,11,-1.665,1.083,-0.856,0.968,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
23,1815,12,-1.933,1.346,-1.000,1.036,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
24,1816,1,0.310,1.820,-1.019,1.114,NaN,NaN,NaN,NaN,NaN,NaN,5.59,0.88
