,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-0.355,1.063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
1,1878,2,0.198,0.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
2,1878,3,0.494,0.816,-0.138,0.461,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
3,1878,4,0.080,0.972,-0.073,0.452,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
4,1878,5,-0.458,0.793,-0.100,0.447,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
5,1878,6,0.256,0.959,-0.207,0.444,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
6,1878,7,-0.551,0.842,-0.297,0.432,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
7,1878,8,-0.725,1.240,-0.382,0.446,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
8,1878,9,-0.418,0.907,-0.511,0.484,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
9,1878,10,-0.174,0.954,-0.597,0.516,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
10,1878,11,-0.176,1.164,-0.645,0.556,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
11,1878,12,-0.651,0.816,-0.687,0.572,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
12,1879,1,-1.445,1.428,-0.732,0.562,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
13,1879,2,-0.820,1.030,-0.730,0.493,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
14,1879,3,-1.048,0.999,-0.720,0.511,NaN,NaN,NaN,NaN,NaN,NaN,21.66,0.27
15,1879,4,-0.951,1.061,-0.775,0.526,-0.563,0.273,NaN,NaN,NaN,NaN,21.66,0.27
16,1879,5,-1.042,1.161,-0.856,0.508,-0.541,0.273,NaN,NaN,NaN,NaN,21.66,0.27
17,1879,6,-0.243,1.174,-0.904,0.503,-0.524,0.267,NaN,NaN,NaN,NaN,21.66,0.27
18,1879,7,-1.090,0.950,-0.880,0.471,-0.519,0.266,NaN,NaN,NaN,NaN,21.66,0.27
19,1879,8,-0.704,1.033,-0.920,0.487,-0.530,0.270,NaN,NaN,NaN,NaN,21.66,0.27
20,1879,9,-0.295,0.853,-0.954,0.499,-0.530,0.276,NaN,NaN,NaN,NaN,21.66,0.27
21,1879,10,-0.830,0.904,-0.992,0.495,-0.545,0.279,NaN,NaN,NaN,NaN,21.66,0.27
22,1879,11,-1.150,1.050,-0.945,0.464,-0.551,0.275,NaN,NaN,NaN,NaN,21.66,0.27
23,1879,12,-1.225,1.532,-0.959,0.495,-0.546,0.271,NaN,NaN,NaN,NaN,21.66,0.27
24,1880,1,-1.162,0.896,-0.900,0.463,-0.547,0.271,NaN,NaN,NaN,NaN,21.66,0.27
25,1880,2,-1.299,1.044,-0.841,0.441,-0.547,0.273,NaN,NaN,NaN,NaN,21.66,0.27
26,1880,3,-1.457,1.124,-0.830,0.454,-0.544,0.268,NaN,NaN,NaN,NaN,21.66,0.27
27,1880,4,-1.403,0.986,-0.811,0.512,-0.539,0.269,NaN,NaN,NaN,NaN,21.66,0.27
28,1880,5,-0.483,1.195,-0.770,0.593,-0.551,0.261,NaN,NaN,NaN,NaN,21.66,0.27
29,1880,6,-0.404,1.567,-0.720,0.641,-0.582,0.268,NaN,NaN,NaN,NaN,21.66,0.27
30,1880,7,-0.385,1.237,-0.673,0.675,-0.606,0.266,NaN,NaN,NaN,NaN,21.66,0.27
31,1880,8,0.004,1.739,-0.596,0.703,-0.645,0.267,NaN,NaN,NaN,NaN,21.66,0.27
32,1880,9,-0.169,0.940,-0.503,0.724,-0.674,0.268,NaN,NaN,NaN,NaN,21.66,0.27
33,1880,10,-0.599,1.554,-0.420,0.745,-0.681,0.264,NaN,NaN,NaN,NaN,21.66,0.27
34,1880,11,-0.655,1.351,-0.374,0.712,-0.680,0.270,NaN,NaN,NaN,NaN,21.66,0.27
35,1880,12,-0.631,1.520,-0.393,0.695,-0.689,0.278,NaN,NaN,NaN,NaN,21.66,0.27
36,1881,1,-0.601,0.966,-0.333,0.666,-0.690,0.281,NaN,NaN,NaN,NaN,21.66,0.27
37,1881,2,-0.368,1.014,-0.368,0.640,-0.680,0.286,NaN,NaN,NaN,NaN,21.66,0.27
38,1881,3,-0.337,0.968,-0.358,0.629,-0.679,0.298,NaN,NaN,NaN,NaN,21.66,0.27
39,1881,4,-0.417,0.946,-0.359,0.559,-0.692,0.298,NaN,NaN,NaN,NaN,21.66,0.27
40,1881,5,0.073,0.936,-0.329,0.522,-0.699,0.308,NaN,NaN,NaN,NaN,21.66,0.27
41,1881,6,NaN,NaN,-0.326,0.458,-0.712,0.308,NaN,NaN,NaN,NaN,21.66,0.27
42,1881,7,0.337,0.823,-0.341,0.445,-0.722,0.310,NaN,NaN,NaN,NaN,21.66,0.27
43,1881,8,-0.416,1.188,-0.392,0.453,-0.722,0.321,NaN,NaN,NaN,NaN,21.66,0.27
44,1881,9,-0.058,0.887,-0.458,0.474,-0.732,0.332,NaN,NaN,NaN,NaN,21.66,0.27
45,1881,10,-0.604,0.859,-0.530,0.498,-0.750,0.332,NaN,NaN,NaN,NaN,21.66,0.27
46,1881,11,-0.299,0.968,-0.593,0.516,-0.757,0.334,NaN,NaN,NaN,NaN,21.66,0.27
47,1881,12,-0.592,1.098,-0.575,0.493,-0.773,0.327,NaN,NaN,NaN,NaN,21.66,0.27
48,1882,1,-0.783,1.045,-0.650,0.501,-0.770,0.339,NaN,NaN,NaN,NaN,21.66,0.27
49,1882,2,-0.983,1.508,-0.666,0.498,-0.772,0.343,NaN,NaN,NaN,NaN,21.66,0.27
50,1882,3,-1.126,1.200,-0.674,0.504,-0.780,0.347,NaN,NaN,NaN,NaN,21.66,0.27
51,1882,4,-1.277,1.135,-0.676,0.500,-0.784,0.350,NaN,NaN,NaN,NaN,21.66,0.27
52,1882,5,-0.690,0.920,-0.701,0.476,-0.782,0.357,NaN,NaN,NaN,NaN,21.66,0.27
53,1882,6,NaN,NaN,-0.753,0.488,-0.773,0.354,-0.745,0.265,NaN,NaN,21.66,0.27
54,1882,7,-0.564,0.884,-0.836,0.484,-0.783,0.359,-0.750,0.269,NaN,NaN,21.66,0.27
55,1882,8,-0.607,0.909,NaN,NaN,-0.782,0.359,-0.761,0.274,NaN,NaN,21.66,0.27
56,1882,9,-0.151,0.870,NaN,NaN,-0.782,0.356,-0.764,0.276,NaN,NaN,21.66,0.27
57,1882,10,-0.626,1.015,NaN,NaN,NaN,NaN,-0.765,0.277,NaN,NaN,21.66,0.27
