,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-0.553,1.244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
1,1878,2,0.218,1.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
2,1878,3,1.024,1.132,0.358,0.696,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
3,1878,4,0.593,1.616,0.403,0.683,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
4,1878,5,-0.171,1.946,0.441,0.660,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
5,1878,6,0.374,1.533,0.410,0.648,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
6,1878,7,0.252,1.489,0.434,0.674,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
7,1878,8,0.996,1.278,0.403,0.626,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
8,1878,9,0.775,1.264,0.281,0.658,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
9,1878,10,0.414,1.275,0.265,0.626,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
10,1878,11,0.723,1.446,0.237,0.655,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
11,1878,12,0.280,1.097,0.208,0.591,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
12,1879,1,-0.277,1.515,0.159,0.537,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
13,1879,2,-0.142,1.324,0.038,0.517,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
14,1879,3,-0.448,1.525,0.042,0.477,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
15,1879,4,0.407,1.230,0.058,0.452,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
16,1879,5,-0.514,1.444,0.052,0.426,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
17,1879,6,0.030,1.408,0.034,0.473,0.229,0.296,NaN,NaN,NaN,NaN,34.66,0.37
18,1879,7,-0.335,1.232,0.035,0.536,0.226,0.306,NaN,NaN,NaN,NaN,34.66,0.37
19,1879,8,-0.457,1.207,-0.029,0.529,0.214,0.316,NaN,NaN,NaN,NaN,34.66,0.37
20,1879,9,0.822,1.593,-0.013,0.539,0.215,0.319,NaN,NaN,NaN,NaN,34.66,0.37
21,1879,10,0.603,1.353,-0.034,0.524,0.215,0.320,NaN,NaN,NaN,NaN,34.66,0.37
22,1879,11,0.656,1.461,0.037,0.562,0.229,0.311,NaN,NaN,NaN,NaN,34.66,0.37
23,1879,12,0.068,2.093,0.101,0.576,0.230,0.292,NaN,NaN,NaN,NaN,34.66,0.37
24,1880,1,-0.268,1.556,0.221,0.635,0.222,0.302,NaN,NaN,NaN,NaN,34.66,0.37
25,1880,2,-0.911,1.338,0.266,0.659,0.210,0.321,NaN,NaN,NaN,NaN,34.66,0.37
26,1880,3,-0.259,1.276,0.260,0.643,0.210,0.332,NaN,NaN,NaN,NaN,34.66,0.37
27,1880,4,0.161,1.410,0.259,0.678,0.228,0.351,NaN,NaN,NaN,NaN,34.66,0.37
28,1880,5,0.333,1.383,0.206,0.700,0.226,0.342,NaN,NaN,NaN,NaN,34.66,0.37
29,1880,6,0.799,1.231,0.162,0.717,0.223,0.368,NaN,NaN,NaN,NaN,34.66,0.37
30,1880,7,1.104,1.578,0.134,0.721,0.219,0.378,NaN,NaN,NaN,NaN,34.66,0.37
31,1880,8,NaN,NaN,0.159,0.686,0.193,0.410,NaN,NaN,NaN,NaN,34.66,0.37
32,1880,9,0.744,1.232,0.240,0.713,0.166,0.396,NaN,NaN,NaN,NaN,34.66,0.37
33,1880,10,0.591,1.740,0.278,0.699,0.157,0.394,NaN,NaN,NaN,NaN,34.66,0.37
34,1880,11,0.024,1.611,0.308,0.724,0.145,0.356,NaN,NaN,NaN,NaN,34.66,0.37
35,1880,12,-0.465,2.152,0.303,0.761,0.164,0.369,NaN,NaN,NaN,NaN,34.66,0.37
36,1881,1,-0.601,1.213,0.285,0.747,0.177,0.384,NaN,NaN,NaN,NaN,34.66,0.37
37,1881,2,-0.613,1.154,0.308,0.712,0.156,0.387,NaN,NaN,NaN,NaN,34.66,0.37
38,1881,3,0.721,1.320,0.307,0.731,0.145,0.379,NaN,NaN,NaN,NaN,34.66,0.37
39,1881,4,0.616,1.603,0.230,0.658,0.132,0.367,NaN,NaN,NaN,NaN,34.66,0.37
40,1881,5,0.686,1.695,0.183,0.632,0.100,0.367,NaN,NaN,NaN,NaN,34.66,0.37
41,1881,6,NaN,NaN,0.195,0.602,0.077,0.358,NaN,NaN,NaN,NaN,34.66,0.37
42,1881,7,0.885,1.478,0.231,0.594,0.054,0.355,NaN,NaN,NaN,NaN,34.66,0.37
43,1881,8,NaN,NaN,0.247,0.649,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
44,1881,9,0.732,1.233,0.200,0.726,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
45,1881,10,-0.336,1.140,0.152,0.779,NaN,NaN,NaN,NaN,NaN,NaN,34.66,0.37
