,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1878,1,-0.795,1.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
1,1878,2,-0.153,0.994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
2,1878,3,0.290,0.962,-0.328,0.543,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
3,1878,4,-0.097,1.149,-0.281,0.546,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
4,1878,5,-0.564,0.879,-0.297,0.543,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
5,1878,6,0.326,1.105,-0.383,0.578,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
6,1878,7,-0.702,0.978,-0.466,0.568,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
7,1878,8,-0.613,1.073,-0.529,0.579,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
8,1878,9,-0.350,1.050,-0.640,0.597,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
9,1878,10,-0.614,1.171,-0.704,0.626,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
10,1878,11,-0.426,1.358,-0.751,0.648,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
11,1878,12,-0.893,1.253,-0.778,0.634,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
12,1879,1,-1.794,1.683,-0.822,0.630,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
13,1879,2,-0.916,1.191,-0.852,0.599,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
14,1879,3,-1.033,1.197,-0.841,0.638,NaN,NaN,NaN,NaN,NaN,NaN,21.93,0.34
15,1879,4,-0.872,1.362,-0.875,0.646,-0.641,0.362,NaN,NaN,NaN,NaN,21.93,0.34
16,1879,5,-1.121,1.398,-0.950,0.632,-0.621,0.364,NaN,NaN,NaN,NaN,21.93,0.34
17,1879,6,-0.004,1.603,-0.974,0.632,-0.609,0.362,NaN,NaN,NaN,NaN,21.93,0.34
18,1879,7,-1.228,1.271,-0.928,0.600,-0.606,0.357,NaN,NaN,NaN,NaN,21.93,0.34
19,1879,8,-0.970,1.145,-0.971,0.603,-0.615,0.358,NaN,NaN,NaN,NaN,21.93,0.34
20,1879,9,-0.219,1.144,-1.005,0.590,-0.618,0.365,NaN,NaN,NaN,NaN,21.93,0.34
21,1879,10,-1.023,1.106,-1.058,0.559,-0.636,0.367,NaN,NaN,NaN,NaN,21.93,0.34
22,1879,11,-1.329,1.280,-1.003,0.510,-0.644,0.361,NaN,NaN,NaN,NaN,21.93,0.34
23,1879,12,-1.178,1.542,-1.037,0.509,-0.637,0.355,NaN,NaN,NaN,NaN,21.93,0.34
24,1880,1,-1.244,1.252,-0.993,0.501,-0.639,0.355,NaN,NaN,NaN,NaN,21.93,0.34
25,1880,2,-1.427,1.193,-0.922,0.518,-0.641,0.359,NaN,NaN,NaN,NaN,21.93,0.34
26,1880,3,-1.441,1.227,-0.910,0.551,-0.644,0.354,NaN,NaN,NaN,NaN,21.93,0.34
27,1880,4,-1.513,1.090,-0.887,0.674,-0.641,0.351,NaN,NaN,NaN,NaN,21.93,0.34
28,1880,5,-0.453,1.715,-0.838,0.810,-0.652,0.342,NaN,NaN,NaN,NaN,21.93,0.34
29,1880,6,-0.421,1.853,-0.806,0.897,-0.677,0.351,NaN,NaN,NaN,NaN,21.93,0.34
30,1880,7,-0.692,1.555,-0.721,1.003,-0.696,0.349,NaN,NaN,NaN,NaN,21.93,0.34
31,1880,8,-0.121,1.756,-0.643,1.043,-0.736,0.349,NaN,NaN,NaN,NaN,21.93,0.34
32,1880,9,-0.072,1.131,-0.541,1.071,-0.768,0.345,NaN,NaN,NaN,NaN,21.93,0.34
33,1880,10,-0.756,2.227,-0.447,1.097,-0.771,0.340,NaN,NaN,NaN,NaN,21.93,0.34
