,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,-1.315,1.530,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
1,1875,2,-1.468,1.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
2,1875,3,-0.088,1.525,-0.939,0.867,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
3,1875,4,-0.434,1.057,-0.989,0.904,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
4,1875,5,-1.774,1.102,-1.047,0.911,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
5,1875,6,-0.626,0.818,-1.074,1.010,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
6,1875,7,-0.457,0.695,-1.098,1.008,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
7,1875,8,-0.897,1.018,-1.122,1.052,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
8,1875,9,-0.677,0.962,-1.158,0.946,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
9,1875,10,-1.351,1.331,-1.198,0.946,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
10,1875,11,-2.477,1.341,-1.164,0.957,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
11,1875,12,-1.322,1.959,-1.151,0.904,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
12,1876,1,-1.602,1.652,-1.187,0.889,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
13,1876,2,-1.758,1.516,-1.184,0.837,NaN,NaN,NaN,NaN,NaN,NaN,20.52,0.31
14,1876,3,-0.514,0.400,-1.190,0.849,-1.107,0.522,NaN,NaN,NaN,NaN,20.52,0.31
15,1876,4,-0.919,1.296,-1.256,0.817,-1.082,0.524,NaN,NaN,NaN,NaN,20.52,0.31
16,1876,5,-1.371,1.058,-1.217,0.767,-1.041,0.519,NaN,NaN,NaN,NaN,20.52,0.31
17,1876,6,-0.465,0.657,-1.277,0.682,-1.011,0.506,NaN,NaN,NaN,NaN,20.52,0.31
18,1876,7,-0.887,0.607,-1.194,0.624,-1.000,0.493,NaN,NaN,NaN,NaN,20.52,0.31
19,1876,8,-0.867,0.740,-1.282,0.519,-0.996,0.483,NaN,NaN,NaN,NaN,20.52,0.31
20,1876,9,-0.749,1.330,-1.365,0.576,-0.978,0.479,NaN,NaN,NaN,NaN,20.52,0.31
21,1876,10,-2.136,1.013,-1.500,0.549,-0.939,0.476,NaN,NaN,NaN,NaN,20.52,0.31
22,1876,11,-2.016,1.019,-1.502,0.548,-0.924,0.479,NaN,NaN,NaN,NaN,20.52,0.31
23,1876,12,-2.044,1.280,-1.513,0.525,-0.920,0.483,NaN,NaN,NaN,NaN,20.52,0.31
24,1877,1,-0.607,1.025,-1.480,0.518,-0.914,0.476,NaN,NaN,NaN,NaN,20.52,0.31
25,1877,2,-2.812,0.488,-1.454,0.526,-0.911,0.471,NaN,NaN,NaN,NaN,20.52,0.31
26,1877,3,-1.511,1.048,-1.440,0.509,-0.908,0.461,NaN,NaN,NaN,NaN,20.52,0.31
27,1877,4,-2.538,1.160,-1.372,0.514,-0.896,0.455,NaN,NaN,NaN,NaN,20.52,0.31
28,1877,5,-1.398,1.191,-1.233,0.521,-0.890,0.437,NaN,NaN,NaN,NaN,20.52,0.31
29,1877,6,-0.587,0.714,-1.119,0.480,-0.889,0.437,-0.969,0.383,NaN,NaN,20.52,0.31
30,1877,7,-0.495,0.661,-1.210,0.528,-0.864,0.426,-0.968,0.383,NaN,NaN,20.52,0.31
31,1877,8,-0.560,1.104,-0.948,0.591,-0.854,0.426,-0.972,0.382,NaN,NaN,20.52,0.31
32,1877,9,-0.582,1.006,-0.904,0.572,-0.861,0.424,-0.973,0.384,NaN,NaN,20.52,0.31
33,1877,10,-1.316,1.131,-0.800,0.613,-0.860,0.425,-0.972,0.395,NaN,NaN,20.52,0.31
34,1877,11,-0.343,0.649,-0.871,0.613,-0.855,0.419,-0.965,0.399,NaN,NaN,20.52,0.31
35,1877,12,-0.677,0.820,-0.831,0.644,-0.857,0.414,-0.948,0.402,NaN,NaN,20.52,0.31
36,1878,1,-1.704,1.652,-0.807,0.670,-0.864,0.413,-0.945,0.401,NaN,NaN,20.52,0.31
37,1878,2,0.330,1.065,-0.794,0.628,-0.861,0.395,-0.957,0.405,NaN,NaN,20.52,0.31
38,1878,3,-0.979,1.147,-0.759,0.569,-0.866,0.383,-0.957,0.401,NaN,NaN,20.52,0.31
39,1878,4,-1.293,1.051,-0.655,0.572,-0.852,0.369,-0.951,0.396,NaN,NaN,20.52,0.31
40,1878,5,-2.247,0.387,-0.556,0.538,-0.826,0.363,-0.950,0.397,NaN,NaN,20.52,0.31
41,1878,6,-0.101,0.808,-0.469,0.500,-0.841,0.356,-0.949,0.399,NaN,NaN,20.52,0.31
42,1878,7,-0.207,0.745,-0.378,0.423,-0.854,0.356,-0.948,0.396,NaN,NaN,20.52,0.31
43,1878,8,-0.407,0.711,-0.462,0.386,-0.846,0.375,-0.949,0.389,NaN,NaN,20.52,0.31
44,1878,9,-0.167,0.766,-0.440,0.357,-0.864,0.374,-0.948,0.388,NaN,NaN,20.52,0.31
45,1878,10,-0.064,1.186,-0.291,0.368,-0.862,0.381,-0.945,0.388,NaN,NaN,20.52,0.31
46,1878,11,0.843,0.831,-0.099,0.373,-0.857,0.387,-0.948,0.387,NaN,NaN,20.52,0.31
47,1878,12,0.365,1.309,-0.136,0.368,-0.862,0.391,-0.952,0.386,NaN,NaN,20.52,0.31
48,1879,1,-0.612,0.412,-0.169,0.367,-0.854,0.393,-0.953,0.379,NaN,NaN,20.52,0.31
49,1879,2,-0.671,0.652,-0.202,0.379,-0.852,0.394,-0.964,0.373,NaN,NaN,20.52,0.31
50,1879,3,-0.721,0.659,-0.212,0.441,-0.850,0.401,-0.951,0.374,NaN,NaN,20.52,0.31
51,1879,4,0.495,1.165,-0.208,0.466,-0.828,0.406,-0.950,0.374,NaN,NaN,20.52,0.31
52,1879,5,0.065,1.047,-0.397,0.446,-0.812,0.419,-0.959,0.367,NaN,NaN,20.52,0.31
53,1879,6,-0.545,0.863,-0.507,0.435,-0.802,0.407,-0.968,0.362,NaN,NaN,20.52,0.31
54,1879,7,-0.606,0.663,-0.437,0.511,-0.784,0.416,-0.965,0.358,NaN,NaN,20.52,0.31
55,1879,8,-0.807,0.937,-0.457,0.565,-0.755,0.424,-0.965,0.356,NaN,NaN,20.52,0.31
56,1879,9,-0.291,0.811,-0.440,0.618,-0.732,0.436,-0.971,0.356,NaN,NaN,20.52,0.31
57,1879,10,-0.008,0.792,-0.510,0.585,-0.704,0.453,-0.981,0.351,NaN,NaN,20.52,0.31
58,1879,11,-1.431,0.532,-0.637,0.535,-0.716,0.447,-0.987,0.347,NaN,NaN,20.52,0.31
59,1879,12,-0.956,1.060,-0.653,0.542,-0.722,0.448,-0.994,0.342,-0.972,0.322,20.52,0.31
60,1880,1,0.233,1.229,-0.680,0.557,-0.722,0.453,-0.991,0.334,-0.966,0.323,20.52,0.31
61,1880,2,-0.911,1.024,-0.673,0.539,-0.729,0.466,-0.999,0.327,-0.967,0.323,20.52,0.31
62,1880,3,-0.521,1.307,-0.728,0.561,-0.731,0.472,-1.008,0.325,-0.962,0.322,20.52,0.31
63,1880,4,-0.344,0.763,-0.769,0.573,-0.723,0.492,-1.013,0.328,-0.962,0.320,20.52,0.31
64,1880,5,-1.459,0.773,-0.729,0.602,-0.723,0.505,-1.015,0.326,-0.965,0.319,20.52,0.31
65,1880,6,-0.738,1.094,-0.835,0.638,-0.709,0.515,-1.017,0.325,-0.971,0.318,20.52,0.31
66,1880,7,-0.930,0.942,-1.051,0.583,-0.701,0.498,-1.019,0.321,-0.977,0.318,20.52,0.31
67,1880,8,-0.715,1.500,-1.083,0.635,-0.757,0.492,-1.019,0.320,-0.980,0.316,20.52,0.31
68,1880,9,-0.949,1.011,-1.171,0.634,-0.762,0.475,-1.021,0.317,-0.980,0.314,20.52,0.31
69,1880,10,-0.502,0.726,-1.210,0.661,-0.764,0.461,-1.015,0.313,-0.982,0.313,20.52,0.31
70,1880,11,-0.953,1.029,-1.176,0.700,-0.748,0.466,-1.001,0.319,-0.988,0.312,20.52,0.31
71,1880,12,-2.227,1.007,-1.176,0.680,-0.761,0.465,-0.992,0.312,-0.984,0.312,20.52,0.31
72,1881,1,-2.360,0.868,-1.137,0.632,-0.770,0.457,-0.984,0.318,-0.983,0.311,20.52,0.31
73,1881,2,-1.301,1.252,-1.135,0.566,-0.778,0.451,-0.991,0.321,-0.985,0.314,20.52,0.31
74,1881,3,-1.571,0.817,-1.108,0.552,-0.789,0.456,-0.995,0.323,-0.990,0.315,20.52,0.31
75,1881,4,-0.820,1.028,-1.137,0.560,-0.808,0.445,-0.998,0.327,-0.991,0.315,20.52,0.31
