,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,-0.835,2.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
1,1750,2,-1.252,2.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
2,1750,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
3,1750,4,0.236,2.190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
4,1750,5,-1.654,2.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
5,1750,6,-0.009,2.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
6,1750,7,0.604,2.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
7,1750,8,0.640,2.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
8,1750,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
9,1750,10,-1.214,2.191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
10,1750,11,-4.552,2.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
11,1750,12,-3.227,2.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
12,1751,1,-1.850,2.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
13,1751,2,-3.326,2.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
14,1751,3,1.137,2.229,-1.200,0.817,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
15,1751,4,-1.575,2.179,-1.244,0.819,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
16,1751,5,-0.981,2.210,-1.177,0.827,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
17,1751,6,-0.726,2.246,-1.125,0.841,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
18,1751,7,1.441,2.266,-1.154,0.850,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
19,1751,8,0.792,2.193,-0.756,0.841,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
20,1751,9,-0.327,2.171,-0.792,0.842,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
21,1751,10,-1.738,2.169,-0.765,0.824,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
22,1751,11,-3.750,2.204,-0.732,0.809,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
23,1751,12,-2.604,2.410,-0.576,0.797,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
24,1752,1,-2.197,2.372,-0.607,0.800,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
25,1752,2,1.450,2.256,-0.764,0.810,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
26,1752,3,0.706,2.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
27,1752,4,-1.242,2.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
28,1752,5,-0.592,2.143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
29,1752,6,1.146,2.119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
30,1752,7,1.074,2.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
31,1752,8,-1.096,2.280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
33,1752,10,-0.562,2.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
34,1752,11,-0.724,2.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
35,1752,12,-1.546,2.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
36,1753,1,-1.045,2.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
37,1753,2,-1.660,2.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
38,1753,3,1.288,2.166,-0.412,0.862,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
39,1753,4,-0.063,2.232,-0.390,0.862,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
40,1753,5,0.143,2.095,-0.487,0.858,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
41,1753,6,0.513,2.220,-0.656,0.860,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
42,1753,7,0.335,2.260,-0.637,0.862,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
43,1753,8,-0.808,2.167,-0.748,0.857,NaN,NaN,NaN,NaN,NaN,NaN,10.76,0.47
