,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-1.192,2.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
1,1814,2,-5.690,2.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
2,1814,3,-2.395,2.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
3,1814,4,1.406,2.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
4,1814,5,-2.720,2.658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
5,1814,6,-1.904,3.095,-1.633,1.124,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
6,1814,7,-0.080,2.608,-1.653,1.108,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
7,1814,8,-0.934,2.671,-1.005,1.092,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
8,1814,9,-4.481,2.603,-0.594,1.086,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
9,1814,10,-2.353,2.573,-0.657,1.079,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
10,1814,11,-0.499,2.674,-0.340,1.085,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
11,1814,12,1.249,2.586,-0.229,1.039,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
12,1815,1,-1.435,2.651,-0.432,1.056,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
13,1815,2,2.084,2.615,-0.627,1.029,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
14,1815,3,2.535,2.601,-0.443,1.056,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
15,1815,4,0.655,2.631,-0.268,1.076,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
16,1815,5,1.083,2.685,-0.437,1.062,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
17,1815,6,-0.567,2.642,-0.799,1.056,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
18,1815,7,-2.515,2.715,-0.556,1.059,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
19,1815,8,-3.275,2.572,-0.864,1.069,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
20,1815,9,-2.274,2.583,-1.160,1.061,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
21,1815,10,-0.251,2.676,-1.198,1.074,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
22,1815,11,-2.531,2.595,-1.373,1.096,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
23,1815,12,-3.094,2.588,-1.463,1.147,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
24,1816,1,1.478,2.690,-1.332,1.187,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
25,1816,2,-1.611,2.667,-1.295,1.215,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
26,1816,3,-1.015,2.576,-1.200,1.280,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
27,1816,4,0.191,2.730,-1.246,1.330,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
28,1816,5,-1.017,2.862,-1.164,1.409,NaN,NaN,NaN,NaN,NaN,NaN,16.16,0.26
29,1816,6,-1.636,3.057,-1.066,1.411,-0.722,1.026,NaN,NaN,NaN,NaN,16.16,0.26
30,1816,7,-0.951,3.063,-0.986,1.418,-0.708,1.007,NaN,NaN,NaN,NaN,16.16,0.26
31,1816,8,-2.826,2.661,-0.599,1.419,-0.618,0.979,NaN,NaN,NaN,NaN,16.16,0.26
32,1816,9,-1.132,2.909,-0.489,1.475,-0.553,0.990,NaN,NaN,NaN,NaN,16.16,0.26
