,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,0.474,1.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
1,1876,5,0.908,1.591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
2,1876,6,0.029,1.482,-0.078,0.674,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
3,1876,7,0.297,1.425,-0.027,0.671,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
4,1876,8,-0.126,1.530,0.054,0.686,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
5,1876,9,-0.074,1.615,0.114,0.684,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
6,1876,10,-0.157,1.473,0.201,0.692,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
7,1876,11,-0.624,1.635,0.213,0.705,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
8,1876,12,0.435,1.597,0.223,0.699,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
9,1877,1,-0.252,1.582,0.271,0.694,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
10,1877,2,-0.347,1.576,0.325,0.700,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
11,1877,3,0.806,1.502,0.376,0.719,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
12,1877,4,1.520,1.647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
13,1877,5,1.047,1.580,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
14,1877,6,0.152,1.570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.08,0.32
19,1877,11,-0.083,1.454,NaN,NaN,0.034,0.368,NaN,NaN,NaN,NaN,26.08,0.32
20,1877,12,-1.036,1.552,NaN,NaN,0.031,0.369,NaN,NaN,NaN,NaN,26.08,0.32
21,1878,1,-1.430,1.533,0.274,0.683,0.027,0.370,NaN,NaN,NaN,NaN,26.08,0.32
22,1878,2,-1.318,1.469,0.299,0.702,0.024,0.369,NaN,NaN,NaN,NaN,26.08,0.32
23,1878,3,0.705,1.416,0.324,0.711,0.031,0.365,NaN,NaN,NaN,NaN,26.08,0.32
24,1878,4,0.880,1.454,0.218,0.683,0.041,0.364,NaN,NaN,NaN,NaN,26.08,0.32
25,1878,5,0.591,1.709,0.206,0.688,0.060,0.363,NaN,NaN,NaN,NaN,26.08,0.32
26,1878,6,0.710,1.542,0.315,0.691,0.063,0.361,NaN,NaN,NaN,NaN,26.08,0.32
27,1878,7,1.814,1.445,0.543,0.699,0.097,0.360,NaN,NaN,NaN,NaN,26.08,0.32
28,1878,8,0.818,1.624,0.613,0.704,0.128,0.357,NaN,NaN,NaN,NaN,26.08,0.32
29,1878,9,0.837,1.688,0.472,0.696,0.133,0.356,NaN,NaN,NaN,NaN,26.08,0.32
30,1878,10,0.134,1.539,0.440,0.703,0.131,0.355,NaN,NaN,NaN,NaN,26.08,0.32
31,1878,11,-0.231,1.466,0.377,0.679,0.124,0.356,NaN,NaN,NaN,NaN,26.08,0.32
32,1878,12,0.275,1.799,0.358,0.692,0.128,0.359,NaN,NaN,NaN,NaN,26.08,0.32
33,1879,1,1.303,1.425,0.236,0.668,0.131,0.361,NaN,NaN,NaN,NaN,26.08,0.32
34,1879,2,-0.478,1.495,0.149,0.669,0.140,0.365,-0.106,0.252,NaN,NaN,26.08,0.32
35,1879,3,-0.991,1.457,0.032,0.666,0.146,0.365,-0.086,0.252,NaN,NaN,26.08,0.32
36,1879,4,0.491,1.605,0.015,0.681,0.154,0.364,-0.085,0.252,NaN,NaN,26.08,0.32
37,1879,5,-0.159,1.447,-0.012,0.685,0.158,0.363,-0.109,0.251,NaN,NaN,26.08,0.32
38,1879,6,0.477,1.618,0.031,0.657,0.144,0.365,-0.111,0.249,NaN,NaN,26.08,0.32
39,1879,7,0.349,1.532,-0.083,0.657,0.140,0.366,-0.117,0.248,NaN,NaN,26.08,0.32
40,1879,8,-0.227,1.437,-0.242,0.675,0.116,0.364,-0.116,0.248,NaN,NaN,26.08,0.32
41,1879,9,-0.559,1.569,-0.199,0.675,0.076,0.362,-0.114,0.245,NaN,NaN,26.08,0.32
42,1879,10,-0.066,1.542,-0.274,0.684,0.045,0.362,-0.113,0.243,NaN,NaN,26.08,0.32
43,1879,11,-0.566,1.467,-0.286,0.687,0.013,0.365,-0.126,0.241,NaN,NaN,26.08,0.32
44,1879,12,0.794,1.485,-0.325,0.691,0.009,0.367,-0.129,0.240,NaN,NaN,26.08,0.32
45,1880,1,-0.067,1.633,-0.365,0.692,-0.021,0.369,-0.127,0.238,NaN,NaN,26.08,0.32
46,1880,2,NaN,NaN,-0.381,0.706,-0.031,0.369,-0.135,0.239,NaN,NaN,26.08,0.32
47,1880,3,-0.469,1.661,-0.335,0.706,-0.045,0.366,-0.134,0.237,NaN,NaN,26.08,0.32
48,1880,4,-0.410,1.511,-0.337,0.705,-0.078,0.367,-0.140,0.236,NaN,NaN,26.08,0.32
49,1880,5,-0.305,1.513,-0.307,0.697,-0.102,0.363,-0.133,0.236,NaN,NaN,26.08,0.32
50,1880,6,0.014,1.530,-0.379,0.688,-0.070,0.359,-0.137,0.234,NaN,NaN,26.08,0.32
51,1880,7,-0.137,1.549,-0.276,0.686,-0.064,0.357,-0.135,0.234,NaN,NaN,26.08,0.32
52,1880,8,-0.411,1.389,-0.034,0.654,-0.060,0.359,-0.133,0.234,NaN,NaN,26.08,0.32
53,1880,9,-0.016,1.424,0.039,0.660,-0.071,0.357,-0.134,0.235,NaN,NaN,26.08,0.32
54,1880,10,-0.090,1.247,0.101,0.653,-0.085,0.358,-0.132,0.235,NaN,NaN,26.08,0.32
55,1880,11,-0.207,1.057,0.167,0.675,-0.094,0.360,-0.123,0.235,NaN,NaN,26.08,0.32
56,1880,12,-0.064,1.382,0.190,0.701,-0.086,0.364,-0.119,0.235,NaN,NaN,26.08,0.32
57,1881,1,1.166,1.165,0.241,0.695,-0.124,0.363,-0.123,0.234,NaN,NaN,26.08,0.32
58,1881,2,0.517,1.115,0.310,0.693,-0.151,0.373,-0.128,0.234,NaN,NaN,26.08,0.32
59,1881,3,0.413,1.293,0.335,0.694,-0.170,0.371,-0.136,0.237,NaN,NaN,26.08,0.32
60,1881,4,0.336,1.157,0.370,0.665,-0.168,0.370,-0.143,0.237,NaN,NaN,26.08,0.32
61,1881,5,0.487,1.310,0.355,0.644,-0.186,0.365,-0.149,0.239,NaN,NaN,26.08,0.32
62,1881,6,0.285,1.618,0.326,0.642,-0.182,0.355,-0.142,0.236,NaN,NaN,26.08,0.32
63,1881,7,0.477,1.209,0.187,0.635,-0.210,0.354,-0.138,0.235,NaN,NaN,26.08,0.32
64,1881,8,0.411,1.576,-0.007,0.606,-0.227,0.354,-0.144,0.236,-0.227,0.183,26.08,0.32
65,1881,9,0.286,1.295,-0.172,0.592,-0.218,0.357,-0.148,0.237,-0.224,0.184,26.08,0.32
66,1881,10,0.331,1.139,-0.230,0.621,-0.227,0.354,-0.149,0.237,-0.221,0.183,26.08,0.32
67,1881,11,-0.389,1.234,-0.342,0.616,-0.251,0.354,-0.157,0.234,-0.215,0.183,26.08,0.32
68,1881,12,-0.405,1.205,-0.372,0.609,-0.262,0.356,-0.174,0.234,-0.213,0.183,26.08,0.32
69,1882,1,-0.505,1.182,-0.491,0.600,-0.277,0.354,-0.190,0.236,-0.208,0.184,26.08,0.32
70,1882,2,-1.817,1.714,-0.530,0.577,-0.279,0.357,-0.195,0.239,-0.208,0.184,26.08,0.32
71,1882,3,-1.564,1.197,-0.581,0.584,-0.271,0.352,-0.211,0.240,-0.206,0.183,26.08,0.32
72,1882,4,-0.361,1.179,-0.656,0.603,-0.275,0.349,-0.223,0.241,-0.203,0.184,26.08,0.32
73,1882,5,-0.852,1.210,-0.751,0.604,-0.281,0.345,-0.239,0.243,-0.201,0.184,26.08,0.32
74,1882,6,-0.073,1.208,-0.644,0.589,-0.293,0.341,-0.239,0.244,-0.202,0.185,26.08,0.32
75,1882,7,-0.957,1.163,-0.690,0.632,-0.320,0.343,-0.250,0.243,-0.206,0.183,26.08,0.32
76,1882,8,-0.056,1.131,-0.631,0.630,-0.292,0.337,-0.264,0.241,-0.210,0.182,26.08,0.32
77,1882,9,-0.326,1.069,-0.497,0.619,-0.296,0.331,-0.273,0.243,-0.215,0.182,26.08,0.32
78,1882,10,-0.571,1.173,-0.462,0.611,-0.312,0.329,-0.282,0.246,-0.212,0.182,26.08,0.32
79,1882,11,-1.522,1.148,-0.385,0.601,-0.299,0.332,-0.274,0.246,-0.211,0.183,26.08,0.32
80,1882,12,0.871,1.428,-0.281,0.577,-0.306,0.331,-0.266,0.246,-0.206,0.183,26.08,0.32
81,1883,1,-1.049,1.328,-0.238,0.565,-0.297,0.329,-0.253,0.245,-0.200,0.183,26.08,0.32
82,1883,2,-1.109,1.288,-0.303,0.578,-0.290,0.329,-0.236,0.249,-0.209,0.183,26.08,0.32
83,1883,3,0.045,1.200,-0.301,0.559,-0.299,0.329,-0.243,0.251,-0.208,0.182,26.08,0.32
84,1883,4,0.056,1.206,-0.230,0.527,-0.305,0.326,-0.254,0.254,-0.210,0.182,26.08,0.32
85,1883,5,0.068,1.162,-0.212,0.523,-0.306,0.324,-0.262,0.257,-0.215,0.181,26.08,0.32
86,1883,6,1.172,1.091,-0.246,0.482,-0.302,0.325,-0.270,0.264,-0.215,0.181,26.08,0.32
87,1883,7,-0.436,1.407,-0.189,0.455,-0.344,0.327,-0.286,0.266,-0.215,0.181,26.08,0.32
88,1883,8,-0.837,1.424,-0.220,0.489,-0.383,0.327,-0.296,0.275,-0.217,0.183,26.08,0.32
89,1883,9,-0.295,0.985,-0.263,0.477,-0.406,0.330,-0.305,0.282,-0.219,0.184,26.08,0.32
90,1883,10,0.274,1.020,-0.272,0.478,-0.417,0.328,-0.298,0.281,-0.221,0.185,26.08,0.32
91,1883,11,-1.308,1.021,-0.409,0.454,-0.421,0.321,-0.299,0.284,-0.220,0.185,26.08,0.32
92,1883,12,0.473,1.065,-0.524,0.454,-0.412,0.313,-0.292,0.280,-0.213,0.184,26.08,0.32
93,1884,1,-0.371,1.137,-0.533,0.454,-0.408,0.313,-0.309,0.280,-0.214,0.184,26.08,0.32
94,1884,2,-1.481,1.253,-0.491,0.436,-0.427,0.311,-0.303,0.279,-0.214,0.184,26.08,0.32
95,1884,3,-0.465,1.034,-0.475,0.434,-0.442,0.311,-0.283,0.281,-0.205,0.182,26.08,0.32
96,1884,4,-0.053,1.015,-0.522,0.438,-0.453,0.316,-0.287,0.278,-0.205,0.182,26.08,0.32
97,1884,5,-1.577,1.077,-0.487,0.447,-0.472,0.315,-0.283,0.278,-0.212,0.182,26.08,0.32
98,1884,6,-0.213,1.044,-0.523,0.443,-0.491,0.313,-0.284,0.279,-0.211,0.183,26.08,0.32
99,1884,7,-0.539,1.156,-0.631,0.462,-0.520,0.329,-0.289,0.275,-0.214,0.184,26.08,0.32
100,1884,8,-0.330,1.007,-0.566,0.489,-0.505,0.330,-0.294,0.275,-0.217,0.184,26.08,0.32
101,1884,9,-0.109,1.235,-0.590,0.479,-0.498,0.333,-0.281,0.276,-0.218,0.186,26.08,0.32
102,1884,10,-0.284,1.072,-0.696,0.497,-0.490,0.334,-0.283,0.278,-0.218,0.187,26.08,0.32
103,1884,11,-0.895,1.262,-0.529,0.492,-0.492,0.335,-0.291,0.282,-0.222,0.189,26.08,0.32
104,1884,12,0.043,1.093,-0.541,0.504,-0.486,0.340,-0.288,0.285,-0.224,0.189,26.08,0.32
