,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1876,4,-0.104,1.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
1,1876,5,0.452,1.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
2,1876,6,-0.485,1.076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
3,1876,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
4,1876,8,-1.597,2.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
5,1876,9,-0.594,1.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
6,1876,10,-0.471,1.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
7,1876,11,-1.294,1.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
8,1876,12,-1.129,1.585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
9,1877,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
10,1877,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
11,1877,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
12,1877,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
13,1877,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
14,1877,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
19,1877,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
20,1877,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
21,1878,1,-2.038,1.770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
22,1878,2,-2.421,4.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
23,1878,3,-0.341,2.353,-0.046,1.162,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
24,1878,4,-1.255,3.246,0.019,1.248,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
25,1878,5,0.335,1.752,-0.182,1.226,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
26,1878,6,0.677,1.376,-0.403,1.234,NaN,NaN,NaN,NaN,NaN,NaN,20.89,0.89
27,1878,7,0.721,1.355,-0.287,1.057,-0.759,0.584,NaN,NaN,NaN,NaN,20.89,0.89
28,1878,8,1.237,1.379,-0.150,0.741,-0.726,0.588,NaN,NaN,NaN,NaN,20.89,0.89
29,1878,9,1.401,1.687,-0.278,0.658,-0.704,0.593,NaN,NaN,NaN,NaN,20.89,0.89
30,1878,10,0.271,1.658,-0.201,0.599,-0.702,0.606,NaN,NaN,NaN,NaN,20.89,0.89
31,1878,11,-1.459,1.256,-0.294,0.619,-0.695,0.601,NaN,NaN,NaN,NaN,20.89,0.89
32,1878,12,-1.960,1.327,-0.397,0.558,-0.696,0.625,NaN,NaN,NaN,NaN,20.89,0.89
33,1879,1,-0.653,1.470,-0.487,0.548,-0.682,0.635,NaN,NaN,NaN,NaN,20.89,0.89
34,1879,2,-0.775,1.359,-0.654,0.489,-0.651,0.649,NaN,NaN,NaN,NaN,20.89,0.89
35,1879,3,-1.871,1.165,-0.806,0.489,-0.632,0.648,NaN,NaN,NaN,NaN,20.89,0.89
36,1879,4,-0.334,1.733,-0.905,0.512,-0.618,0.650,NaN,NaN,NaN,NaN,20.89,0.89
37,1879,5,-0.778,1.475,-0.871,0.537,-0.601,0.617,NaN,NaN,NaN,NaN,20.89,0.89
38,1879,6,-0.559,1.700,-0.857,0.581,-0.586,0.596,NaN,NaN,NaN,NaN,20.89,0.89
39,1879,7,-0.362,1.026,-0.988,0.492,-0.576,0.567,NaN,NaN,NaN,NaN,20.89,0.89
40,1879,8,-0.765,1.768,-1.217,0.553,-0.601,0.565,NaN,NaN,NaN,NaN,20.89,0.89
41,1879,9,-0.427,1.310,-1.150,0.582,-0.608,0.552,NaN,NaN,NaN,NaN,20.89,0.89
42,1879,10,-0.914,1.183,-1.241,0.616,-0.620,0.548,-0.694,0.378,NaN,NaN,20.89,0.89
43,1879,11,-1.058,2.327,-1.226,0.658,-0.621,0.550,-0.707,0.372,NaN,NaN,20.89,0.89
44,1879,12,-1.785,1.476,-1.315,0.715,-0.623,0.557,-0.712,0.370,NaN,NaN,20.89,0.89
45,1880,1,-2.223,3.291,-1.381,0.895,-0.614,0.529,-0.703,0.366,NaN,NaN,20.89,0.89
46,1880,2,-3.527,1.725,-1.432,0.924,-0.606,0.529,-0.689,0.360,NaN,NaN,20.89,0.89
47,1880,3,-1.065,1.434,-1.490,1.167,-0.599,0.519,-0.677,0.360,NaN,NaN,20.89,0.89
48,1880,4,-1.434,1.088,-1.530,1.359,-0.602,0.501,-0.678,0.355,NaN,NaN,20.89,0.89
49,1880,5,-0.598,1.403,-1.572,1.601,-0.650,0.492,-0.671,0.354,NaN,NaN,20.89,0.89
50,1880,6,-1.618,2.657,-1.480,1.803,-0.676,0.503,-0.663,0.354,NaN,NaN,20.89,0.89
51,1880,7,-1.162,2.616,-1.323,1.598,-0.653,0.460,-0.655,0.355,NaN,NaN,20.89,0.89
52,1880,8,-1.374,2.368,-1.001,1.526,-0.627,0.396,-0.645,0.354,NaN,NaN,20.89,0.89
53,1880,9,-1.124,3.331,-0.936,1.520,-0.639,0.379,-0.633,0.355,NaN,NaN,20.89,0.89
54,1880,10,-1.387,2.623,-0.818,1.582,-0.620,0.354,-0.618,0.352,NaN,NaN,20.89,0.89
55,1880,11,-1.561,1.215,-0.695,1.470,-0.611,0.347,-0.599,0.350,NaN,NaN,20.89,0.89
56,1880,12,-0.689,1.818,-0.606,1.421,-0.609,0.338,-0.584,0.348,NaN,NaN,20.89,0.89
57,1881,1,-0.330,0.964,-0.458,1.279,-0.620,0.331,-0.586,0.346,NaN,NaN,20.89,0.89
58,1881,2,0.336,0.989,-0.324,1.164,-0.637,0.326,-0.576,0.349,NaN,NaN,20.89,0.89
59,1881,3,-0.284,1.120,-0.181,0.896,-0.661,0.319,-0.578,0.345,NaN,NaN,20.89,0.89
60,1881,4,-0.022,1.256,-0.036,0.725,-0.659,0.326,-0.586,0.344,NaN,NaN,20.89,0.89
61,1881,5,0.874,1.063,0.072,0.519,-0.640,0.338,-0.589,0.349,NaN,NaN,20.89,0.89
62,1881,6,-0.551,2.042,0.108,0.380,-0.620,0.349,-0.584,0.351,NaN,NaN,20.89,0.89
63,1881,7,0.616,1.063,0.104,0.453,-0.620,0.354,-0.578,0.352,NaN,NaN,20.89,0.89
64,1881,8,0.235,1.235,-0.122,0.519,-0.622,0.362,-0.569,0.354,NaN,NaN,20.89,0.89
65,1881,9,0.585,1.124,-0.234,0.662,-0.604,0.368,-0.560,0.359,NaN,NaN,20.89,0.89
66,1881,10,0.354,0.806,-0.303,0.745,-0.611,0.366,-0.567,0.358,NaN,NaN,20.89,0.89
67,1881,11,-0.256,2.555,-0.396,0.723,-0.608,0.377,-0.566,0.359,NaN,NaN,20.89,0.89
68,1881,12,-0.259,2.411,-0.381,0.812,-0.598,0.397,-0.570,0.355,NaN,NaN,20.89,0.89
69,1882,1,-0.383,2.487,-0.411,1.001,-0.599,0.398,-0.578,0.356,NaN,NaN,20.89,0.89
70,1882,2,-2.369,1.457,-0.440,1.053,-0.600,0.413,-0.589,0.353,NaN,NaN,20.89,0.89
71,1882,3,-1.629,1.609,-0.469,1.100,-0.600,0.395,-0.596,0.350,NaN,NaN,20.89,0.89
72,1882,4,-0.847,1.170,-0.556,1.195,-0.593,0.403,-0.599,0.348,-0.583,0.324,20.89,0.89
73,1882,5,-0.244,0.845,-0.699,1.055,-0.623,0.369,-0.605,0.344,-0.582,0.320,20.89,0.89
74,1882,6,-0.380,0.983,-0.749,0.873,-0.607,0.371,-0.597,0.339,-0.583,0.318,20.89,0.89
75,1882,7,0.263,2.463,-0.772,0.927,-0.599,0.402,-0.590,0.339,-0.582,0.315,20.89,0.89
76,1882,8,-0.112,0.899,-0.644,1.119,-0.555,0.412,-0.589,0.338,-0.581,0.313,20.89,0.89
77,1882,9,0.234,1.518,-0.598,1.034,-0.551,0.428,-0.582,0.339,-0.583,0.311,20.89,0.89
78,1882,10,-0.691,1.745,-0.540,1.007,-0.556,0.416,-0.582,0.341,-0.581,0.310,20.89,0.89
79,1882,11,-1.966,1.079,-0.444,1.188,-0.553,0.429,-0.593,0.339,-0.578,0.307,20.89,0.89
80,1882,12,-0.863,1.372,-0.348,1.216,-0.519,0.474,-0.603,0.337,-0.577,0.309,20.89,0.89
81,1883,1,-0.661,3.043,-0.363,1.097,-0.494,0.514,-0.595,0.337,-0.573,0.308,20.89,0.89
82,1883,2,-0.838,3.489,-0.337,1.209,-0.475,0.542,-0.575,0.359,-0.579,0.305,20.89,0.89
83,1883,3,-1.069,0.853,-0.356,1.139,-0.453,0.597,-0.570,0.376,-0.579,0.303,20.89,0.89
84,1883,4,-0.148,0.985,-0.270,1.159,-0.428,0.631,-0.561,0.398,-0.577,0.301,20.89,0.89
85,1883,5,0.902,2.434,-0.132,1.358,-0.406,0.650,-0.566,0.404,-0.577,0.300,20.89,0.89
86,1883,6,0.774,1.072,-0.122,1.462,-0.395,0.689,-0.569,0.410,-0.577,0.300,20.89,0.89
87,1883,7,0.085,1.093,-0.122,1.423,-0.412,0.710,-0.573,0.415,-0.578,0.299,20.89,0.89
88,1883,8,0.192,1.836,-0.128,1.289,-0.425,0.744,-0.584,0.417,-0.577,0.296,20.89,0.89
89,1883,9,0.013,0.976,-0.105,1.302,-0.451,0.735,-0.592,0.421,-0.578,0.295,20.89,0.89
90,1883,10,0.335,1.929,-0.154,1.298,-0.469,0.744,-0.582,0.440,-0.575,0.295,20.89,0.89
91,1883,11,-0.305,3.179,-0.281,1.307,-0.483,0.746,-0.577,0.445,-0.570,0.292,20.89,0.89
92,1883,12,-0.745,1.034,-0.342,1.375,-0.471,0.776,-0.570,0.442,-0.561,0.291,20.89,0.89
93,1884,1,-0.665,3.113,-0.382,1.337,-0.474,0.794,-0.570,0.447,-0.563,0.291,20.89,0.89
94,1884,2,-0.910,1.941,-0.469,1.202,-0.487,0.805,-0.561,0.449,-0.561,0.291,20.89,0.89
95,1884,3,-0.783,1.500,-0.502,1.037,-0.489,0.826,-0.537,0.453,-0.557,0.290,20.89,0.89
96,1884,4,-0.736,1.510,-0.571,0.987,-0.516,0.817,-0.534,0.443,-0.556,0.291,20.89,0.89
97,1884,5,-0.622,2.638,-0.786,0.625,-0.531,0.792,-0.524,0.437,-0.557,0.290,20.89,0.89
98,1884,6,0.038,1.159,-0.793,0.695,-0.554,0.771,-0.509,0.446,-0.556,0.290,20.89,0.89
99,1884,7,-0.399,0.775,-0.880,0.562,-0.581,0.754,-0.496,0.445,-0.556,0.286,20.89,0.89
100,1884,8,-0.846,0.988,-0.881,0.508,-0.576,0.744,-0.493,0.454,-0.557,0.283,20.89,0.89
101,1884,9,-0.383,2.281,-0.883,0.502,-0.584,0.741,-0.486,0.450,-0.559,0.282,20.89,0.89
102,1884,10,-0.493,1.445,-0.965,0.429,-0.578,0.743,-0.492,0.449,-0.564,0.280,20.89,0.89
103,1884,11,-2.891,2.322,-0.947,0.384,-0.589,0.752,-0.507,0.432,-0.557,0.281,20.89,0.89
104,1884,12,-0.823,2.089,-0.918,0.377,-0.572,0.759,-0.497,0.421,-0.557,0.280,20.89,0.89
105,1885,1,-1.709,0.665,-0.858,0.388,-0.566,0.731,-0.497,0.436,-0.554,0.277,20.89,0.89
106,1885,2,-0.921,1.476,-0.807,0.393,-0.571,0.727,-0.474,0.443,-0.544,0.274,20.89,0.89
107,1885,3,-0.812,1.191,-0.758,0.488,-0.566,0.722,-0.475,0.448,-0.544,0.272,20.89,0.89
108,1885,4,-1.717,1.397,-0.704,0.456,-0.562,0.716,-0.459,0.448,-0.540,0.271,20.89,0.89
109,1885,5,-0.411,0.950,-0.485,0.611,-0.537,0.713,-0.463,0.451,-0.538,0.269,20.89,0.89
110,1885,6,0.389,1.476,-0.422,0.566,-0.530,0.721,-0.442,0.471,-0.536,0.268,20.89,0.89
111,1885,7,0.316,0.980,-0.392,0.613,-0.537,0.674,-0.433,0.492,-0.536,0.267,20.89,0.89
112,1885,8,-0.228,1.359,-0.351,0.724,-0.523,0.625,-0.431,0.510,-0.533,0.264,20.89,0.89
113,1885,9,0.206,1.371,-0.438,0.605,-0.501,0.653,-0.426,0.533,-0.532,0.262,20.89,0.89
114,1885,10,0.155,1.122,-0.386,0.657,-0.502,0.665,-0.419,0.559,-0.527,0.259,20.89,0.89
115,1885,11,-0.264,1.401,-0.348,0.665,-0.521,0.639,-0.411,0.567,-0.521,0.257,20.89,0.89
116,1885,12,-0.064,2.080,-0.368,0.605,-0.528,0.661,-0.400,0.580,-0.509,0.257,20.89,0.89
117,1886,1,-1.349,1.167,-0.355,0.607,-0.526,0.664,-0.397,0.578,-0.500,0.258,20.89,0.89
118,1886,2,-0.433,2.139,-0.383,0.619,-0.530,0.657,-0.404,0.577,-0.505,0.259,20.89,0.89
119,1886,3,-1.854,1.590,-0.361,0.662,-0.524,0.679,-0.413,0.577,-0.502,0.260,20.89,0.89
120,1886,4,-1.098,0.764,-0.478,0.662,-0.504,0.682,-0.415,0.582,-0.503,0.263,20.89,0.89
121,1886,5,0.045,1.054,-0.554,0.696,-0.513,0.653,-0.424,0.577,-0.509,0.264,20.89,0.89
122,1886,6,0.154,0.953,-0.687,0.654,-0.520,0.632,-0.420,0.590,-0.509,0.266,20.89,0.89
123,1886,7,0.473,0.985,-0.738,0.672,-0.519,0.624,-0.428,0.593,-0.508,0.263,20.89,0.89
124,1886,8,-0.569,1.056,-0.876,0.533,-0.500,0.615,-0.435,0.599,-0.507,0.261,20.89,0.89
125,1886,9,0.467,2.080,-0.898,0.652,-0.469,0.612,-0.439,0.598,-0.502,0.259,20.89,0.89
126,1886,10,-1.238,0.980,-0.845,0.689,-0.458,0.601,-0.435,0.595,-0.501,0.258,20.89,0.89
127,1886,11,-1.178,1.135,-0.924,0.675,-0.439,0.565,-0.431,0.575,-0.502,0.257,20.89,0.89
128,1886,12,-1.664,2.193,-0.883,0.661,-0.420,0.557,-0.423,0.561,-0.497,0.256,20.89,0.89
129,1887,1,-1.965,1.267,-0.869,0.661,-0.393,0.554,-0.425,0.548,-0.497,0.255,20.89,0.89
130,1887,2,-2.087,0.876,-0.859,0.632,-0.385,0.556,-0.413,0.544,-0.504,0.257,20.89,0.89
131,1887,3,-2.122,1.376,-0.855,0.572,-0.372,0.581,-0.396,0.536,-0.509,0.258,20.89,0.89
132,1887,4,-0.458,1.089,-0.787,0.660,-0.391,0.566,-0.393,0.531,-0.512,0.259,20.89,0.89
