,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-1.352,2.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
1,1814,2,-5.827,2.110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
2,1814,3,-2.849,1.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
3,1814,4,0.915,2.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
4,1814,5,-3.107,1.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
5,1814,6,-2.084,2.762,-1.852,1.056,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
6,1814,7,-0.586,1.866,-1.911,1.029,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
7,1814,8,-1.600,2.011,-1.347,1.001,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
8,1814,9,-4.141,2.051,-0.976,0.989,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
9,1814,10,-2.557,1.779,-1.024,0.976,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
10,1814,11,-0.134,1.993,-0.697,0.985,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
11,1814,12,1.097,1.811,-0.620,0.904,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
12,1815,1,-2.056,1.975,-0.789,0.935,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
13,1815,2,0.938,1.893,-0.940,0.885,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
14,1815,3,1.601,1.857,-0.754,0.939,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
15,1815,4,0.341,1.927,-0.578,0.975,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
16,1815,5,0.822,2.034,-0.784,0.950,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
17,1815,6,-1.168,1.930,-1.137,0.940,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
18,1815,7,-2.614,2.096,-0.932,0.945,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
19,1815,8,-3.412,1.767,-1.238,0.962,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
20,1815,9,-1.902,1.811,-1.544,0.949,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
21,1815,10,-0.442,1.991,-1.620,0.973,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
22,1815,11,-2.608,1.837,-1.810,1.010,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
23,1815,12,-3.147,1.832,-1.877,1.095,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
24,1816,1,0.407,2.052,-1.799,1.160,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
25,1816,2,-2.729,1.994,-1.784,1.206,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
26,1816,3,-2.076,1.804,-1.742,1.308,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
27,1816,4,-0.567,2.134,-1.770,1.383,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
28,1816,5,-1.457,2.372,-1.668,1.498,NaN,NaN,NaN,NaN,NaN,NaN,15.63,1.06
29,1816,6,-1.972,2.720,-1.598,1.500,-1.081,1.242,NaN,NaN,NaN,NaN,15.63,1.06
30,1816,7,-1.685,2.749,-1.490,1.509,-1.073,1.215,NaN,NaN,NaN,NaN,15.63,1.06
31,1816,8,-3.224,1.987,-1.076,1.510,-0.980,1.178,NaN,NaN,NaN,NaN,15.63,1.06
32,1816,9,-1.402,2.447,-0.908,1.588,-0.918,1.193,NaN,NaN,NaN,NaN,15.63,1.06
33,1816,10,-0.785,2.665,-1.257,1.567,-0.927,1.139,NaN,NaN,NaN,NaN,15.63,1.06
34,1816,11,-1.374,2.759,-1.201,1.602,-0.865,NaN,NaN,NaN,NaN,NaN,15.63,1.06
35,1816,12,-2.305,1.853,-0.951,1.599,-0.805,NaN,NaN,NaN,NaN,NaN,15.63,1.06
36,1817,1,1.695,2.110,-0.837,1.621,-0.789,NaN,NaN,NaN,NaN,NaN,15.63,1.06
37,1817,2,2.236,2.009,-0.606,1.750,-0.776,NaN,NaN,NaN,NaN,NaN,15.63,1.06
