,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,10,-0.496,1.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
1,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
2,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
3,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
4,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
5,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
6,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
7,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
8,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
9,1850,7,0.445,1.562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
10,1850,8,-0.055,1.608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
11,1850,9,-0.423,1.175,-0.547,0.610,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
12,1850,10,-1.222,1.589,-0.594,0.577,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
13,1850,11,-1.518,2.571,-0.519,0.603,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
14,1850,12,-0.916,1.464,-0.504,0.591,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
15,1851,1,0.037,1.469,-0.590,0.547,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
16,1851,2,-0.101,1.821,-0.617,0.521,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
17,1851,3,-1.004,1.434,-0.697,0.527,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
18,1851,4,-0.366,1.260,-0.616,0.497,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
19,1851,5,-0.429,1.223,-0.602,0.547,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
20,1851,6,-0.497,1.173,-0.600,0.575,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
21,1851,7,-0.587,1.183,-0.860,0.581,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
22,1851,8,-0.383,1.041,-0.843,0.600,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
23,1851,9,-1.381,1.299,-0.811,0.623,NaN,NaN,NaN,NaN,NaN,NaN,25.40,0.24
24,1851,10,-0.245,1.715,-0.791,0.638,-0.551,0.459,NaN,NaN,NaN,NaN,25.40,0.24
25,1851,11,-1.351,1.409,-0.750,0.667,-0.546,0.450,NaN,NaN,NaN,NaN,25.40,0.24
26,1851,12,-0.897,1.470,-0.738,0.672,-0.547,0.455,NaN,NaN,NaN,NaN,25.40,0.24
27,1852,1,-3.076,1.793,-0.720,0.665,-0.564,0.440,NaN,NaN,NaN,NaN,25.40,0.24
28,1852,2,0.102,1.863,-0.719,0.693,-0.582,0.433,NaN,NaN,NaN,NaN,25.40,0.24
29,1852,3,-0.622,1.246,-0.664,0.703,-0.590,0.429,NaN,NaN,NaN,NaN,25.40,0.24
30,1852,4,-0.124,1.391,-0.716,0.649,-0.590,0.421,NaN,NaN,NaN,NaN,25.40,0.24
31,1852,5,NaN,NaN,-0.647,0.657,-0.616,0.419,NaN,NaN,NaN,NaN,25.40,0.24
32,1852,6,NaN,NaN,-0.517,0.600,-0.652,0.428,NaN,NaN,NaN,NaN,25.40,0.24
33,1852,7,-0.378,1.466,-0.427,0.606,-0.684,0.424,NaN,NaN,NaN,NaN,25.40,0.24
34,1852,8,-0.370,1.300,-0.518,0.667,-0.727,0.423,NaN,NaN,NaN,NaN,25.40,0.24
35,1852,9,-0.719,1.150,-0.556,0.641,-0.762,0.423,NaN,NaN,NaN,NaN,25.40,0.24
36,1852,10,-0.868,1.463,-0.588,0.612,-0.777,0.417,NaN,NaN,NaN,NaN,25.40,0.24
37,1852,11,-0.527,1.347,-0.613,0.622,-0.757,0.423,NaN,NaN,NaN,NaN,25.40,0.24
38,1852,12,0.665,1.212,-0.654,0.638,-0.756,0.415,NaN,NaN,NaN,NaN,25.40,0.24
39,1853,1,-1.998,1.567,-0.619,0.688,-0.787,0.411,-0.646,0.334,NaN,NaN,25.40,0.24
40,1853,2,-0.990,2.234,-0.649,0.686,-0.804,0.409,-0.658,0.333,NaN,NaN,25.40,0.24
41,1853,3,-1.077,1.311,-0.662,0.663,-0.817,0.408,-0.671,0.329,NaN,NaN,25.40,0.24
42,1853,4,-0.512,1.242,-0.633,0.624,-0.827,0.392,-0.674,0.329,NaN,NaN,25.40,0.24
43,1853,5,-0.232,1.224,-0.687,0.676,-0.811,0.381,-0.663,0.331,NaN,NaN,25.40,0.24
44,1853,6,-0.848,1.330,-0.874,0.714,-0.803,0.374,-0.655,0.331,NaN,NaN,25.40,0.24
45,1853,7,0.048,1.516,-0.818,0.724,-0.832,0.373,-0.667,0.326,NaN,NaN,25.40,0.24
46,1853,8,-0.730,1.320,-0.837,0.661,-0.850,0.378,-0.669,0.320,NaN,NaN,25.40,0.24
47,1853,9,-0.877,0.935,-0.740,0.652,-0.844,0.371,-0.663,0.319,NaN,NaN,25.40,0.24
48,1853,10,-0.516,1.221,-0.827,0.641,-0.850,0.369,-0.658,0.317,NaN,NaN,25.40,0.24
49,1853,11,-1.172,2.046,-0.831,0.635,-0.852,0.364,-0.656,0.315,NaN,NaN,25.40,0.24
50,1853,12,-1.578,1.413,-0.818,0.650,-0.846,0.367,-0.659,0.313,NaN,NaN,25.40,0.24
51,1854,1,-1.331,1.518,-0.913,0.582,-0.847,0.367,-0.672,0.309,NaN,NaN,25.40,0.24
52,1854,2,-1.218,1.298,-0.968,0.554,-0.845,0.369,-0.665,0.305,NaN,NaN,25.40,0.24
53,1854,3,0.082,1.055,-0.984,0.576,-0.842,0.366,-0.671,0.304,NaN,NaN,25.40,0.24
54,1854,4,-1.557,1.450,-0.979,0.547,-0.859,0.363,-0.663,0.299,NaN,NaN,25.40,0.24
55,1854,5,-0.273,1.075,-0.998,0.544,-0.849,0.357,-0.661,0.294,NaN,NaN,25.40,0.24
56,1854,6,-0.692,1.189,-1.012,0.596,-0.838,0.354,-0.662,0.291,NaN,NaN,25.40,0.24
57,1854,7,-1.093,1.287,-0.972,0.668,-0.806,0.346,-0.663,0.285,NaN,NaN,25.40,0.24
58,1854,8,-1.391,1.250,-1.020,0.689,-0.815,0.346,-0.664,0.280,NaN,NaN,25.40,0.24
59,1854,9,-1.070,1.028,-1.156,0.711,-0.841,0.349,-0.665,0.277,NaN,NaN,25.40,0.24
60,1854,10,-0.456,1.114,-1.085,0.691,-0.860,0.339,-0.665,0.274,NaN,NaN,25.40,0.24
61,1854,11,-1.403,1.225,-1.073,0.719,-0.879,0.336,-0.679,0.270,NaN,NaN,25.40,0.24
62,1854,12,-1.742,2.886,-1.067,0.718,-0.879,0.334,-0.695,0.268,NaN,NaN,25.40,0.24
63,1855,1,-0.854,1.790,-1.091,0.707,-0.881,0.338,-0.712,0.265,NaN,NaN,25.40,0.24
64,1855,2,-1.787,1.708,-1.069,0.736,-0.888,0.340,-0.725,0.260,NaN,NaN,25.40,0.24
65,1855,3,-1.553,1.428,-1.078,0.725,-0.895,0.337,-0.750,0.259,NaN,NaN,25.40,0.24
66,1855,4,-0.703,1.455,-1.191,0.651,-0.884,0.344,-0.755,0.256,NaN,NaN,25.40,0.24
67,1855,5,-0.130,1.198,-1.121,0.589,-0.884,0.348,-0.755,0.252,NaN,NaN,25.40,0.24
68,1855,6,-0.622,1.136,-1.010,0.486,-0.906,0.339,-0.747,0.250,NaN,NaN,25.40,0.24
69,1855,7,-1.385,1.113,-1.085,0.512,-0.853,0.344,-0.752,0.251,NaN,NaN,25.40,0.24
70,1855,8,-1.117,1.054,-1.031,0.554,-0.848,0.362,-0.757,0.251,NaN,NaN,25.40,0.24
71,1855,9,-1.179,0.954,-0.955,0.567,-0.865,0.351,-0.757,0.251,NaN,NaN,25.40,0.24
72,1855,10,-1.811,1.499,-0.959,0.558,-0.871,0.353,-0.756,0.251,NaN,NaN,25.40,0.24
73,1855,11,-0.562,1.095,-0.993,0.566,-0.863,0.363,-0.747,0.249,NaN,NaN,25.40,0.24
74,1855,12,-0.419,1.819,-0.955,0.536,-0.850,0.367,-0.747,0.247,NaN,NaN,25.40,0.24
75,1856,1,-1.751,1.546,-0.889,0.506,-0.867,0.365,-0.752,0.250,NaN,NaN,25.40,0.24
76,1856,2,-1.134,1.573,-0.823,0.493,-0.870,0.362,-0.754,0.253,NaN,NaN,25.40,0.24
77,1856,3,-0.649,1.267,-0.824,0.516,-0.859,0.375,-0.755,0.258,NaN,NaN,25.40,0.24
78,1856,4,-0.753,1.047,-0.779,0.513,-0.850,0.372,-0.759,0.259,NaN,NaN,25.40,0.24
79,1856,5,-0.540,1.103,-0.793,0.554,-0.854,0.385,-0.764,0.257,NaN,NaN,25.40,0.24
80,1856,6,-0.160,1.669,-0.777,0.612,-0.832,0.389,-0.762,0.254,NaN,NaN,25.40,0.24
81,1856,7,-0.596,1.131,-0.728,0.557,-0.826,0.379,-0.759,0.253,NaN,NaN,25.40,0.24
82,1856,8,-0.319,1.041,-0.669,0.468,-0.800,0.370,-0.762,0.253,NaN,NaN,25.40,0.24
83,1856,9,-1.200,1.221,-0.799,0.448,-0.799,0.369,-0.757,0.252,NaN,NaN,25.40,0.24
84,1856,10,-1.266,1.177,-0.841,0.474,-0.775,0.363,-0.766,0.253,NaN,NaN,25.40,0.24
85,1856,11,-0.726,1.230,-0.886,0.512,-0.777,0.365,-0.755,0.252,NaN,NaN,25.40,0.24
86,1856,12,-0.229,1.408,-0.899,0.579,-0.776,0.365,-0.750,0.252,NaN,NaN,25.40,0.24
87,1857,1,-1.160,1.395,-0.890,0.622,-0.763,0.361,-0.729,0.259,NaN,NaN,25.40,0.24
88,1857,2,-0.434,2.022,-0.933,0.647,-0.746,0.362,-0.732,0.264,NaN,NaN,25.40,0.24
89,1857,3,-2.202,1.431,-0.925,0.651,-0.741,0.364,-0.732,0.269,NaN,NaN,25.40,0.24
90,1857,4,-1.257,2.950,-0.839,0.711,-0.741,0.365,-0.735,0.276,NaN,NaN,25.40,0.24
91,1857,5,-1.084,1.727,-0.821,0.719,-0.743,0.354,-0.741,0.277,NaN,NaN,25.40,0.24
92,1857,6,-0.314,1.793,-0.856,0.638,-0.737,0.359,-0.742,0.277,NaN,NaN,25.40,0.24
93,1857,7,-0.492,1.022,-0.663,0.709,-0.739,0.355,-0.740,0.278,-0.696,0.290,25.40,0.24
