,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1886,1,-1.442,1.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
1,1886,2,-2.281,2.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
2,1886,3,-1.955,1.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
3,1886,4,-1.226,2.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
4,1886,5,-1.179,1.043,-1.106,0.545,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
5,1886,6,-0.960,1.468,-1.125,0.553,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
6,1886,7,-0.523,1.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
7,1886,8,-0.575,1.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
8,1886,9,-0.676,1.373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
9,1886,10,-0.919,1.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
10,1886,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
11,1886,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
12,1887,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
13,1887,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
14,1887,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
15,1887,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.95,0.21
