,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,1,-0.628,0.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
1,1857,2,-0.931,0.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
2,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
3,1857,4,-1.557,0.689,-0.826,0.361,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
4,1857,5,-1.180,0.735,-0.778,0.392,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
5,1857,6,-0.542,0.857,-0.735,0.437,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
6,1857,7,-0.072,1.173,-0.708,0.443,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
7,1857,8,-0.734,0.699,-0.689,0.458,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
8,1857,9,-0.947,0.850,-0.653,0.462,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
9,1857,10,-0.770,1.074,-0.556,0.443,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
10,1857,11,-0.207,1.090,-0.484,0.447,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
11,1857,12,-0.299,0.876,-0.481,0.430,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
12,1858,1,-0.313,1.264,-0.522,0.386,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
13,1858,2,-0.696,0.813,-0.522,0.360,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
14,1858,3,-0.521,0.668,-0.569,0.328,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
15,1858,4,-0.387,1.080,-0.603,0.343,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
16,1858,5,-0.325,0.840,-0.638,0.373,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
17,1858,6,-0.507,0.694,-0.748,0.394,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
18,1858,7,-0.557,0.749,-0.803,0.405,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
19,1858,8,-0.739,0.798,-0.809,0.428,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
20,1858,9,-1.507,1.074,-0.784,0.441,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
21,1858,10,-1.183,0.806,-0.704,0.403,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
22,1858,11,-0.624,0.933,-0.665,0.421,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
23,1858,12,-1.618,1.083,-0.631,0.431,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
24,1859,1,-0.969,1.031,-0.596,0.451,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
25,1859,2,-0.770,1.074,-0.596,0.431,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
26,1859,3,-0.223,0.872,-0.544,0.387,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
27,1859,4,0.580,0.970,-0.451,0.388,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
28,1859,5,0.139,0.867,-0.428,0.405,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
29,1859,6,-0.096,0.828,-0.332,0.383,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
30,1859,7,-0.137,0.692,-0.294,0.365,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
31,1859,8,-0.742,0.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
32,1859,9,-0.890,0.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
33,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
34,1859,11,-0.354,0.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
35,1859,12,-0.463,1.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
36,1860,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
37,1860,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
38,1860,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
39,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
40,1860,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
41,1860,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
42,1860,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
43,1860,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
44,1860,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
45,1860,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
46,1860,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
47,1860,12,-1.389,1.090,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
48,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
49,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
50,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
51,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
52,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
53,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
54,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
55,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.98,0.09
