,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,1,-0.587,1.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
1,1824,2,-0.772,2.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
2,1824,3,-0.473,1.007,-0.804,0.645,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
3,1824,4,0.282,1.444,-0.783,0.617,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
4,1824,5,-0.581,1.254,-0.706,0.584,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
5,1824,6,-0.488,2.362,-0.639,0.685,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
6,1824,7,-0.307,1.850,-0.614,0.620,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
7,1824,8,-1.078,1.018,-0.586,0.614,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
8,1824,9,-1.028,2.538,-0.529,0.521,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
9,1824,10,-1.446,0.655,-0.492,0.540,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
10,1824,11,-0.691,0.801,-0.434,0.441,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
11,1824,12,-0.500,2.913,-0.394,0.375,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
12,1825,1,-0.285,2.096,-0.382,0.410,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
13,1825,2,-0.440,1.188,-0.336,0.506,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
14,1825,3,0.214,1.669,-0.348,0.469,NaN,NaN,NaN,NaN,NaN,NaN,26.57,0.12
15,1825,4,0.730,0.866,-0.313,0.477,-0.635,0.421,NaN,NaN,NaN,NaN,26.57,0.12
16,1825,5,0.109,1.552,-0.288,0.510,-0.607,0.423,NaN,NaN,NaN,NaN,26.57,0.12
17,1825,6,-0.007,1.175,-0.264,0.636,-0.567,0.420,NaN,NaN,NaN,NaN,26.57,0.12
18,1825,7,-0.168,2.308,-0.233,0.755,-0.576,0.405,NaN,NaN,NaN,NaN,26.57,0.12
19,1825,8,-0.517,2.085,-0.296,0.789,-0.581,0.397,NaN,NaN,NaN,NaN,26.57,0.12
20,1825,9,-1.177,1.843,-0.428,0.645,-0.577,0.408,NaN,NaN,NaN,NaN,26.57,0.12
21,1825,10,-1.024,1.133,-0.521,0.592,-0.564,0.423,NaN,NaN,NaN,NaN,26.57,0.12
22,1825,11,-0.393,2.391,-0.537,0.586,-0.549,0.431,NaN,NaN,NaN,NaN,26.57,0.12
23,1825,12,-0.210,1.478,-0.571,0.515,-0.548,0.447,NaN,NaN,NaN,NaN,26.57,0.12
24,1826,1,0.091,1.372,-0.590,0.501,-0.552,0.451,NaN,NaN,NaN,NaN,26.57,0.12
25,1826,2,-1.201,1.567,-0.636,0.478,-0.541,0.444,NaN,NaN,NaN,NaN,26.57,0.12
26,1826,3,-1.371,1.838,-0.654,0.410,-0.537,0.420,NaN,NaN,NaN,NaN,26.57,0.12
27,1826,4,-0.390,1.585,-0.658,0.415,-0.518,0.420,NaN,NaN,NaN,NaN,26.57,0.12
28,1826,5,-0.073,1.124,-0.632,0.583,-0.493,0.413,NaN,NaN,NaN,NaN,26.57,0.12
29,1826,6,-0.424,1.773,-0.573,0.651,-0.483,0.379,NaN,NaN,NaN,NaN,26.57,0.12
30,1826,7,-0.387,1.727,-0.584,0.953,-0.488,0.360,NaN,NaN,NaN,NaN,26.57,0.12
31,1826,8,-1.070,1.368,-0.515,1.081,-0.493,0.369,NaN,NaN,NaN,NaN,26.57,0.12
32,1826,9,-1.395,1.174,-0.395,0.976,-0.489,0.357,NaN,NaN,NaN,NaN,26.57,0.12
