,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1885,11,-0.622,1.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
1,1885,12,0.338,1.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
2,1886,1,-1.140,1.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
3,1886,2,-1.978,1.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
4,1886,3,-2.322,1.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
5,1886,4,-1.397,1.274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
6,1886,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
7,1886,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
8,1886,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
9,1886,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
10,1886,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
11,1886,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
12,1886,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
13,1886,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
14,1887,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
15,1887,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
16,1887,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
17,1887,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
18,1887,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
19,1887,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
20,1887,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
21,1887,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
22,1887,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
23,1887,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
24,1887,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.95,0.17
