,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,-1.981,1.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
1,1750,2,-0.118,2.026,-0.455,0.815,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
2,1750,3,2.057,2.553,-0.399,0.837,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
3,1750,4,0.373,1.284,-0.338,0.831,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
4,1750,5,-1.049,1.327,-0.472,0.831,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
5,1750,6,0.337,1.384,-0.477,0.853,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
6,1750,7,0.516,1.499,-0.451,0.855,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
7,1750,8,0.425,1.243,-0.691,0.805,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
8,1750,9,-0.180,2.083,-0.792,0.757,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
9,1750,10,-1.006,1.215,-0.954,0.742,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
10,1750,11,-2.961,1.295,-0.947,0.702,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
11,1750,12,-2.136,1.545,-0.999,0.707,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
12,1751,1,-1.664,1.654,-0.992,0.654,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
13,1751,2,-3.002,1.513,-0.942,0.647,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
14,1751,3,0.848,1.292,-0.979,0.628,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
15,1751,4,-1.574,1.242,-0.998,0.640,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
16,1751,5,-0.965,1.372,-1.011,0.674,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
17,1751,6,-0.286,1.429,-1.016,0.714,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
18,1751,7,0.598,1.402,-0.945,0.712,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
19,1751,8,1.021,1.166,-0.631,0.702,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
20,1751,9,-0.625,1.126,-0.707,0.714,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
21,1751,10,-1.229,1.363,-0.663,0.680,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
22,1751,11,-3.120,1.463,-0.654,0.652,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
23,1751,12,-2.199,1.988,-0.464,0.616,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
24,1752,1,-0.813,1.622,-0.502,0.632,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
25,1752,2,0.770,1.526,-0.660,0.663,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
26,1752,3,-0.069,1.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
27,1752,4,-1.038,1.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
28,1752,5,-0.861,1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
29,1752,6,1.993,1.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
30,1752,7,0.144,1.342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
31,1752,8,-0.878,1.560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
33,1752,10,-0.522,1.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
34,1752,11,-0.307,1.422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
35,1752,12,-1.026,1.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
36,1753,1,-3.067,1.704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
37,1753,2,-0.971,2.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
38,1753,3,0.876,1.616,-0.234,0.735,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
39,1753,4,0.124,1.482,-0.210,0.741,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
40,1753,5,0.209,0.761,-0.335,0.742,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
41,1753,6,2.201,1.443,-0.262,0.876,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
42,1753,7,0.846,1.173,-0.138,1.059,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
43,1753,8,-0.947,1.482,-0.293,1.041,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
44,1753,9,-0.222,0.774,-0.691,0.962,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
45,1753,10,-0.237,1.067,-0.744,1.022,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
46,1753,11,-1.805,1.284,-0.686,1.045,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
47,1753,12,-0.151,4.436,-0.801,1.034,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
48,1754,1,-1.575,2.382,-0.940,1.020,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
49,1754,2,-2.834,2.563,-0.798,1.158,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
50,1754,3,-3.897,0.639,-0.818,1.253,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
51,1754,4,-0.518,1.273,-0.708,1.275,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
52,1754,5,0.902,1.024,-0.463,1.308,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
53,1754,6,0.825,1.088,-0.477,1.051,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
54,1754,7,-0.819,1.182,-0.787,0.905,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
55,1754,8,0.757,1.188,-0.895,0.825,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
56,1754,9,-0.459,1.577,-0.641,0.791,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
57,1754,10,1.079,1.420,-0.262,0.919,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
58,1754,11,1.137,2.348,-0.352,0.828,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
59,1754,12,-0.319,1.390,-0.182,0.861,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
60,1755,1,-5.292,0.919,-0.129,0.988,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
61,1755,2,-4.135,1.412,-0.299,0.962,NaN,NaN,NaN,NaN,NaN,NaN,6.96,0.33
62,1755,3,-0.852,1.019,-0.368,0.932,-0.377,0.635,NaN,NaN,NaN,NaN,6.96,0.33
63,1755,4,4.027,1.883,-0.534,0.847,-0.430,0.605,NaN,NaN,NaN,NaN,6.96,0.33
64,1755,5,-0.172,1.024,-0.703,0.985,-0.441,0.629,NaN,NaN,NaN,NaN,6.96,0.33
65,1755,6,2.859,2.068,-0.682,0.881,-0.453,0.621,NaN,NaN,NaN,NaN,6.96,0.33
66,1755,7,-0.177,2.923,-0.170,1.014,-0.467,0.609,NaN,NaN,NaN,NaN,6.96,0.33
67,1755,8,-1.279,1.225,0.244,0.888,-0.476,0.591,NaN,NaN,NaN,NaN,6.96,0.33
68,1755,9,-1.293,0.986,0.314,0.787,-0.490,0.587,NaN,NaN,NaN,NaN,6.96,0.33
69,1755,10,-0.912,0.713,-0.107,0.751,-0.503,0.599,NaN,NaN,NaN,NaN,6.96,0.33
70,1755,11,-0.891,3.025,-0.104,0.676,-0.491,0.618,NaN,NaN,NaN,NaN,6.96,0.33
71,1755,12,-0.064,1.076,-0.178,0.687,-0.506,0.634,NaN,NaN,NaN,NaN,6.96,0.33
72,1756,1,0.854,2.291,-0.169,0.701,-0.563,0.622,NaN,NaN,NaN,NaN,6.96,0.33
73,1756,2,0.832,4.807,-0.068,0.624,-0.556,0.643,NaN,NaN,NaN,NaN,6.96,0.33
74,1756,3,-0.015,3.265,0.074,0.631,-0.588,0.634,NaN,NaN,NaN,NaN,6.96,0.33
75,1756,4,-1.026,2.543,0.045,0.641,-0.623,0.619,NaN,NaN,NaN,NaN,6.96,0.33
76,1756,5,-0.134,5.255,-0.122,0.594,-0.599,0.586,NaN,NaN,NaN,NaN,6.96,0.33
77,1756,6,1.964,2.186,-0.312,0.607,-0.594,0.569,NaN,NaN,NaN,NaN,6.96,0.33
78,1756,7,-0.069,8.472,-0.641,0.542,-0.550,0.566,NaN,NaN,NaN,NaN,6.96,0.33
79,1756,8,-0.065,2.916,-0.794,0.513,-0.486,0.563,NaN,NaN,NaN,NaN,6.96,0.33
80,1756,9,0.419,0.844,-0.881,0.547,-0.422,0.572,NaN,NaN,NaN,NaN,6.96,0.33
81,1756,10,-1.268,10.523,-0.753,0.541,-0.409,0.580,NaN,NaN,NaN,NaN,6.96,0.33
82,1756,11,-2.898,0.913,-0.655,0.753,-0.423,0.579,NaN,NaN,NaN,NaN,6.96,0.33
83,1756,12,-2.339,2.053,-0.669,0.656,-0.434,0.560,NaN,NaN,NaN,NaN,6.96,0.33
84,1757,1,-3.099,1.659,-0.450,0.656,-0.389,0.572,NaN,NaN,NaN,NaN,6.96,0.33
85,1757,2,-1.002,3.096,-0.361,0.646,-0.403,0.564,NaN,NaN,NaN,NaN,6.96,0.33
86,1757,3,-1.051,3.782,-0.540,0.585,-0.392,0.561,NaN,NaN,NaN,NaN,6.96,0.33
87,1757,4,0.500,1.638,-0.743,0.635,-0.398,0.569,NaN,NaN,NaN,NaN,6.96,0.33
88,1757,5,1.049,1.558,-0.583,0.609,-0.480,0.577,NaN,NaN,NaN,NaN,6.96,0.33
89,1757,6,1.793,1.550,-0.534,0.548,-0.496,0.576,NaN,NaN,NaN,NaN,6.96,0.33
90,1757,7,2.567,3.301,-0.602,1.306,-0.430,0.602,NaN,NaN,NaN,NaN,6.96,0.33
91,1757,8,0.992,4.872,-0.642,0.842,-0.383,0.622,NaN,NaN,NaN,NaN,6.96,0.33
92,1757,9,-1.719,6.966,-0.551,0.617,-0.401,0.631,-0.382,0.737,NaN,NaN,6.96,0.33
93,1757,10,-3.707,7.042,-0.648,0.525,-0.430,0.637,-0.397,0.735,NaN,NaN,6.96,0.33
94,1757,11,-0.977,9.464,-0.660,0.623,-0.421,0.644,-0.409,0.740,NaN,NaN,6.96,0.33
95,1757,12,-1.752,1.449,-0.701,0.916,-0.456,0.632,-0.437,0.725,NaN,NaN,6.96,0.33
96,1758,1,-3.912,7.374,-1.126,1.449,-0.445,0.641,-0.447,0.702,NaN,NaN,6.96,0.33
97,1758,2,-1.485,3.961,-1.253,2.333,-0.434,0.654,-0.423,0.716,NaN,NaN,6.96,0.33
98,1758,3,0.036,1.360,-1.288,3.034,-0.421,0.669,-0.444,0.709,NaN,NaN,6.96,0.33
99,1758,4,-0.657,3.200,-1.175,2.515,-0.416,0.694,-0.447,0.707,NaN,NaN,6.96,0.33
