,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.335,2.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
1,1814,2,-5.552,1.770,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
2,1814,3,-3.406,1.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
3,1814,4,0.516,1.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
4,1814,5,-2.991,1.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
5,1814,6,-2.296,3.004,-1.973,1.199,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
6,1814,7,-1.124,1.051,-2.020,1.166,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
7,1814,8,-2.054,1.474,-1.528,1.110,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
8,1814,9,-3.078,2.914,-1.123,1.112,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
9,1814,10,-2.495,0.873,-1.155,1.087,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
10,1814,11,0.240,1.495,-0.849,1.089,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
11,1814,12,0.893,1.020,-0.776,0.933,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
12,1815,1,-2.891,1.459,-0.927,0.995,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
13,1815,2,0.352,1.127,-0.975,0.919,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
14,1815,3,1.454,1.263,-0.827,1.027,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
15,1815,4,0.127,1.360,-0.652,1.099,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
16,1815,5,0.685,1.532,-0.848,1.062,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
17,1815,6,-1.424,1.132,-1.177,1.050,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
18,1815,7,-2.930,1.749,-1.013,1.054,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
19,1815,8,-2.637,0.782,-1.298,1.095,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
20,1815,9,-1.294,0.979,-1.636,1.061,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
21,1815,10,-0.399,1.600,-1.759,1.098,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
22,1815,11,-2.116,1.192,-1.964,1.169,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
23,1815,12,-3.052,1.192,-2.070,1.314,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
24,1816,1,-0.926,1.501,-2.100,1.412,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
25,1816,2,-3.062,1.586,-2.161,1.474,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
26,1816,3,-2.603,0.892,-2.240,1.633,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
27,1816,4,-1.353,1.802,-2.283,1.759,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
28,1816,5,-1.778,2.386,-2.231,1.944,NaN,NaN,NaN,NaN,NaN,NaN,11.68,0.91
29,1816,6,-2.686,2.910,-2.158,1.955,-1.313,1.716,NaN,NaN,NaN,NaN,11.68,0.91
30,1816,7,-3.290,2.968,-1.984,1.990,-1.283,1.680,NaN,NaN,NaN,NaN,11.68,0.91
31,1816,8,-3.379,1.403,-1.547,2.000,-1.185,1.634,NaN,NaN,NaN,NaN,11.68,0.91
32,1816,9,-2.241,2.563,-1.335,2.141,-1.125,1.660,NaN,NaN,NaN,NaN,11.68,0.91
33,1816,10,-0.906,3.054,-1.507,2.130,-1.118,1.588,NaN,NaN,NaN,NaN,11.68,0.91
34,1816,11,-1.493,3.192,-1.482,2.191,-1.068,NaN,NaN,NaN,NaN,NaN,11.68,0.91
35,1816,12,-2.182,1.328,-1.250,2.191,-1.033,NaN,NaN,NaN,NaN,NaN,11.68,0.91
36,1817,1,1.160,1.871,-1.126,2.234,-1.020,NaN,NaN,NaN,NaN,NaN,11.68,0.91
37,1817,2,2.190,1.745,-0.956,2.441,-1.002,NaN,NaN,NaN,NaN,NaN,11.68,0.91
38,1817,3,-0.068,2.483,-0.800,2.365,-0.960,NaN,NaN,NaN,NaN,NaN,11.68,0.91
