,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1875,1,-2.042,1.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
1,1875,2,-1.271,1.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
2,1875,3,-0.682,1.431,-0.984,0.815,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
3,1875,4,-0.899,1.217,-1.068,0.816,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
4,1875,5,-1.018,1.201,-1.069,0.802,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
5,1875,6,-0.616,1.133,-1.224,0.864,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
6,1875,7,-0.298,0.965,-1.132,0.836,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
7,1875,8,-1.201,1.146,-1.082,0.847,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
8,1875,9,-0.842,1.067,-1.129,0.771,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
9,1875,10,-1.310,1.196,-1.156,0.776,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
10,1875,11,-2.173,1.379,-1.173,0.779,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
11,1875,12,-2.337,1.919,-1.174,0.744,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
12,1876,1,-0.942,1.378,-1.202,0.721,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
13,1876,2,-0.672,1.484,-1.146,0.678,NaN,NaN,NaN,NaN,NaN,NaN,0.57,0.16
14,1876,3,-1.244,1.053,-1.135,0.691,-0.887,0.486,NaN,NaN,NaN,NaN,0.57,0.16
15,1876,4,-1.220,1.292,-1.150,0.674,-0.864,0.484,NaN,NaN,NaN,NaN,0.57,0.16
16,1876,5,-1.222,1.128,-1.115,0.623,-0.843,0.477,NaN,NaN,NaN,NaN,0.57,0.16
17,1876,6,-0.622,0.956,-1.038,0.576,-0.847,0.468,NaN,NaN,NaN,NaN,0.57,0.16
18,1876,7,-0.643,0.890,-1.009,0.550,-0.834,0.455,NaN,NaN,NaN,NaN,0.57,0.16
19,1876,8,-0.528,0.959,-1.061,0.485,-0.829,0.444,NaN,NaN,NaN,NaN,0.57,0.16
20,1876,9,-0.706,1.257,-1.051,0.505,-0.819,0.443,NaN,NaN,NaN,NaN,0.57,0.16
21,1876,10,-1.494,1.159,-1.006,0.500,-0.799,0.439,NaN,NaN,NaN,NaN,0.57,0.16
22,1876,11,-1.746,1.014,-0.970,0.515,-0.793,0.442,NaN,NaN,NaN,NaN,0.57,0.16
23,1876,12,-1.416,1.453,-0.967,0.518,-0.793,0.446,NaN,NaN,NaN,NaN,0.57,0.16
24,1877,1,-0.591,1.159,-0.954,0.517,-0.786,0.439,NaN,NaN,NaN,NaN,0.57,0.16
25,1877,2,-1.297,1.087,-0.957,0.503,-0.778,0.436,NaN,NaN,NaN,NaN,0.57,0.16
26,1877,3,-1.133,1.007,-0.952,0.490,-0.777,0.429,NaN,NaN,NaN,NaN,0.57,0.16
27,1877,4,-0.670,1.374,-0.953,0.483,-0.779,0.422,NaN,NaN,NaN,NaN,0.57,0.16
28,1877,5,-0.794,1.270,-0.783,0.507,-0.761,0.404,NaN,NaN,NaN,NaN,0.57,0.16
29,1877,6,-0.584,1.009,-0.624,0.470,-0.783,0.404,-0.766,0.334,NaN,NaN,0.57,0.16
30,1877,7,-0.484,0.927,-0.722,0.500,-0.759,0.400,-0.767,0.335,NaN,NaN,0.57,0.16
31,1877,8,-0.570,1.027,-0.620,0.565,-0.746,0.400,-0.768,0.335,NaN,NaN,0.57,0.16
32,1877,9,-0.651,1.083,-0.547,0.593,-0.742,0.401,-0.767,0.336,NaN,NaN,0.57,0.16
33,1877,10,-1.502,1.236,-0.514,0.647,-0.739,0.398,-0.764,0.341,NaN,NaN,0.57,0.16
34,1877,11,0.291,1.073,-0.539,0.672,-0.728,0.389,-0.767,0.338,NaN,NaN,0.57,0.16
