,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1855,1,-0.608,1.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
1,1855,2,-1.431,1.869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
2,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
3,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
4,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
5,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
6,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
7,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
8,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
9,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
10,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
11,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
12,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
13,1856,2,-0.998,1.579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
14,1856,3,-0.453,1.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
15,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
16,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
17,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
18,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
19,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
20,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
21,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
22,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
23,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
24,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
25,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
26,1857,3,-1.373,1.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
27,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
28,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
29,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
30,1857,7,-0.014,2.670,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
31,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
32,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
33,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
34,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
35,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
36,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
37,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
38,1858,3,-0.841,1.112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
39,1858,4,0.121,1.934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
40,1858,5,-0.488,2.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
41,1858,6,0.793,1.744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
42,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
43,1858,8,-0.303,2.410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
44,1858,9,0.090,1.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
45,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
46,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
47,1858,12,-1.359,2.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
48,1859,1,-1.368,1.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
49,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
50,1859,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
51,1859,4,1.117,1.941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
52,1859,5,1.082,1.154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
53,1859,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
54,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
55,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
56,1859,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
57,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
58,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
59,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.31,0.27
