,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1856,1,-0.316,2.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
1,1856,2,-1.078,2.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
2,1856,3,-1.378,1.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
3,1856,4,-1.481,1.310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
4,1856,5,-2.107,1.010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
5,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
6,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
7,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
8,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
9,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
10,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
11,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
12,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
13,1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
14,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
15,1857,4,-1.447,0.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
16,1857,5,-1.514,0.948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
17,1857,6,-1.523,0.841,-0.955,0.582,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
18,1857,7,-1.017,1.675,-0.789,0.473,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
19,1857,8,-0.713,1.175,-0.949,0.509,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
20,1857,9,-0.884,1.430,-1.005,0.475,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
21,1857,10,-0.761,1.355,-0.948,0.512,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
22,1857,11,-0.762,1.648,-0.937,0.546,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
23,1857,12,-0.485,1.094,-0.814,0.565,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
24,1858,1,-0.534,1.544,-0.756,0.636,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
25,1858,2,-1.257,1.413,-0.766,0.565,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
26,1858,3,-1.161,0.805,-0.749,0.521,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
27,1858,4,-0.761,1.228,-0.675,0.472,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
28,1858,5,-1.382,1.290,-0.688,0.480,-0.778,0.374,NaN,NaN,NaN,NaN,19.80,0.16
29,1858,6,-0.046,0.901,-0.641,0.491,-0.767,0.372,NaN,NaN,NaN,NaN,19.80,0.16
30,1858,7,-0.331,0.970,-0.564,0.566,-0.771,0.361,NaN,NaN,NaN,NaN,19.80,0.16
31,1858,8,-0.826,0.819,-0.478,0.485,-0.762,0.357,NaN,NaN,NaN,NaN,19.80,0.16
32,1858,9,-0.678,1.103,-0.353,0.551,-0.757,0.348,NaN,NaN,NaN,NaN,19.80,0.16
33,1858,10,0.127,0.994,-0.355,0.627,-0.751,0.352,NaN,NaN,NaN,NaN,19.80,0.16
34,1858,11,-0.927,2.115,-0.274,0.745,-0.737,0.363,NaN,NaN,NaN,NaN,19.80,0.16
35,1858,12,0.078,1.121,-0.311,0.711,-0.737,0.366,NaN,NaN,NaN,NaN,19.80,0.16
36,1859,1,0.390,0.884,-0.317,0.729,-0.731,0.367,NaN,NaN,NaN,NaN,19.80,0.16
37,1859,2,-0.223,2.717,-0.261,0.741,-0.721,0.363,NaN,NaN,NaN,NaN,19.80,0.16
38,1859,3,NaN,NaN,-0.284,0.743,-0.700,0.368,NaN,NaN,NaN,NaN,19.80,0.16
39,1859,4,NaN,NaN,-0.368,0.615,-0.674,0.374,NaN,NaN,NaN,NaN,19.80,0.16
40,1859,5,-0.412,1.892,-0.357,0.684,-0.642,0.379,NaN,NaN,NaN,NaN,19.80,0.16
41,1859,6,-0.491,0.799,-0.445,0.591,-0.616,0.398,NaN,NaN,NaN,NaN,19.80,0.16
42,1859,7,-0.400,0.751,-0.436,0.588,-0.584,0.404,NaN,NaN,NaN,NaN,19.80,0.16
43,1859,8,-0.150,0.780,-0.460,0.494,-0.615,0.418,NaN,NaN,NaN,NaN,19.80,0.16
44,1859,9,-0.955,0.802,-0.486,0.473,-0.619,0.419,NaN,NaN,NaN,NaN,19.80,0.16
45,1859,10,-0.880,1.463,-0.480,0.425,-0.597,0.416,NaN,NaN,NaN,NaN,19.80,0.16
46,1859,11,-0.796,0.908,-0.473,0.405,-0.569,0.413,NaN,NaN,NaN,NaN,19.80,0.16
47,1859,12,-0.985,2.419,-0.446,0.400,-0.558,0.418,NaN,NaN,NaN,NaN,19.80,0.16
48,1860,1,0.498,1.543,-0.456,0.443,-0.529,0.418,NaN,NaN,NaN,NaN,19.80,0.16
49,1860,2,-0.508,1.146,-0.509,0.466,-0.519,0.418,NaN,NaN,NaN,NaN,19.80,0.16
50,1860,3,NaN,NaN,-0.477,0.504,-0.507,0.418,NaN,NaN,NaN,NaN,19.80,0.16
51,1860,4,NaN,NaN,-0.455,0.567,-0.499,0.427,NaN,NaN,NaN,NaN,19.80,0.16
52,1860,5,-0.336,1.474,-0.453,0.535,-0.492,0.424,NaN,NaN,NaN,NaN,19.80,0.16
53,1860,6,-0.163,1.096,-0.454,0.451,-0.479,0.418,NaN,NaN,NaN,NaN,19.80,0.16
54,1860,7,-0.523,1.098,-0.540,0.491,-0.450,0.424,NaN,NaN,NaN,NaN,19.80,0.16
55,1860,8,-0.783,0.931,-0.544,0.472,-0.420,0.427,NaN,NaN,NaN,NaN,19.80,0.16
56,1860,9,-0.573,1.088,-0.633,0.435,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
57,1860,10,-0.614,0.945,-0.671,0.393,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
58,1860,11,-0.772,0.844,-0.745,0.417,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
59,1860,12,-0.995,1.031,-0.778,0.453,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
60,1861,1,-0.535,2.392,-0.809,0.461,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
61,1861,2,-0.554,0.832,-0.806,0.445,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
62,1861,3,-1.032,1.396,-0.772,0.437,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
63,1861,4,-1.171,1.041,-0.729,0.443,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
64,1861,5,-1.226,1.290,-0.667,0.503,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
65,1861,6,-0.559,1.019,-0.584,0.596,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
66,1861,7,-0.892,1.148,-0.590,0.622,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
67,1861,8,-0.744,0.734,-0.641,0.762,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
68,1861,9,-0.175,0.964,-0.620,0.729,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
69,1861,10,-0.095,0.980,-0.530,0.730,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
70,1861,11,-0.022,1.221,-0.418,0.673,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
71,1861,12,-0.005,1.433,-0.442,0.754,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
72,1862,1,-0.610,1.060,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
73,1862,2,-1.162,2.926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
74,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
75,1862,4,-0.099,0.730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
76,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
77,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
78,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
79,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
80,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
81,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
82,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
83,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
84,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
85,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
86,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
87,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
88,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
89,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
90,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
91,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
92,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
93,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
94,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
95,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
96,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
97,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
98,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
99,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
100,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
101,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
102,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
103,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
104,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
105,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
106,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
107,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
108,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
109,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
110,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
111,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
112,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
113,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
114,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
115,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.80,0.16
