,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1854,12,-0.170,2.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
1,1855,1,-0.257,1.264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
2,1855,2,-1.484,3.156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
3,1855,3,-0.636,1.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
4,1855,4,-0.458,1.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
5,1855,5,-0.316,1.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
6,1855,6,-0.910,1.568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
7,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
8,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
9,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
10,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
11,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
12,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
13,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
14,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.78,0.51
