,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1887,1,-1.229,1.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
1,1887,2,-1.612,0.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
2,1887,3,-1.358,0.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
3,1887,4,-1.427,0.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
4,1887,5,-1.387,1.031,-1.191,0.501,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
5,1887,6,NaN,NaN,-1.227,0.453,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
6,1887,7,NaN,NaN,-1.235,0.478,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
7,1887,8,-1.259,1.343,-1.204,0.512,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
8,1887,9,-0.859,1.226,-1.184,0.500,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
9,1887,10,-1.379,1.144,-1.161,0.483,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
10,1887,11,-1.095,1.447,-1.159,0.463,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
11,1887,12,-1.007,1.528,-1.163,0.490,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
12,1888,1,-1.328,0.853,-1.137,0.452,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
13,1888,2,-1.238,0.783,-1.117,0.445,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
14,1888,3,-1.118,0.808,-1.098,0.389,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
15,1888,4,-1.149,0.803,-1.052,0.354,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
16,1888,5,-1.367,0.637,-1.030,0.341,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
17,1888,6,-1.312,1.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
18,1888,7,-0.539,0.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
19,1888,8,-1.012,1.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
20,1888,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
21,1888,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
22,1888,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
23,1888,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
24,1889,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
25,1889,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
26,1889,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
27,1889,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
28,1889,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
29,1889,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
30,1889,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
31,1889,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
32,1889,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
33,1889,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
34,1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
35,1889,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
36,1890,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
37,1890,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
38,1890,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
39,1890,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
40,1890,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
41,1890,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
42,1890,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
43,1890,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
44,1890,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
45,1890,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
46,1890,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
47,1890,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
48,1891,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
49,1891,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
50,1891,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
51,1891,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
52,1891,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
53,1891,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
54,1891,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
55,1891,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
56,1891,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
57,1891,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
58,1891,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
59,1891,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
60,1892,1,-0.883,0.929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
61,1892,2,-1.470,1.291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
62,1892,3,-0.919,1.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
63,1892,4,-1.265,0.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
64,1892,5,-0.954,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
65,1892,6,-0.602,1.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
66,1892,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
67,1892,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
68,1892,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
69,1892,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
70,1892,11,-1.265,1.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
71,1892,12,-1.888,1.020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
72,1893,1,-1.365,0.863,-1.239,0.455,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
73,1893,2,-1.652,1.099,-1.247,0.419,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
74,1893,3,-1.408,0.865,-1.238,0.420,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
75,1893,4,-1.414,1.223,-1.259,0.397,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
76,1893,5,-1.208,0.822,-1.221,0.374,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
77,1893,6,-1.164,0.925,-1.148,0.345,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
78,1893,7,-1.205,1.190,-1.192,0.381,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
79,1893,8,-0.964,0.966,-1.195,0.406,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
80,1893,9,-0.723,0.622,-1.237,0.452,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
81,1893,10,-0.853,0.645,-1.218,0.488,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
82,1893,11,-0.807,0.982,-1.176,0.480,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
83,1893,12,-1.012,0.910,-1.115,0.464,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
84,1894,1,-1.897,1.045,-1.048,0.459,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
85,1894,2,-1.684,0.985,-1.030,0.459,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
86,1894,3,-1.909,1.012,-1.023,0.455,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
87,1894,4,-1.195,0.871,-1.003,0.455,NaN,NaN,NaN,NaN,NaN,NaN,20.29,0.64
