,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1849,1,-0.772,1.571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
1,1849,2,-0.118,1.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
2,1849,3,-0.140,2.590,-1.021,0.807,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
3,1849,4,-1.671,1.166,-1.049,0.829,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
4,1849,5,-1.378,1.217,-0.958,0.906,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
5,1849,6,-0.927,1.175,-0.981,0.636,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
6,1849,7,-1.896,0.938,-0.940,0.761,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
7,1849,8,-1.622,1.431,-0.912,0.888,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
8,1849,9,-1.427,1.133,-0.985,0.774,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
9,1849,10,-0.989,1.355,-0.959,0.737,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
10,1849,11,-0.151,3.815,-0.976,0.741,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
11,1849,12,-0.675,0.991,-0.962,0.701,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
12,1850,1,-0.288,3.628,-0.887,0.729,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
13,1850,2,0.224,1.923,-0.853,0.768,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
14,1850,3,-1.023,1.258,-0.891,0.716,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
15,1850,4,-1.361,1.434,-0.944,0.672,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
16,1850,5,-1.580,1.503,-0.999,0.689,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
17,1850,6,-0.756,0.971,-1.017,0.809,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
18,1850,7,-0.991,1.182,-0.986,0.916,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
19,1850,8,-1.215,1.626,-0.946,0.791,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
20,1850,9,-1.890,2.350,-0.874,0.738,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
21,1850,10,-1.628,2.411,-0.786,0.739,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
22,1850,11,-0.800,1.062,-0.756,0.718,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
23,1850,12,-0.901,2.541,-0.811,0.712,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
24,1851,1,0.084,1.385,-0.834,0.693,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
25,1851,2,0.714,3.424,-0.875,0.649,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
26,1851,3,-0.161,2.075,-0.820,0.674,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
27,1851,4,-0.303,1.869,-0.745,0.706,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
28,1851,5,-1.226,0.941,-0.824,0.687,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
29,1851,6,-1.420,1.205,-0.857,0.696,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
30,1851,7,-1.268,1.541,-0.861,0.724,NaN,NaN,NaN,NaN,NaN,NaN,21.94,0.48
