,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,3,0.893,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
1,1824,4,0.568,1.455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
2,1824,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
3,1824,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
4,1824,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
5,1824,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
6,1824,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
7,1824,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
8,1824,11,-0.032,1.508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
9,1824,12,0.186,1.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
10,1825,1,-0.399,1.920,-0.366,0.586,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
11,1825,2,-0.050,1.726,-0.388,0.598,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
12,1825,3,-0.195,1.558,-0.417,0.550,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
13,1825,4,-0.091,1.466,-0.411,0.549,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
14,1825,5,0.009,1.644,-0.446,0.546,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
15,1825,6,-0.032,1.408,-0.585,0.569,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
16,1825,7,-0.889,2.097,-0.678,0.646,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
17,1825,8,-1.258,2.820,-0.570,0.650,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
18,1825,9,-1.296,2.299,-0.477,0.646,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
19,1825,10,-0.889,1.161,-0.381,0.640,NaN,NaN,NaN,NaN,NaN,NaN,25.46,0.26
20,1825,11,-0.443,2.469,-0.352,0.683,-0.205,0.471,NaN,NaN,NaN,NaN,25.46,0.26
21,1825,12,-1.489,1.918,-0.383,0.631,-0.189,0.478,NaN,NaN,NaN,NaN,25.46,0.26
22,1826,1,-1.511,2.028,-0.319,0.635,-0.183,0.480,NaN,NaN,NaN,NaN,25.46,0.26
23,1826,2,1.244,1.759,-0.302,0.629,-0.171,0.482,NaN,NaN,NaN,NaN,25.46,0.26
24,1826,3,0.921,4.016,-0.218,0.715,-0.172,0.477,NaN,NaN,NaN,NaN,25.46,0.26
25,1826,4,1.053,1.632,-0.203,0.729,-0.156,0.473,NaN,NaN,NaN,NaN,25.46,0.26
26,1826,5,0.369,1.337,-0.232,0.741,-0.129,0.472,NaN,NaN,NaN,NaN,25.46,0.26
27,1826,6,-0.413,1.416,-0.119,0.745,-0.091,0.474,NaN,NaN,NaN,NaN,25.46,0.26
28,1826,7,-0.116,1.946,-0.073,0.912,-0.120,0.487,NaN,NaN,NaN,NaN,25.46,0.26
29,1826,8,-1.056,1.713,-0.009,0.844,-0.117,0.524,NaN,NaN,NaN,NaN,25.46,0.26
30,1826,9,-0.286,2.322,-0.028,0.689,-0.168,0.524,NaN,NaN,NaN,NaN,25.46,0.26
31,1826,10,-0.714,1.113,0.009,0.681,-0.191,0.531,NaN,NaN,NaN,NaN,25.46,0.26
32,1826,11,-0.791,1.485,0.026,0.720,-0.209,0.551,NaN,NaN,NaN,NaN,25.46,0.26
33,1826,12,-0.133,1.726,0.075,0.781,-0.223,0.551,NaN,NaN,NaN,NaN,25.46,0.26
34,1827,1,-0.949,1.834,0.127,0.785,-0.236,0.545,NaN,NaN,NaN,NaN,25.46,0.26
35,1827,2,2.010,2.218,0.212,0.825,-0.231,0.552,NaN,NaN,NaN,NaN,25.46,0.26
36,1827,3,0.690,2.005,0.174,0.763,-0.229,0.552,-0.398,0.542,NaN,NaN,25.46,0.26
37,1827,4,1.495,1.792,0.143,0.839,-0.228,0.567,-0.404,0.540,NaN,NaN,25.46,0.26
38,1827,5,0.575,1.740,0.174,0.878,-0.260,0.556,-0.402,0.547,NaN,NaN,25.46,0.26
39,1827,6,0.174,2.019,0.266,0.881,-0.267,0.565,-0.407,0.551,NaN,NaN,25.46,0.26
40,1827,7,0.511,1.322,0.462,0.815,-0.251,0.592,-0.402,0.570,NaN,NaN,25.46,0.26
41,1827,8,-0.040,1.829,0.434,0.817,-0.229,0.618,-0.407,0.572,NaN,NaN,25.46,0.26
42,1827,9,-0.738,1.393,0.353,0.772,-0.229,0.640,-0.404,0.581,NaN,NaN,25.46,0.26
43,1827,10,-1.093,1.558,0.201,0.783,-0.235,0.650,-0.408,0.570,NaN,NaN,25.46,0.26
44,1827,11,-0.412,1.553,0.148,0.774,-0.242,0.675,-0.423,0.566,NaN,NaN,25.46,0.26
45,1827,12,0.968,1.957,0.151,0.883,-0.244,0.694,-0.418,0.563,NaN,NaN,25.46,0.26
46,1828,1,1.405,1.329,0.090,0.883,-0.231,0.703,-0.412,0.567,NaN,NaN,25.46,0.26
47,1828,2,1.678,1.943,0.044,0.847,-0.218,0.695,-0.393,0.569,NaN,NaN,25.46,0.26
48,1828,3,-0.292,1.967,-0.012,0.866,-0.217,0.707,-0.397,0.575,NaN,NaN,25.46,0.26
49,1828,4,-0.322,2.240,-0.004,0.844,-0.219,0.731,-0.394,0.579,NaN,NaN,25.46,0.26
50,1828,5,-0.060,2.551,-0.004,0.934,-0.199,0.722,-0.394,0.577,NaN,NaN,25.46,0.26
51,1828,6,0.207,2.294,0.006,1.088,-0.155,0.722,-0.384,0.583,NaN,NaN,25.46,0.26
52,1828,7,-0.221,1.938,-0.205,1.205,-0.146,0.725,-0.382,0.590,NaN,NaN,25.46,0.26
53,1828,8,-0.588,1.045,-0.393,1.172,-0.178,0.723,-0.377,0.596,NaN,NaN,25.46,0.26
54,1828,9,-1.419,1.119,-0.547,1.144,-0.195,0.744,-0.370,0.598,NaN,NaN,25.46,0.26
55,1828,10,NaN,NaN,-0.591,1.097,-0.221,0.749,-0.364,0.603,NaN,NaN,25.46,0.26
56,1828,11,-0.415,1.772,-0.639,1.091,-0.244,0.778,-0.356,0.602,NaN,NaN,25.46,0.26
57,1828,12,1.083,2.809,-0.695,1.108,-0.250,0.799,-0.357,0.603,NaN,NaN,25.46,0.26
58,1829,1,-1.118,2.329,-0.715,1.016,-0.262,0.810,-0.363,0.625,NaN,NaN,25.46,0.26
59,1829,2,-0.588,2.248,-0.720,1.049,-0.264,0.836,-0.355,0.637,NaN,NaN,25.46,0.26
60,1829,3,-2.136,1.556,-0.672,1.077,-0.276,0.854,-0.362,0.633,NaN,NaN,25.46,0.26
61,1829,4,-0.849,1.236,-0.664,1.064,-0.282,0.859,-0.377,0.630,NaN,NaN,25.46,0.26
62,1829,5,-0.632,2.066,-0.791,1.043,-0.278,0.904,-0.385,0.622,NaN,NaN,25.46,0.26
63,1829,6,-0.467,2.111,-0.903,0.952,-0.291,0.877,-0.386,0.614,NaN,NaN,25.46,0.26
64,1829,7,-0.459,1.431,-0.763,0.991,-0.291,0.872,-0.394,0.614,NaN,NaN,25.46,0.26
65,1829,8,-0.649,1.541,-0.610,1.063,-0.308,0.846,-0.393,0.617,NaN,NaN,25.46,0.26
66,1829,9,-0.842,1.457,-0.448,1.139,-0.334,0.840,-0.391,0.605,NaN,NaN,25.46,0.26
67,1829,10,-0.901,1.330,-0.411,1.145,-0.373,0.821,-0.393,0.608,NaN,NaN,25.46,0.26
68,1829,11,-1.934,2.695,-0.395,1.166,-0.383,0.844,-0.404,0.607,NaN,NaN,25.46,0.26
69,1829,12,-0.261,1.991,-0.369,1.206,-0.398,0.870,-0.408,0.605,NaN,NaN,25.46,0.26
70,1830,1,0.564,3.037,-0.339,1.303,-0.413,0.913,-0.412,0.612,NaN,NaN,25.46,0.26
71,1830,2,1.249,2.772,-0.325,1.184,-0.440,0.919,-0.430,0.614,NaN,NaN,25.46,0.26
72,1830,3,-0.191,2.275,-0.358,1.203,-0.453,0.936,-0.440,0.622,NaN,NaN,25.46,0.26
73,1830,4,-0.411,1.365,-0.366,1.309,-0.462,0.901,-0.447,0.626,NaN,NaN,25.46,0.26
74,1830,5,-0.433,2.118,-0.142,1.195,-0.485,0.896,-0.453,0.635,NaN,NaN,25.46,0.26
75,1830,6,-0.163,2.086,-0.025,1.223,-0.518,0.918,-0.462,0.647,NaN,NaN,25.46,0.26
76,1830,7,-0.088,1.782,-0.154,1.108,-0.544,0.931,-0.464,0.658,NaN,NaN,25.46,0.26
77,1830,8,-0.486,1.504,-0.311,1.100,-0.562,0.911,-0.466,0.659,NaN,NaN,25.46,0.26
78,1830,9,-1.242,1.458,-0.303,1.111,-0.574,0.902,-0.473,0.664,NaN,NaN,25.46,0.26
79,1830,10,-0.994,1.948,-0.313,1.103,-0.580,0.886,-0.489,0.659,NaN,NaN,25.46,0.26
80,1830,11,0.749,1.979,-0.361,1.157,-0.584,0.864,-0.487,0.676,NaN,NaN,25.46,0.26
81,1830,12,1.151,2.058,-0.409,1.140,-0.578,0.857,-0.488,0.679,NaN,NaN,25.46,0.26
82,1831,1,-0.991,2.302,-0.476,1.191,-0.582,0.856,-0.478,0.685,NaN,NaN,25.46,0.26
83,1831,2,-0.635,4.793,-0.532,1.294,-0.582,0.862,-0.491,0.710,-0.638,0.522,25.46,0.26
84,1831,3,-0.088,2.360,-0.512,1.301,-0.569,0.866,-0.505,0.729,-0.639,0.520,25.46,0.26
85,1831,4,-0.535,1.333,-0.521,1.234,-0.573,0.875,-0.516,0.737,-0.641,0.514,25.46,0.26
86,1831,5,-1.004,2.278,-0.624,1.466,-0.584,0.861,-0.527,0.750,-0.646,0.512,25.46,0.26
87,1831,6,-0.749,2.778,-0.801,1.370,-0.624,0.857,-0.536,0.752,-0.646,0.512,25.46,0.26
88,1831,7,-0.882,1.492,-0.797,1.395,-0.607,0.867,-0.548,0.746,-0.640,0.511,25.46,0.26
89,1831,8,-1.164,1.816,-0.660,1.125,-0.592,0.859,-0.547,0.750,-0.638,0.510,25.46,0.26
90,1831,9,-1.003,1.368,-0.726,0.969,-0.557,0.842,-0.553,0.751,-0.635,0.512,25.46,0.26
91,1831,10,-1.097,1.184,-0.749,0.889,-0.562,0.822,-0.554,0.744,-0.638,0.509,25.46,0.26
92,1831,11,-0.495,3.271,-0.669,0.892,-0.561,0.793,-0.572,0.740,-0.641,0.506,25.46,0.26
93,1831,12,-0.970,1.609,-0.668,0.898,-0.550,0.771,-0.581,0.730,-0.639,0.505,25.46,0.26
94,1832,1,-0.938,1.864,-0.625,1.042,-0.552,0.774,-0.585,0.721,-0.640,0.502,25.46,0.26
95,1832,2,1.007,2.101,-0.669,1.010,-0.554,0.774,-0.609,0.730,-0.641,0.502,25.46,0.26
96,1832,3,-0.877,1.469,-0.711,1.034,-0.553,0.749,-0.628,0.736,-0.643,0.500,25.46,0.26
97,1832,4,-0.820,1.118,-0.753,0.867,-0.558,0.747,-0.656,0.733,-0.644,0.499,25.46,0.26
98,1832,5,-0.041,2.308,-0.864,0.687,-0.549,0.727,-0.669,0.743,-0.646,0.496,25.46,0.26
99,1832,6,-0.739,1.749,-0.865,0.738,-0.549,0.720,-0.676,0.755,-0.649,0.496,25.46,0.26
100,1832,7,-0.358,3.257,-0.802,0.784,-0.573,0.703,-0.684,0.759,-0.650,0.495,25.46,0.26
101,1832,8,-1.700,1.598,-0.834,0.807,-0.630,0.686,-0.690,0.753,-0.650,0.494,25.46,0.26
102,1832,9,-1.498,1.523,-0.848,0.841,-0.651,0.686,-0.693,0.763,-0.645,0.496,25.46,0.26
103,1832,10,-1.610,2.425,NaN,NaN,-0.659,0.676,-0.694,0.764,-0.649,0.496,25.46,0.26
104,1832,11,-1.826,1.757,NaN,NaN,-0.664,0.669,-0.697,0.789,-0.654,0.496,25.46,0.26
105,1832,12,-0.977,1.749,NaN,NaN,-0.679,0.682,-0.710,0.799,-0.648,0.494,25.46,0.26
106,1833,1,NaN,NaN,NaN,NaN,-0.698,0.703,-0.729,0.819,-0.643,0.490,25.46,0.26
107,1833,2,NaN,NaN,NaN,NaN,-0.715,0.716,-0.751,0.822,-0.636,0.487,25.46,0.26
108,1833,3,NaN,NaN,NaN,NaN,-0.729,0.721,-0.765,0.820,-0.640,0.490,25.46,0.26
109,1833,4,NaN,NaN,NaN,NaN,-0.759,0.694,-0.776,0.803,-0.637,0.489,25.46,0.26
110,1833,5,NaN,NaN,NaN,NaN,-0.774,0.716,-0.788,0.800,-0.639,0.489,25.46,0.26
111,1833,6,NaN,NaN,NaN,NaN,-0.821,0.734,-0.799,0.791,-0.638,0.486,25.46,0.26
112,1833,7,NaN,NaN,NaN,NaN,-0.809,0.755,-0.803,0.778,-0.637,0.486,25.46,0.26
113,1833,8,NaN,NaN,NaN,NaN,-0.805,0.802,-0.806,0.773,-0.635,0.483,25.46,0.26
114,1833,9,NaN,NaN,NaN,NaN,-0.815,0.793,-0.802,0.774,-0.635,0.481,25.46,0.26
115,1833,10,NaN,NaN,NaN,NaN,-0.811,0.804,-0.798,0.768,-0.632,0.479,25.46,0.26
116,1833,11,NaN,NaN,NaN,NaN,-0.810,0.794,-0.800,0.764,-0.627,0.477,25.46,0.26
117,1833,12,-1.287,1.420,NaN,NaN,-0.822,0.774,-0.812,0.762,-0.625,0.476,25.46,0.26
118,1834,1,-0.134,2.393,NaN,NaN,-0.834,0.753,-0.807,0.755,-0.630,0.480,25.46,0.26
119,1834,2,0.308,1.296,-0.579,0.645,-0.829,0.742,-0.802,0.755,-0.635,0.483,25.46,0.26
120,1834,3,-0.036,1.004,-0.591,0.600,-0.829,0.728,-0.801,0.750,-0.646,0.479,25.46,0.26
121,1834,4,-1.131,1.852,-0.592,0.580,-0.825,0.710,-0.802,0.751,-0.656,0.478,25.46,0.26
122,1834,5,-0.592,0.928,-0.615,0.519,NaN,NaN,-0.802,0.750,-0.661,0.475,25.46,0.26
123,1834,6,0.188,1.114,-0.529,0.476,NaN,NaN,-0.795,0.742,-0.667,0.470,25.46,0.26
124,1834,7,-0.576,1.625,-0.593,0.519,NaN,NaN,-0.792,0.743,-0.672,0.465,25.46,0.26
125,1834,8,-0.765,1.490,-0.800,0.477,NaN,NaN,-0.783,0.738,-0.671,0.461,25.46,0.26
126,1834,9,-0.753,1.459,-0.919,0.549,NaN,NaN,-0.780,0.737,-0.672,0.460,25.46,0.26
127,1834,10,-1.232,1.274,-0.898,0.595,NaN,NaN,-0.778,0.741,-0.674,0.461,25.46,0.26
128,1834,11,-1.372,1.432,-0.908,0.648,NaN,NaN,-0.775,0.751,-0.678,0.463,25.46,0.26
129,1834,12,-0.252,1.495,-1.015,0.779,NaN,NaN,-0.802,0.758,-0.691,0.467,25.46,0.26
130,1835,1,-0.906,1.601,-1.067,0.872,NaN,NaN,-0.804,0.736,-0.693,0.469,25.46,0.26
131,1835,2,-2.166,2.235,-1.128,0.921,NaN,NaN,-0.814,0.724,-0.701,0.474,25.46,0.26
132,1835,3,-1.469,2.685,-1.241,1.021,NaN,NaN,-0.815,0.712,-0.703,0.469,25.46,0.26
133,1835,4,-0.875,1.472,-1.370,0.994,NaN,NaN,-0.809,0.705,-0.705,0.467,25.46,0.26
134,1835,5,-0.712,1.596,-1.269,1.133,NaN,NaN,-0.807,0.692,-0.710,0.466,25.46,0.26
135,1835,6,-1.097,2.328,-1.387,1.337,NaN,NaN,-0.810,0.676,-0.714,0.464,25.46,0.26
