,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,9,-0.839,1.892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
1,1852,10,-1.050,3.492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
2,1852,11,-1.154,3.074,-0.876,1.419,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
3,1852,12,0.523,3.176,-0.921,1.395,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
4,1853,1,-1.197,3.107,-0.912,1.325,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
5,1853,2,-1.040,1.905,-0.910,1.296,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
6,1853,3,-0.687,1.263,-0.907,1.273,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
7,1853,4,-0.811,1.682,-0.861,1.325,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
8,1853,5,-1.344,1.556,-0.785,1.191,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
9,1853,6,-1.402,1.916,-0.907,1.249,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
10,1853,7,-0.790,1.310,-0.738,1.165,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
11,1853,8,-1.131,1.134,-0.614,1.361,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
12,1853,9,-0.796,1.555,-0.514,1.479,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
13,1853,10,-0.500,3.181,-0.507,1.381,NaN,NaN,NaN,NaN,NaN,NaN,21.63,0.43
14,1853,11,-0.241,2.237,-0.389,1.488,-0.401,1.070,NaN,NaN,NaN,NaN,21.63,0.43
15,1853,12,-0.943,1.690,-0.260,1.607,-0.405,1.076,NaN,NaN,NaN,NaN,21.63,0.43
16,1854,1,0.828,2.584,-0.190,1.528,-0.410,1.063,NaN,NaN,NaN,NaN,21.63,0.43
17,1854,2,0.444,3.207,-0.055,1.611,-0.418,1.082,NaN,NaN,NaN,NaN,21.63,0.43
18,1854,3,0.522,2.475,0.055,1.619,-0.435,1.098,NaN,NaN,NaN,NaN,21.63,0.43
19,1854,4,-0.731,1.307,0.088,1.421,-0.446,1.108,NaN,NaN,NaN,NaN,21.63,0.43
20,1854,5,0.071,2.490,0.009,1.279,-0.442,1.089,NaN,NaN,NaN,NaN,21.63,0.43
21,1854,6,0.148,1.782,0.003,1.207,-0.452,1.050,NaN,NaN,NaN,NaN,21.63,0.43
22,1854,7,0.050,1.502,-0.056,0.986,-0.460,1.083,NaN,NaN,NaN,NaN,21.63,0.43
23,1854,8,0.485,1.893,-0.124,0.929,-0.446,1.057,NaN,NaN,NaN,NaN,21.63,0.43
24,1854,9,0.527,1.385,-0.219,0.847,-0.461,1.060,NaN,NaN,NaN,NaN,21.63,0.43
25,1854,10,-0.108,0.986,-0.229,0.943,-0.450,1.071,NaN,NaN,NaN,NaN,21.63,0.43
26,1854,11,-1.181,1.180,-0.261,0.838,-0.463,1.070,NaN,NaN,NaN,NaN,21.63,0.43
27,1854,12,-1.017,2.749,-0.287,0.708,-0.457,1.081,NaN,NaN,NaN,NaN,21.63,0.43
28,1855,1,0.119,1.518,-0.311,0.638,-0.463,1.071,NaN,NaN,NaN,NaN,21.63,0.43
