,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.948,0.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
1,1846,2,0.315,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
2,1846,3,0.600,1.218,-0.135,0.609,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
3,1846,4,0.384,0.910,-0.192,0.585,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
4,1846,5,0.061,0.924,-0.251,0.589,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
5,1846,6,-0.328,1.070,-0.212,0.552,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
6,1846,7,-0.129,1.632,-0.362,0.523,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
7,1846,8,-0.652,0.993,-0.492,0.504,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
8,1846,9,-0.436,0.940,-0.711,0.495,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
9,1846,10,-1.244,1.458,-0.913,0.492,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
10,1846,11,-0.780,1.436,-0.966,0.507,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
11,1846,12,-1.284,1.138,-1.166,0.512,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
12,1847,1,-0.853,1.210,-1.275,0.503,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
13,1847,2,-1.240,1.044,-1.369,0.512,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
14,1847,3,-2.027,0.955,-1.536,0.502,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
15,1847,4,-2.050,0.958,-1.614,0.532,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
16,1847,5,-0.563,1.377,-1.659,0.546,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
17,1847,6,-2.729,1.195,-1.622,0.554,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
18,1847,7,-1.443,1.312,-1.626,0.569,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
19,1847,8,-1.774,1.133,-1.499,0.625,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
20,1847,9,-2.448,0.975,-1.431,0.626,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
21,1847,10,-2.170,0.918,-1.269,0.642,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
22,1847,11,-1.324,1.779,-1.315,0.627,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
23,1847,12,-0.837,1.043,-1.165,0.626,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
24,1848,1,-0.902,1.136,-1.190,0.622,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
25,1848,2,0.278,1.207,-1.110,0.603,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
26,1848,3,-1.213,1.003,-1.088,0.600,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
27,1848,4,-0.101,1.007,-1.026,0.580,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
28,1848,5,-1.120,1.159,-1.057,0.524,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
29,1848,6,-0.924,1.181,-1.019,0.547,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
30,1848,7,-1.749,1.229,-1.026,0.581,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
31,1848,8,-0.816,0.964,-1.103,0.540,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
32,1848,9,-2.179,1.018,-1.055,0.526,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
33,1848,10,-1.423,1.024,-1.215,0.528,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
34,1848,11,-1.697,0.997,-1.302,0.513,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
35,1848,12,-0.381,1.025,-1.318,0.504,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
36,1849,1,-0.987,0.916,-1.302,0.495,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
37,1849,2,-0.641,1.052,-1.385,0.503,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
38,1849,3,-0.642,0.908,-1.374,0.517,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
39,1849,4,-2.016,1.015,-1.403,0.529,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
40,1849,5,-2.172,0.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
41,1849,6,-1.114,1.089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
42,1849,7,-1.556,0.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
43,1849,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
44,1849,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
45,1849,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
46,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
47,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
48,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
49,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
50,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
51,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
52,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
53,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
54,1850,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
55,1850,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
56,1850,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
57,1850,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
58,1850,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
59,1850,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
60,1851,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
61,1851,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
62,1851,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
63,1851,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
64,1851,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
65,1851,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
66,1851,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
67,1851,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
68,1851,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
69,1851,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
70,1851,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
71,1851,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
72,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
73,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
74,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
75,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
76,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
77,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
78,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
79,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
80,1852,9,-1.122,1.804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
81,1852,10,-1.344,2.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
82,1852,11,-0.707,5.257,-0.819,1.723,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
83,1852,12,0.291,2.875,-0.757,1.517,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
84,1853,1,-0.376,3.086,-0.654,1.544,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
85,1853,2,-0.799,0.748,-0.581,1.503,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
86,1853,3,-0.262,1.920,-0.555,1.442,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
87,1853,4,-0.001,2.904,-0.488,1.354,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
88,1853,5,-0.356,3.327,-0.468,1.004,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
89,1853,6,-0.459,2.267,-0.536,0.900,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
90,1853,7,-0.735,3.305,-0.501,0.853,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
91,1853,8,-1.100,2.310,-0.479,0.899,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
92,1853,9,-0.816,0.787,-0.512,0.910,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
93,1853,10,-0.532,1.927,-0.558,0.839,NaN,NaN,NaN,NaN,NaN,NaN,31.01,0.37
94,1853,11,-0.475,1.293,-0.558,0.776,-0.820,0.241,NaN,NaN,NaN,NaN,31.01,0.37
95,1853,12,-0.523,1.911,-0.579,0.747,-0.793,0.249,NaN,NaN,NaN,NaN,31.01,0.37
96,1854,1,0.045,1.306,-0.532,0.605,-0.757,0.253,NaN,NaN,-0.788,0.204,31.01,0.37
97,1854,2,-0.539,1.256,-0.491,0.654,-0.731,0.260,NaN,NaN,-0.794,0.209,31.01,0.37
98,1854,3,-0.653,1.801,-0.483,0.803,-0.713,0.261,NaN,NaN,-0.798,0.209,31.01,0.37
99,1854,4,-0.560,1.849,-0.451,0.936,-0.721,0.253,NaN,NaN,-0.815,0.208,31.01,0.37
100,1854,5,-0.352,1.335,-0.490,0.910,-0.668,0.242,NaN,NaN,-0.820,0.206,31.01,0.37
101,1854,6,-0.707,1.825,-0.431,0.873,-0.630,0.239,NaN,NaN,-0.822,0.206,31.01,0.37
102,1854,7,-0.178,4.373,-0.480,0.924,-0.648,0.266,NaN,NaN,-0.822,0.207,31.01,0.37
103,1854,8,-0.600,3.320,-0.517,0.784,-0.645,0.251,NaN,NaN,-0.817,0.203,31.01,0.37
104,1854,9,-0.724,2.511,-0.477,0.747,-0.625,0.266,NaN,NaN,-0.820,0.204,31.01,0.37
105,1854,10,-0.147,1.219,-0.468,0.890,-0.587,0.391,NaN,NaN,-0.815,0.198,31.01,0.37
106,1854,11,-0.950,1.248,-0.483,1.042,-0.598,0.374,NaN,NaN,-0.813,0.194,31.01,0.37
107,1854,12,0.195,3.417,-0.504,0.987,-0.606,0.363,NaN,NaN,-0.809,0.197,31.01,0.37
108,1855,1,-0.548,2.188,-0.615,0.816,-0.595,0.327,NaN,NaN,-0.816,0.189,31.01,0.37
109,1855,2,-0.980,2.717,-0.610,0.613,-0.592,0.302,-0.894,0.252,-0.814,0.194,31.01,0.37
110,1855,3,-0.168,0.919,-0.592,0.523,-0.604,0.296,-0.890,0.255,-0.815,0.187,31.01,0.37
111,1855,4,-0.457,1.696,-0.681,0.491,-0.602,0.307,-0.881,0.252,-0.816,0.184,31.01,0.37
112,1855,5,-0.537,2.538,-0.656,0.616,-0.627,0.314,-0.872,0.243,-0.810,0.185,31.01,0.37
113,1855,6,-0.950,1.420,-0.691,0.722,-0.656,0.344,-0.877,0.237,-0.806,0.182,31.01,0.37
114,1855,7,-1.509,2.371,-0.621,0.604,-0.649,0.354,-0.879,0.234,-0.807,0.183,31.01,0.37
115,1855,8,-0.541,1.751,-0.504,0.811,-0.660,0.371,-0.876,0.234,-0.805,0.182,31.01,0.37
116,1855,9,-0.509,1.291,-0.442,0.834,-0.680,0.370,-0.864,0.236,-0.798,0.183,31.01,0.37
117,1855,10,-1.219,1.526,-0.387,0.915,-0.698,0.371,-0.857,0.240,-0.797,0.176,31.01,0.37
118,1855,11,-0.644,1.644,-0.331,0.951,-0.711,0.367,-0.857,0.239,-0.795,0.177,31.01,0.37
119,1855,12,-0.235,0.621,-0.268,0.987,-0.719,0.371,-0.843,0.230,-0.788,0.183,31.01,0.37
120,1856,1,0.298,2.774,-0.197,0.966,-0.721,0.330,-0.849,0.226,-0.796,0.189,31.01,0.37
121,1856,2,0.419,2.229,-0.221,0.888,-0.722,0.327,-0.851,0.227,-0.802,0.192,31.01,0.37
122,1856,3,0.578,1.549,-0.234,0.772,-0.714,0.337,-0.858,0.219,-0.813,0.189,31.01,0.37
