,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1846,1,0.631,1.891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
1,1846,2,-1.099,3.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
2,1846,3,0.086,0.972,-0.445,0.579,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
3,1846,4,0.156,0.976,-0.383,0.571,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
4,1846,5,0.252,1.445,-0.379,0.581,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
5,1846,6,0.241,0.887,-0.241,0.601,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
6,1846,7,-0.312,1.231,-0.308,0.572,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
7,1846,8,-0.379,1.080,-0.277,0.831,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
8,1846,9,0.216,1.909,-0.424,0.807,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
9,1846,10,-1.083,2.192,-0.537,0.727,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
10,1846,11,-0.467,4.799,-0.578,0.619,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
11,1846,12,-1.139,2.018,-0.725,0.624,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
12,1847,1,-0.172,1.626,-0.756,0.683,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
13,1847,2,-0.723,1.247,-0.843,0.619,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
14,1847,3,-1.682,0.988,-0.981,0.531,NaN,NaN,NaN,NaN,NaN,NaN,25.09,0.50
15,1847,4,-1.201,1.489,-1.032,0.603,-0.899,NaN,NaN,NaN,NaN,NaN,25.09,0.50
16,1847,5,-0.236,1.308,-1.059,0.528,-0.891,NaN,NaN,NaN,NaN,NaN,25.09,0.50
17,1847,6,-1.526,0.919,-0.988,0.538,-0.876,NaN,NaN,NaN,NaN,NaN,25.09,0.50
18,1847,7,-0.686,0.842,-1.006,0.748,-0.915,0.568,NaN,NaN,NaN,NaN,25.09,0.50
19,1847,8,-1.418,1.802,-0.904,0.903,-0.893,0.598,NaN,NaN,NaN,NaN,25.09,0.50
20,1847,9,-1.440,1.155,-0.829,0.917,-0.891,0.618,NaN,NaN,NaN,NaN,25.09,0.50
21,1847,10,-1.691,1.269,-0.794,0.914,-0.901,0.616,NaN,NaN,NaN,NaN,25.09,0.50
22,1847,11,-0.798,2.547,-0.842,0.955,-0.882,0.620,NaN,NaN,NaN,NaN,25.09,0.50
23,1847,12,-0.288,1.785,-0.763,0.917,-0.871,0.625,NaN,NaN,NaN,NaN,25.09,0.50
24,1848,1,-0.384,6.283,-0.802,0.818,-0.852,0.639,NaN,NaN,NaN,NaN,25.09,0.50
25,1848,2,0.496,3.063,-0.770,0.918,-0.839,0.655,NaN,NaN,NaN,NaN,25.09,0.50
26,1848,3,-0.782,1.443,-0.819,0.850,-0.813,0.659,NaN,NaN,NaN,NaN,25.09,0.50
27,1848,4,-0.778,1.651,-0.734,0.821,-0.805,0.664,NaN,NaN,NaN,NaN,25.09,0.50
28,1848,5,-0.810,1.239,-0.754,0.768,-0.813,0.669,NaN,NaN,NaN,NaN,25.09,0.50
29,1848,6,-0.581,1.530,-0.760,0.992,-0.783,0.589,NaN,NaN,NaN,NaN,25.09,0.50
30,1848,7,-1.146,1.618,-0.793,0.951,-0.789,0.592,-0.890,NaN,NaN,NaN,25.09,0.50
31,1848,8,-1.036,1.194,-0.872,0.980,-0.765,0.633,-0.889,NaN,NaN,NaN,25.09,0.50
32,1848,9,-2.032,2.581,-0.838,0.826,-0.772,0.647,-0.894,NaN,NaN,NaN,25.09,0.50
33,1848,10,-0.673,1.553,-0.908,0.787,-0.782,0.658,-0.882,NaN,NaN,NaN,25.09,0.50
34,1848,11,-1.032,1.492,-0.946,0.880,-0.807,0.652,-0.875,NaN,NaN,NaN,25.09,0.50
35,1848,12,NaN,NaN,-0.947,0.822,-0.830,0.657,-0.894,NaN,NaN,NaN,25.09,0.50
36,1849,1,-0.778,0.884,-0.979,0.841,-0.839,0.656,-0.885,NaN,NaN,NaN,25.09,0.50
37,1849,2,-0.460,1.593,-1.001,0.840,-0.860,0.650,-0.891,NaN,NaN,NaN,25.09,0.50
38,1849,3,-0.366,2.502,-0.929,0.801,-0.882,0.645,-0.890,NaN,NaN,NaN,25.09,0.50
