,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1833,1,-4.131,1.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
1,1833,2,2.663,2.944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
2,1833,3,-0.513,2.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
3,1833,4,-0.696,1.572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
4,1833,5,3.420,2.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
5,1833,6,1.410,2.377,0.151,1.662,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
6,1833,7,0.345,2.533,0.827,1.831,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
7,1833,8,-1.890,1.941,0.515,1.653,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
8,1833,9,0.264,4.099,0.554,1.574,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
9,1833,10,-1.462,2.020,0.533,1.658,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
10,1833,11,-0.440,2.494,0.498,1.672,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
11,1833,12,2.840,4.955,0.497,1.779,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
12,1834,1,3.977,3.195,0.705,1.707,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
13,1834,2,-1.070,1.260,1.069,1.702,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
14,1834,3,-0.051,1.556,1.145,1.392,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
15,1834,4,-0.942,2.072,1.252,1.483,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
16,1834,5,2.991,1.976,1.210,1.544,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
17,1834,6,1.401,1.649,0.976,1.425,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
18,1834,7,2.837,1.883,0.688,1.320,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
19,1834,8,2.481,1.667,0.873,1.471,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
20,1834,9,1.184,1.243,0.887,1.628,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
21,1834,10,-0.184,1.106,0.919,1.554,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
22,1834,11,-0.941,3.316,0.764,1.536,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
23,1834,12,0.025,3.416,0.659,1.436,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
24,1835,1,0.522,1.855,0.516,1.425,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
25,1835,2,1.148,2.548,0.335,1.368,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
26,1835,3,0.124,2.748,0.243,1.466,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
27,1835,4,-0.558,1.626,0.199,1.547,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
28,1835,5,1.128,1.977,-0.145,1.212,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
29,1835,6,0.139,1.971,-0.418,1.237,-0.115,1.277,NaN,NaN,NaN,NaN,3.10,0.51
30,1835,7,1.127,1.892,-0.668,1.329,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
31,1835,8,0.311,1.406,-0.828,1.320,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
32,1835,9,0.074,1.595,-0.591,1.305,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
33,1835,10,-0.709,1.665,-0.539,1.329,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
34,1835,11,-5.066,2.946,-0.842,1.235,NaN,NaN,NaN,NaN,NaN,NaN,3.10,0.51
