,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.509,2.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
1,1814,2,-4.923,1.932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
2,1814,3,-3.207,1.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
3,1814,4,1.604,1.788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
4,1814,5,-2.289,1.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
5,1814,6,-2.577,2.910,-1.587,1.205,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
6,1814,7,-0.064,1.356,-1.568,1.175,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
7,1814,8,-1.242,1.662,-0.988,1.119,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
8,1814,9,-2.712,3.072,-0.544,1.119,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
9,1814,10,-2.449,1.252,-0.606,1.098,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
10,1814,11,-0.004,1.717,-0.344,1.098,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
11,1814,12,1.322,1.351,-0.209,0.960,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
12,1815,1,-2.272,1.639,-0.412,1.016,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
13,1815,2,2.030,1.402,-0.509,0.953,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
14,1815,3,2.118,1.523,-0.411,1.067,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
15,1815,4,0.860,1.585,-0.249,1.130,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
16,1815,5,0.859,1.700,-0.382,1.097,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
17,1815,6,-0.961,1.396,-0.683,1.087,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
18,1815,7,-2.493,1.892,-0.442,1.088,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
19,1815,8,-2.401,1.181,-0.733,1.125,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
20,1815,9,-1.545,1.312,-1.048,1.093,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
21,1815,10,-0.504,1.806,-1.118,1.124,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
22,1815,11,-1.597,1.455,-1.317,1.185,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
23,1815,12,-2.295,1.400,-1.490,1.312,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
24,1816,1,0.628,1.664,-1.477,1.392,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
25,1816,2,-1.462,1.741,-1.531,1.443,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
26,1816,3,-1.665,1.263,-1.581,1.574,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
27,1816,4,0.023,1.912,-1.663,1.684,NaN,NaN,NaN,NaN,NaN,NaN,12.21,0.29
