,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.503,2.187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
1,1880,9,1.045,2.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
2,1880,10,1.076,2.216,0.225,0.951,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
3,1880,11,0.333,1.406,0.288,1.014,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
4,1880,12,-0.274,3.012,0.241,1.008,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
5,1881,1,-1.007,0.846,0.279,1.021,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
6,1881,2,0.224,1.041,0.345,1.124,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
7,1881,3,0.553,2.166,0.312,1.089,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
8,1881,4,1.340,2.298,0.359,1.166,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
9,1881,5,0.614,1.337,0.386,1.224,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
10,1881,6,-0.512,1.003,0.398,1.080,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
11,1881,7,0.452,0.976,0.491,1.137,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
12,1881,8,0.293,0.909,0.471,1.143,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
13,1881,9,0.655,1.672,0.370,1.020,NaN,NaN,NaN,NaN,NaN,NaN,33.05,0.34
14,1881,10,1.639,3.326,0.294,0.996,0.002,0.641,NaN,NaN,NaN,NaN,33.05,0.34
15,1881,11,0.657,2.177,0.280,1.069,0.001,0.649,NaN,NaN,NaN,NaN,33.05,0.34
16,1881,12,-0.138,1.621,0.257,1.104,-0.002,0.641,NaN,NaN,NaN,NaN,33.05,0.34
17,1882,1,0.114,1.185,0.159,1.068,0.002,0.659,NaN,NaN,NaN,NaN,33.05,0.34
18,1882,2,-0.012,1.218,0.140,1.069,0.008,0.665,NaN,NaN,NaN,NaN,33.05,0.34
19,1882,3,-0.658,0.985,0.139,0.991,0.017,0.694,NaN,NaN,NaN,NaN,33.05,0.34
20,1882,4,0.424,1.841,0.070,0.820,0.013,0.700,NaN,NaN,NaN,NaN,33.05,0.34
21,1882,5,0.443,1.812,0.043,0.733,0.006,0.723,NaN,NaN,NaN,NaN,33.05,0.34
22,1882,6,-0.787,0.931,0.014,0.745,0.021,0.753,NaN,NaN,NaN,NaN,33.05,0.34
23,1882,7,-0.725,1.120,-0.004,0.797,0.026,0.785,NaN,NaN,NaN,NaN,33.05,0.34
24,1882,8,0.062,1.198,-0.032,0.849,0.044,0.817,NaN,NaN,NaN,NaN,33.05,0.34
25,1882,9,0.643,1.002,0.025,0.951,0.044,0.827,NaN,NaN,NaN,NaN,33.05,0.34
26,1882,10,0.820,1.169,0.018,0.914,0.061,0.879,NaN,NaN,NaN,NaN,33.05,0.34
27,1882,11,0.327,1.430,-0.047,0.791,0.051,0.889,NaN,NaN,NaN,NaN,33.05,0.34
28,1882,12,-0.484,1.397,0.012,0.707,0.038,0.901,NaN,NaN,NaN,NaN,33.05,0.34
29,1883,1,-0.097,1.755,-0.037,0.580,0.046,0.904,0.081,0.723,NaN,NaN,33.05,0.34
30,1883,2,-0.346,2.123,-0.037,0.597,0.096,0.940,0.072,0.737,NaN,NaN,33.05,0.34
31,1883,3,0.026,2.003,-0.036,0.622,0.089,0.918,0.063,0.754,NaN,NaN,33.05,0.34
32,1883,4,0.331,1.376,-0.006,0.737,0.089,0.900,0.060,0.775,NaN,NaN,33.05,0.34
33,1883,5,-0.332,1.249,-0.024,0.807,0.090,0.898,0.057,0.791,NaN,NaN,33.05,0.34
34,1883,6,-0.080,1.782,-0.020,0.830,0.098,0.881,0.058,0.796,NaN,NaN,33.05,0.34
35,1883,7,-1.314,3.007,-0.089,0.746,0.111,0.906,0.067,0.796,NaN,NaN,33.05,0.34
36,1883,8,0.056,1.059,-0.128,0.624,0.095,0.915,0.070,0.805,NaN,NaN,33.05,0.34
37,1883,9,0.659,1.535,-0.140,0.583,0.082,0.930,0.074,0.812,NaN,NaN,33.05,0.34
38,1883,10,1.178,2.683,-0.182,0.530,0.060,0.947,0.072,0.817,NaN,NaN,33.05,0.34
39,1883,11,0.109,2.136,-0.190,0.567,0.051,0.945,0.066,0.825,NaN,NaN,33.05,0.34
40,1883,12,-0.426,1.794,-0.242,0.597,0.074,0.952,0.064,0.840,NaN,NaN,33.05,0.34
41,1884,1,-0.927,0.916,-0.133,0.844,0.089,0.959,0.062,0.849,NaN,NaN,33.05,0.34
42,1884,2,-0.818,0.817,-0.118,0.871,0.099,0.955,0.061,0.863,NaN,NaN,33.05,0.34
43,1884,3,-0.122,1.540,-0.108,0.953,0.099,0.935,0.064,0.865,NaN,NaN,33.05,0.34
44,1884,4,-0.174,0.876,-0.218,0.797,0.098,0.905,0.064,0.870,NaN,NaN,33.05,0.34
45,1884,5,-0.426,1.097,-0.231,0.754,0.100,0.891,0.072,0.877,NaN,NaN,33.05,0.34
46,1884,6,-0.699,1.391,-0.209,0.805,0.099,0.899,0.076,0.873,NaN,NaN,33.05,0.34
47,1884,7,-0.002,1.296,-0.167,0.963,0.084,0.917,0.085,0.854,NaN,NaN,33.05,0.34
48,1884,8,0.235,0.958,-0.073,1.162,0.080,0.946,0.094,0.839,NaN,NaN,33.05,0.34
49,1884,9,0.781,2.549,-0.134,1.103,0.080,0.975,0.103,0.842,NaN,NaN,33.05,0.34
