,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.019,1.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
1,1880,9,0.323,2.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
2,1880,10,-0.784,1.013,-0.411,0.705,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
3,1880,11,-0.948,1.053,-0.352,0.690,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
4,1880,12,-0.235,2.134,-0.248,0.799,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
5,1881,1,-0.973,0.949,-0.138,0.894,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
6,1881,2,-0.075,1.124,-0.140,0.821,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
7,1881,3,0.645,2.517,-0.125,0.813,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
8,1881,4,-0.078,0.992,-0.044,0.901,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
9,1881,5,0.053,1.040,0.018,0.881,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
10,1881,6,-0.138,1.645,-0.010,0.750,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
11,1881,7,0.569,1.584,0.023,0.754,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
12,1881,8,NaN,NaN,0.016,0.782,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
13,1881,9,0.499,2.044,-0.051,0.767,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
14,1881,10,0.186,1.048,-0.110,0.784,NaN,NaN,NaN,NaN,NaN,NaN,23.54,2.03
15,1881,11,-0.202,1.102,-0.131,0.816,-0.651,0.407,NaN,NaN,NaN,NaN,23.54,2.03
16,1881,12,-0.577,1.037,-0.135,0.808,-0.653,0.411,NaN,NaN,NaN,NaN,23.54,2.03
17,1882,1,-0.568,2.026,-0.291,0.737,-0.645,0.416,NaN,NaN,NaN,NaN,23.54,2.03
18,1882,2,-0.168,1.551,-0.339,0.748,-0.637,0.425,NaN,NaN,NaN,NaN,23.54,2.03
19,1882,3,-0.155,1.797,-0.372,0.744,-0.619,0.442,NaN,NaN,NaN,NaN,23.54,2.03
20,1882,4,-0.785,1.303,-0.440,0.785,-0.627,0.436,NaN,NaN,NaN,NaN,23.54,2.03
21,1882,5,-0.196,0.934,-0.554,0.753,-0.646,0.432,NaN,NaN,NaN,NaN,23.54,2.03
