,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,5,-0.684,1.322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
1,1852,6,-0.582,1.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
2,1852,7,-0.796,1.442,-0.597,1.115,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
3,1852,8,-0.784,1.293,-0.623,1.073,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
4,1852,9,-0.663,1.347,-0.577,0.993,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
5,1852,10,-0.375,2.473,-0.453,0.950,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
6,1852,11,-0.737,2.498,-0.412,0.877,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
7,1852,12,-0.560,3.102,-0.375,0.791,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
8,1853,1,0.758,1.954,-0.349,0.771,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
9,1853,2,-0.406,1.383,-0.367,0.754,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
10,1853,3,-0.238,1.337,-0.364,0.788,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
11,1853,4,-0.368,1.323,-0.386,0.928,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
12,1853,5,-0.198,1.439,-0.351,0.958,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
13,1853,6,-0.133,1.760,-0.289,1.111,NaN,NaN,NaN,NaN,NaN,NaN,22.68,0.36
14,1853,7,-0.488,1.264,-0.338,1.141,-0.423,0.875,NaN,NaN,NaN,NaN,22.68,0.36
15,1853,8,-0.990,0.825,-0.367,1.409,-0.427,0.916,NaN,NaN,NaN,NaN,22.68,0.36
16,1853,9,-0.633,1.162,-0.397,1.515,-0.430,0.940,NaN,NaN,NaN,NaN,22.68,0.36
17,1853,10,-0.634,2.938,-0.468,1.430,-0.436,0.939,NaN,NaN,NaN,NaN,22.68,0.36
18,1853,11,-0.319,1.883,-0.490,1.457,-0.433,0.948,NaN,NaN,NaN,NaN,22.68,0.36
19,1853,12,0.184,1.935,-0.491,1.481,-0.438,0.953,NaN,NaN,NaN,NaN,22.68,0.36
20,1854,1,0.169,1.805,-0.466,1.387,-0.444,0.944,NaN,NaN,NaN,NaN,22.68,0.36
21,1854,2,-0.759,3.108,-0.416,1.436,-0.443,0.968,NaN,NaN,NaN,NaN,22.68,0.36
22,1854,3,-0.592,2.429,-0.395,1.429,-0.454,0.986,NaN,NaN,NaN,NaN,22.68,0.36
23,1854,4,-1.225,0.598,-0.362,1.235,-0.454,1.003,NaN,NaN,NaN,NaN,22.68,0.36
24,1854,5,-0.453,1.951,-0.415,1.084,-0.461,0.995,NaN,NaN,NaN,NaN,22.68,0.36
25,1854,6,-0.154,1.336,-0.459,1.051,-0.478,0.966,NaN,NaN,NaN,NaN,22.68,0.36
26,1854,7,-0.190,0.788,-0.428,0.908,-0.492,1.004,NaN,NaN,NaN,NaN,22.68,0.36
27,1854,8,-0.381,1.601,-0.378,0.895,-0.493,0.974,NaN,NaN,NaN,NaN,22.68,0.36
28,1854,9,-0.384,1.209,-0.350,0.823,-0.490,0.986,NaN,NaN,NaN,NaN,22.68,0.36
29,1854,10,-0.236,1.099,-0.318,0.892,-0.478,1.002,-0.558,0.825,NaN,NaN,22.68,0.36
30,1854,11,-0.956,1.143,-0.307,0.849,-0.484,1.009,-0.571,0.836,NaN,NaN,22.68,0.36
31,1854,12,-0.342,1.726,-0.329,0.764,-0.493,1.022,-0.575,0.840,NaN,NaN,22.68,0.36
32,1855,1,0.538,1.343,-0.356,0.690,-0.497,1.015,-0.570,0.836,NaN,NaN,22.68,0.36
33,1855,2,-0.166,3.365,-0.361,0.692,-0.502,1.029,-0.571,0.835,NaN,NaN,22.68,0.36
34,1855,3,-0.256,2.360,-0.385,0.662,-0.507,1.039,-0.569,0.825,NaN,NaN,22.68,0.36
35,1855,4,-0.834,1.087,-0.413,0.734,-0.513,1.024,-0.566,0.823,NaN,NaN,22.68,0.36
36,1855,5,-0.322,1.089,-0.366,0.831,-0.523,1.030,-0.564,0.805,NaN,NaN,22.68,0.36
37,1855,6,-0.418,0.927,-0.360,0.784,-0.522,1.040,-0.567,0.796,NaN,NaN,22.68,0.36
38,1855,7,-0.522,1.248,-0.368,0.923,-0.544,1.018,-0.568,0.799,NaN,NaN,22.68,0.36
39,1855,8,-0.432,1.900,-0.374,1.001,-0.548,1.013,-0.568,0.793,NaN,NaN,22.68,0.36
40,1855,9,-0.673,0.785,-0.413,1.173,-0.560,1.006,-0.569,0.782,NaN,NaN,22.68,0.36
41,1855,10,-0.569,1.752,-0.390,1.179,-0.571,0.993,-0.571,0.765,NaN,NaN,22.68,0.36
42,1855,11,-0.398,1.975,-0.407,1.194,-0.580,0.989,-0.573,0.750,NaN,NaN,22.68,0.36
43,1855,12,-0.272,1.394,-0.445,1.322,-0.596,0.987,-0.577,0.725,NaN,NaN,22.68,0.36
44,1856,1,0.448,1.872,-0.476,1.438,-0.602,0.978,-0.588,0.723,NaN,NaN,22.68,0.36
45,1856,2,-0.236,3.088,-0.525,1.506,-0.599,0.973,-0.593,0.724,NaN,NaN,22.68,0.36
46,1856,3,-0.726,2.835,-0.523,1.647,-0.600,0.960,-0.597,0.726,NaN,NaN,22.68,0.36
47,1856,4,-0.562,1.030,-0.497,1.641,-0.598,0.930,-0.602,0.725,NaN,NaN,22.68,0.36
48,1856,5,-0.525,1.133,-0.555,1.561,-0.608,0.912,-0.606,0.727,NaN,NaN,22.68,0.36
49,1856,6,-0.872,2.107,-0.612,1.505,-0.629,0.896,-0.603,0.717,NaN,NaN,22.68,0.36
50,1856,7,-0.894,1.152,-0.729,1.609,-0.643,0.876,-0.602,0.710,NaN,NaN,22.68,0.36
