,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-3.201,2.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
1,1814,2,-4.593,2.700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
2,1814,3,-2.781,2.230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
3,1814,4,1.796,1.859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
4,1814,5,-1.311,1.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
5,1814,6,-1.158,1.843,-1.058,1.153,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
6,1814,7,0.528,1.819,-0.942,1.122,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
7,1814,8,0.121,1.752,-0.202,1.031,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
8,1814,9,-1.856,1.871,0.237,0.970,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
9,1814,10,-2.457,1.817,0.124,0.968,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
10,1814,11,0.596,2.219,0.343,0.978,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
11,1814,12,1.617,1.992,0.524,0.967,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
12,1815,1,-1.804,2.054,0.380,0.950,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
13,1815,2,4.281,1.805,0.346,0.959,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
14,1815,3,2.488,1.725,0.398,0.972,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
15,1815,4,0.442,1.834,0.565,0.998,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
16,1815,5,1.314,1.898,0.397,0.947,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
17,1815,6,1.021,1.732,0.060,0.967,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
18,1815,7,-1.204,1.755,0.428,0.949,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
19,1815,8,-0.285,1.807,0.075,0.947,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
20,1815,9,-1.230,2.033,-0.091,0.936,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
21,1815,10,-0.451,2.152,-0.144,0.933,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
22,1815,11,-1.419,1.758,-0.264,0.925,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
23,1815,12,-2.428,1.897,-0.379,0.952,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
24,1816,1,2.606,2.028,-0.334,0.993,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
25,1816,2,0.047,1.868,-0.419,0.998,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
26,1816,3,0.498,1.848,-0.406,0.996,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
27,1816,4,-0.192,1.787,-0.477,0.985,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
28,1816,5,-0.130,1.814,-0.505,0.993,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
29,1816,6,-0.354,1.975,-0.360,0.969,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
30,1816,7,-0.667,2.084,-0.307,0.961,NaN,NaN,NaN,NaN,NaN,NaN,4.88,0.68
