,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1824,1,0.175,1.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
1,1824,2,-0.825,2.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
2,1824,3,0.275,1.080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
3,1824,4,0.415,0.985,-0.484,0.465,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
4,1824,5,0.112,1.214,-0.367,0.449,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
5,1824,6,0.091,2.044,-0.257,0.432,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
6,1824,7,0.185,1.580,-0.273,0.418,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
7,1824,8,-1.032,1.212,-0.207,0.453,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
8,1824,9,-1.031,2.289,-0.239,0.412,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
9,1824,10,-1.200,0.833,-0.262,0.456,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
10,1824,11,-0.236,0.930,-0.275,0.444,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
11,1824,12,-0.019,2.056,-0.285,0.455,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
12,1825,1,-0.011,1.842,-0.338,0.452,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
13,1825,2,-0.034,1.236,-0.339,0.497,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
14,1825,3,-0.109,1.279,-0.352,0.437,NaN,NaN,NaN,NaN,NaN,NaN,25.68,0.19
15,1825,4,0.143,1.029,-0.353,0.425,-0.455,0.446,NaN,NaN,NaN,NaN,25.68,0.19
16,1825,5,-0.053,1.170,-0.378,0.434,-0.445,0.452,NaN,NaN,NaN,NaN,25.68,0.19
17,1825,6,-0.022,1.251,-0.453,0.415,-0.412,0.446,NaN,NaN,NaN,NaN,25.68,0.19
18,1825,7,-0.452,1.862,-0.521,0.490,-0.403,0.436,NaN,NaN,NaN,NaN,25.68,0.19
19,1825,8,-1.048,2.227,-0.525,0.499,-0.379,0.434,NaN,NaN,NaN,NaN,25.68,0.19
20,1825,9,-1.181,2.030,-0.524,0.495,-0.374,0.434,NaN,NaN,NaN,NaN,25.68,0.19
21,1825,10,-1.217,0.944,-0.502,0.501,-0.362,0.449,NaN,NaN,NaN,NaN,25.68,0.19
22,1825,11,-0.535,2.044,-0.489,0.554,-0.352,0.457,NaN,NaN,NaN,NaN,25.68,0.19
23,1825,12,-0.911,1.197,-0.524,0.510,-0.344,0.468,NaN,NaN,NaN,NaN,25.68,0.19
24,1826,1,-0.832,1.349,-0.491,0.535,-0.340,0.468,NaN,NaN,NaN,NaN,25.68,0.19
