,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,9,-0.956,1.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
1,1852,10,-1.591,2.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
2,1852,11,-1.084,4.480,-0.836,1.242,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
3,1852,12,0.099,4.061,-0.836,1.195,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
4,1853,1,-0.774,1.129,-0.737,1.233,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
5,1853,2,-1.312,1.441,-0.696,1.245,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
6,1853,3,-0.307,2.436,-0.683,1.137,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
7,1853,4,-0.006,2.963,-0.570,0.996,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
8,1853,5,-0.223,4.135,-0.509,0.902,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
9,1853,6,-0.563,1.312,-0.573,0.886,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
10,1853,7,-0.435,1.842,-0.507,0.979,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
11,1853,8,-1.194,1.629,-0.413,1.011,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
12,1853,9,-0.802,1.362,-0.384,1.007,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
13,1853,10,-0.237,0.935,-0.482,0.908,NaN,NaN,NaN,NaN,NaN,NaN,29.22,0.58
14,1853,11,-0.351,1.564,-0.525,0.774,-0.611,0.724,NaN,NaN,NaN,NaN,29.22,0.58
15,1853,12,-0.671,0.835,-0.539,0.773,-0.587,0.710,NaN,NaN,NaN,NaN,29.22,0.58
16,1854,1,0.013,1.708,-0.536,0.776,-0.564,0.696,NaN,NaN,NaN,NaN,29.22,0.58
17,1854,2,-0.180,1.891,-0.462,0.811,-0.539,0.712,NaN,NaN,NaN,NaN,29.22,0.58
18,1854,3,0.035,2.270,-0.462,0.940,-0.524,0.722,NaN,NaN,NaN,NaN,29.22,0.58
19,1854,4,-1.179,1.545,-0.466,1.015,-0.523,0.746,NaN,NaN,NaN,NaN,29.22,0.58
20,1854,5,-0.734,1.548,-0.521,0.963,-0.505,0.760,NaN,NaN,NaN,NaN,29.22,0.58
21,1854,6,-0.730,1.380,-0.420,0.986,-0.490,0.758,NaN,NaN,NaN,NaN,29.22,0.58
22,1854,7,-0.406,2.524,-0.468,0.856,-0.483,0.777,NaN,NaN,NaN,NaN,29.22,0.58
23,1854,8,-0.298,1.668,-0.552,0.837,-0.491,0.741,NaN,NaN,NaN,NaN,29.22,0.58
24,1854,9,-0.811,2.640,-0.556,0.836,-0.496,0.725,NaN,NaN,NaN,NaN,29.22,0.58
25,1854,10,-0.283,1.499,-0.515,0.787,-0.464,0.738,NaN,NaN,NaN,NaN,29.22,0.58
26,1854,11,-1.003,1.244,-0.494,0.703,-0.487,0.751,NaN,NaN,NaN,NaN,29.22,0.58
27,1854,12,0.533,2.459,-0.500,0.632,-0.497,0.755,NaN,NaN,NaN,NaN,29.22,0.58
28,1855,1,-0.563,2.013,-0.611,0.603,-0.497,0.751,NaN,NaN,NaN,NaN,29.22,0.58
29,1855,2,-1.183,3.563,-0.628,0.612,-0.487,0.736,-0.735,0.772,NaN,NaN,29.22,0.58
30,1855,3,-0.010,1.495,-0.575,0.566,-0.494,0.724,-0.728,0.765,NaN,NaN,29.22,0.58
31,1855,4,-0.690,1.427,-0.627,0.644,-0.493,0.721,-0.716,0.770,NaN,NaN,29.22,0.58
32,1855,5,-0.489,1.033,-0.560,0.606,-0.506,0.758,-0.715,0.758,NaN,NaN,29.22,0.58
33,1855,6,-0.799,1.519,-0.587,0.563,-0.534,0.774,-0.717,0.766,NaN,NaN,29.22,0.58
34,1855,7,-1.737,1.753,-0.486,0.688,-0.530,0.772,-0.717,0.782,NaN,NaN,29.22,0.58
35,1855,8,-0.497,0.903,-0.329,0.736,-0.523,0.778,-0.721,0.780,NaN,NaN,29.22,0.58
36,1855,9,-0.180,1.432,-0.246,0.738,-0.551,0.776,-0.715,0.785,NaN,NaN,29.22,0.58
37,1855,10,-0.908,1.884,-0.197,0.863,-0.578,0.774,-0.709,0.783,NaN,NaN,29.22,0.58
38,1855,11,-0.201,1.020,-0.107,1.001,-0.591,0.747,-0.701,0.787,NaN,NaN,29.22,0.58
39,1855,12,0.214,1.301,-0.017,1.057,-0.603,0.755,-0.703,0.764,NaN,NaN,29.22,0.58
