,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1852,1,-0.362,1.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
1,1852,2,-1.055,3.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
2,1852,3,-0.603,1.698,-0.755,1.392,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
3,1852,4,-1.260,2.802,-0.767,1.437,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
4,1852,5,-0.590,1.739,-0.611,1.436,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
5,1852,6,-1.130,1.698,-0.571,1.358,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
6,1852,7,-1.054,1.814,-0.498,1.407,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
7,1852,8,-1.200,1.622,-0.479,1.427,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
8,1852,9,-0.449,1.991,-0.535,1.389,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
9,1852,10,0.304,2.562,-0.450,1.312,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
10,1852,11,0.305,2.630,-0.488,1.293,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
11,1852,12,0.238,3.056,-0.518,1.271,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
12,1853,1,0.514,2.488,-0.521,1.261,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
13,1853,2,-0.828,2.136,-0.478,1.246,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
14,1853,3,-1.271,1.507,-0.469,1.229,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
15,1853,4,-0.242,1.892,-0.563,1.335,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
16,1853,5,-1.043,1.669,-0.618,1.282,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
17,1853,6,-1.492,1.467,-0.684,1.330,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
18,1853,7,-1.094,1.689,-0.837,1.319,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
19,1853,8,-0.684,1.567,-0.979,1.466,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
20,1853,9,-0.331,2.153,-1.019,1.550,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
21,1853,10,-0.833,3.260,-1.096,1.470,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
22,1853,11,-0.352,1.804,-1.067,1.541,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
23,1853,12,-0.553,2.139,-1.054,1.605,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
24,1854,1,-1.328,1.751,-1.006,1.534,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
25,1854,2,-2.532,2.655,-0.965,1.605,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
26,1854,3,-1.748,2.316,-0.958,1.596,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
27,1854,4,-1.161,1.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
28,1854,5,-0.702,2.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
29,1854,6,-1.329,1.888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
30,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
31,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
32,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
33,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
34,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
35,1854,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
36,1855,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
37,1855,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
38,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
39,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
40,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
41,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
42,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
43,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
44,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
45,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
46,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
47,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
48,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
49,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
50,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
51,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
52,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
53,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
54,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
55,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
56,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
57,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
58,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
59,1856,12,-1.573,2.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
60,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
61,1857,2,0.271,1.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
62,1857,3,-0.401,2.296,-1.316,1.424,NaN,NaN,NaN,NaN,NaN,NaN,16.21,0.52
