,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1893,1,-1.800,1.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
1,1893,2,-1.727,1.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
2,1893,3,-1.285,1.026,-1.289,0.578,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
3,1893,4,-1.327,1.153,-1.306,0.547,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
4,1893,5,-1.288,1.093,-1.218,0.504,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
5,1893,6,-0.936,1.565,-1.124,0.475,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
6,1893,7,-1.321,2.223,-1.149,0.532,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
7,1893,8,-1.010,1.780,-1.135,0.602,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
8,1893,9,-0.606,0.835,-1.158,0.669,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
9,1893,10,-0.766,0.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
10,1893,11,-0.570,1.342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
11,1893,12,-0.858,1.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
12,1894,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
13,1894,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
14,1894,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
15,1894,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
16,1894,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
17,1894,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
18,1894,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
19,1894,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
20,1894,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
21,1894,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
22,1894,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
23,1894,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
24,1895,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
25,1895,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
26,1895,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
27,1895,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
28,1895,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
29,1895,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
30,1895,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
31,1895,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
32,1895,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
33,1895,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
34,1895,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
35,1895,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
36,1896,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
37,1896,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
38,1896,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.90,0.35
