,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-1.980,2.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
1,1864,1,-2.670,2.157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
2,1864,2,-0.990,2.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
3,1864,3,1.450,2.649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
4,1864,4,-1.410,2.253,-0.548,0.752,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
5,1864,5,0.015,1.836,-0.390,0.728,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
6,1864,6,-1.119,2.359,-0.223,0.755,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
7,1864,7,-0.789,2.057,0.078,0.784,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
8,1864,8,-0.266,1.607,0.122,0.803,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
9,1864,9,0.048,1.877,0.126,0.761,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
10,1864,10,1.321,2.224,0.136,0.777,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
11,1864,11,1.711,2.416,0.070,0.759,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
12,1864,12,0.025,1.894,0.183,0.784,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
13,1865,1,0.944,2.180,0.193,0.781,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
14,1865,2,-0.460,2.103,0.215,0.757,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
15,1865,3,1.491,1.896,0.128,0.721,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
16,1865,4,-1.292,1.573,0.190,0.692,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
17,1865,5,-0.777,1.751,0.078,0.647,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
18,1865,6,0.239,1.540,-0.019,0.643,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
19,1865,7,-0.673,2.147,-0.199,0.628,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
20,1865,8,0.002,2.228,-0.215,0.681,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
21,1865,9,-1.000,1.920,-0.319,0.744,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
22,1865,10,2.064,1.904,-0.234,0.796,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
23,1865,11,0.371,2.030,-0.113,0.711,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
24,1865,12,-1.137,1.675,-0.262,0.768,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
25,1866,1,-1.214,1.985,-0.122,0.721,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
26,1866,2,-0.653,1.777,-0.151,0.698,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
27,1866,3,0.243,1.764,-0.019,0.670,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
28,1866,4,-0.276,2.096,-0.215,0.692,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
29,1866,5,0.675,1.737,-0.362,0.691,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
30,1866,6,-1.543,1.852,-0.319,0.710,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
31,1866,7,1.008,1.781,-0.225,0.720,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
32,1866,8,-0.348,1.543,-0.325,0.743,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
33,1866,9,0.587,1.525,-0.365,0.756,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
34,1866,10,-0.295,1.578,-0.408,0.734,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
35,1866,11,-1.393,1.537,-0.521,0.787,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
36,1866,12,-0.624,1.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
37,1867,1,-0.078,1.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
38,1867,2,-1.856,2.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
39,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
40,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
41,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
42,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
43,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
44,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
45,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
46,1867,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
47,1867,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
48,1867,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
49,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
50,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
51,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
52,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
53,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
54,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
55,1868,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
56,1868,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
57,1868,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
58,1868,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
59,1868,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
60,1868,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
61,1869,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
62,1869,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
63,1869,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
64,1869,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
65,1869,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
66,1869,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
67,1869,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
68,1869,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
69,1869,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
70,1869,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
71,1869,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
72,1869,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
73,1870,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
74,1870,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
75,1870,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
76,1870,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
77,1870,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
78,1870,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
79,1870,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
80,1870,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
81,1870,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
82,1870,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
83,1870,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
84,1870,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
85,1871,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
86,1871,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
87,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
88,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
89,1871,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.18,0.26
