,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1863,12,-1.125,1.434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
1,1864,1,-1.890,1.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
2,1864,2,-0.420,1.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
3,1864,3,0.655,1.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
4,1864,4,-1.106,1.379,-0.592,0.614,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
5,1864,5,-0.434,1.383,-0.424,0.614,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
6,1864,6,0.774,1.301,-0.316,0.672,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
7,1864,7,-1.667,1.650,-0.090,0.739,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
8,1864,8,-1.176,1.337,-0.045,0.777,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
9,1864,9,-0.772,1.548,-0.015,0.791,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
10,1864,10,0.852,1.856,-0.038,0.746,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
11,1864,11,1.222,2.511,-0.094,0.707,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
12,1864,12,0.163,2.352,-0.174,0.693,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
13,1865,1,0.828,1.722,-0.105,0.713,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
14,1865,2,0.119,1.830,-0.064,0.719,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
15,1865,3,1.019,1.891,-0.107,0.698,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
16,1865,4,-1.385,1.400,-0.142,0.647,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
17,1865,5,-1.106,1.420,-0.251,0.603,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
18,1865,6,-0.190,1.424,-0.376,0.553,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
19,1865,7,-0.834,1.921,-0.498,0.593,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
20,1865,8,-0.679,1.206,-0.560,0.594,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
21,1865,9,-1.296,1.900,-0.647,0.580,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
22,1865,10,0.439,1.139,-0.580,0.580,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
23,1865,11,-0.088,1.818,-0.505,0.610,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
24,1865,12,-1.335,1.425,-0.614,0.601,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
25,1866,1,-0.636,1.580,-0.576,0.595,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
26,1866,2,-0.632,1.861,-0.611,0.594,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
27,1866,3,-0.018,1.957,-0.540,0.619,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
28,1866,4,-0.579,1.487,-0.598,0.638,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
29,1866,5,-0.217,1.448,-0.691,0.650,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
30,1866,6,-1.488,1.971,-0.651,0.674,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
31,1866,7,-0.385,1.360,-0.647,0.637,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
32,1866,8,-1.098,1.260,-0.696,0.630,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
33,1866,9,-0.446,1.595,-0.821,0.685,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
34,1866,10,-0.252,1.276,-0.813,0.726,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
35,1866,11,-1.205,1.792,-0.863,0.769,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
36,1866,12,-0.857,2.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
37,1867,1,-0.586,1.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
38,1867,2,-1.223,1.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
39,1867,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
40,1867,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
41,1867,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
42,1867,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
43,1867,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
44,1867,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
45,1867,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.57,0.34
