,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.069,1.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
1,1880,9,0.581,1.490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
2,1880,10,-0.288,0.983,-0.254,0.587,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
3,1880,11,-0.542,0.868,-0.182,0.547,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
4,1880,12,-0.166,1.762,-0.063,0.598,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
5,1881,1,-0.404,1.004,0.003,0.655,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
6,1881,2,-0.122,1.201,-0.003,0.628,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
7,1881,3,0.372,2.083,0.023,0.636,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
8,1881,4,-0.028,0.866,0.086,0.725,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
9,1881,5,-0.062,0.953,0.156,0.746,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
10,1881,6,0.202,1.404,0.153,0.673,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
11,1881,7,0.558,1.217,0.159,0.714,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
12,1881,8,NaN,NaN,0.136,0.785,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
13,1881,9,0.887,1.655,0.087,0.818,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
14,1881,10,0.476,1.319,0.040,0.874,NaN,NaN,NaN,NaN,NaN,NaN,20.51,0.49
15,1881,11,0.300,1.543,-0.014,0.888,-0.607,0.449,NaN,NaN,NaN,NaN,20.51,0.49
16,1881,12,-0.209,1.197,-0.045,0.897,-0.609,0.456,NaN,NaN,NaN,NaN,20.51,0.49
17,1882,1,-0.336,1.965,-0.190,0.875,-0.609,0.458,NaN,NaN,NaN,NaN,20.51,0.49
18,1882,2,-0.391,1.614,-0.248,0.894,-0.600,0.469,NaN,NaN,NaN,NaN,20.51,0.49
19,1882,3,-0.215,1.670,-0.295,0.921,-0.591,0.474,NaN,NaN,NaN,NaN,20.51,0.49
20,1882,4,-0.594,1.419,-0.408,0.943,-0.603,0.476,NaN,NaN,NaN,NaN,20.51,0.49
21,1882,5,-0.711,0.875,-0.569,0.871,-0.628,0.472,NaN,NaN,NaN,NaN,20.51,0.49
22,1882,6,-0.169,1.171,-0.637,0.896,-0.602,0.472,NaN,NaN,NaN,NaN,20.51,0.49
23,1882,7,-1.189,1.585,-0.653,0.889,-0.588,0.486,NaN,NaN,NaN,NaN,20.51,0.49
24,1882,8,-0.819,0.960,-0.699,0.921,-0.576,0.483,NaN,NaN,NaN,NaN,20.51,0.49
25,1882,9,0.314,1.479,-0.715,0.882,-0.567,0.489,NaN,NaN,NaN,NaN,20.51,0.49
26,1882,10,-0.875,1.566,-0.734,0.814,-0.551,0.494,NaN,NaN,NaN,NaN,20.51,0.49
27,1882,11,-1.639,0.906,-0.742,0.814,-0.543,0.502,NaN,NaN,NaN,NaN,20.51,0.49
28,1882,12,-1.018,1.671,-0.736,0.794,-0.526,0.520,NaN,NaN,NaN,NaN,20.51,0.49
29,1883,1,-0.531,1.698,-0.793,0.742,-0.519,0.538,NaN,NaN,NaN,NaN,20.51,0.49
30,1883,2,-0.944,1.709,-0.771,0.716,-0.523,0.552,-0.627,0.363,NaN,NaN,20.51,0.49
31,1883,3,-0.402,1.352,-0.801,0.677,-0.528,0.557,-0.633,0.368,NaN,NaN,20.51,0.49
32,1883,4,-0.824,1.085,-0.781,0.615,-0.520,0.574,-0.639,0.370,NaN,NaN,20.51,0.49
33,1883,5,-0.803,0.979,-0.725,0.684,-0.525,0.570,-0.641,0.372,NaN,NaN,20.51,0.49
34,1883,6,-0.107,0.935,-0.723,0.683,-0.529,0.544,-0.650,0.368,NaN,NaN,20.51,0.49
35,1883,7,-1.868,2.558,-0.805,0.650,-0.551,0.544,-0.650,0.368,NaN,NaN,20.51,0.49
36,1883,8,-0.559,0.782,-0.849,0.628,-0.572,0.543,-0.655,0.366,NaN,NaN,20.51,0.49
37,1883,9,-0.047,1.083,-0.921,0.600,-0.609,0.532,-0.666,0.361,NaN,NaN,20.51,0.49
38,1883,10,-0.631,0.901,-0.967,0.586,-0.645,0.510,-0.668,0.359,NaN,NaN,20.51,0.49
39,1883,11,-0.968,1.592,-1.053,0.585,-0.680,0.497,-0.672,0.355,NaN,NaN,20.51,0.49
40,1883,12,-0.998,1.204,-1.106,0.592,-0.709,0.488,-0.689,0.350,NaN,NaN,20.51,0.49
41,1884,1,-1.506,1.656,-0.994,0.555,-0.711,0.490,-0.687,0.347,NaN,NaN,20.51,0.49
42,1884,2,-1.476,1.142,-0.990,0.581,-0.709,0.500,-0.678,0.348,NaN,NaN,20.51,0.49
43,1884,3,-1.264,1.859,-0.975,0.589,-0.731,0.492,-0.663,0.352,NaN,NaN,20.51,0.49
44,1884,4,-1.373,1.193,-1.045,0.604,-0.743,0.490,-0.657,0.355,NaN,NaN,20.51,0.49
45,1884,5,-1.844,1.122,-1.159,0.594,-0.776,0.471,-0.645,0.363,NaN,NaN,20.51,0.49
46,1884,6,-0.741,0.949,-1.095,0.605,-0.807,0.448,-0.636,0.365,NaN,NaN,20.51,0.49
47,1884,7,-0.518,1.379,-1.012,0.670,-0.836,0.429,-0.622,0.372,NaN,NaN,20.51,0.49
48,1884,8,-0.514,1.194,-0.940,0.697,-0.880,0.406,-0.606,0.389,NaN,NaN,20.51,0.49
49,1884,9,0.132,2.258,-0.920,0.634,-0.916,0.389,-0.597,0.397,NaN,NaN,20.51,0.49
50,1884,10,-1.466,1.101,-0.839,0.675,-0.930,0.378,-0.588,0.413,NaN,NaN,20.51,0.49
51,1884,11,-2.340,0.992,-0.723,0.734,-0.955,0.383,-0.591,0.421,NaN,NaN,20.51,0.49
