,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,-1.771,2.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
4,1857,7,-0.368,2.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
6,1857,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
12,1858,3,-1.021,2.924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
13,1858,4,1.535,1.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
14,1858,5,0.403,1.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
15,1858,6,0.621,2.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
16,1858,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
17,1858,8,0.224,2.358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
18,1858,9,0.871,1.601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
20,1858,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
21,1858,12,-0.789,2.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
22,1859,1,-1.132,2.737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.74,0.34
