,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1857,3,1.102,2.781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
1,1857,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
2,1857,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
3,1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
4,1857,7,-0.489,1.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
5,1857,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
6,1857,9,0.643,2.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
7,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
8,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
9,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
10,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
11,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
12,1858,3,-0.684,1.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
13,1858,4,-1.638,2.657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
14,1858,5,-1.525,2.030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
15,1858,6,-0.089,1.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
16,1858,7,-0.381,1.581,-0.410,1.047,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
17,1858,8,0.841,2.907,-0.271,1.158,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
18,1858,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
19,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
20,1858,11,0.129,1.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.70,0.20
