,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1819,1,0.161,7.200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
1,1819,2,0.485,7.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
2,1819,3,0.870,7.406,0.686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
3,1819,4,0.511,8.358,0.790,5.360,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
4,1819,5,2.627,5.058,0.818,5.569,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
5,1819,6,2.765,7.427,0.876,5.696,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
6,1819,7,0.601,5.740,0.853,5.308,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
7,1819,8,0.829,7.853,1.010,5.285,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
8,1819,9,-0.752,6.928,0.898,5.061,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
9,1819,10,1.450,4.911,1.008,5.122,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
10,1819,11,1.161,6.299,0.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
11,1819,12,-0.199,2.812,0.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
12,1820,1,-0.111,3.837,0.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
13,1820,2,2.361,6.698,0.695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
14,1820,3,-0.471,5.174,0.699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
15,1820,4,1.833,5.570,0.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
16,1820,5,NaN,NaN,0.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
17,1820,6,0.603,7.432,0.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
18,1820,7,0.655,4.146,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
19,1820,8,0.565,6.647,0.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
20,1820,9,-0.705,5.981,0.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
21,1820,10,0.422,6.672,0.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
22,1820,11,-0.950,4.648,0.372,3.794,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
23,1820,12,-0.572,4.227,0.311,3.845,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
24,1821,1,1.440,7.579,0.075,3.679,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
25,1821,2,-0.683,5.818,-0.070,3.385,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
26,1821,3,0.677,8.054,-0.073,3.244,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
27,1821,4,1.741,4.828,-0.139,3.200,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
28,1821,5,NaN,NaN,-0.075,2.999,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
29,1821,6,-0.129,4.538,0.093,2.730,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
30,1821,7,-2.181,5.086,0.073,2.730,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
31,1821,8,-1.173,4.700,0.320,2.784,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
32,1821,9,-0.743,4.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
33,1821,10,-0.375,5.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
34,1821,11,-0.179,7.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
35,1821,12,1.440,6.275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
36,1822,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
37,1822,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
38,1822,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
39,1822,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
40,1822,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
41,1822,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
42,1822,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
43,1822,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
44,1822,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
45,1822,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
46,1822,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
47,1822,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
48,1823,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.11,0.20
