,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1818,1,2.064,7.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
1,1818,2,2.291,5.456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
2,1818,3,1.279,7.578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
3,1818,4,2.136,7.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
4,1818,5,2.208,6.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
5,1818,6,1.620,6.072,0.827,2.155,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
6,1818,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
7,1818,8,-1.560,4.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
8,1818,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
9,1818,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
10,1818,11,0.360,4.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
11,1818,12,-0.162,3.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
12,1819,1,NaN,NaN,1.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
13,1819,2,1.406,6.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
14,1819,3,0.590,5.652,1.240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
15,1819,4,0.938,8.770,1.371,4.467,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
16,1819,5,2.560,5.671,1.313,4.705,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
17,1819,6,4.017,7.507,1.304,4.870,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
18,1819,7,2.405,5.483,1.114,4.793,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
19,1819,8,NaN,NaN,1.183,4.833,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
20,1819,9,0.112,6.511,1.183,4.760,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
21,1819,10,1.015,6.129,1.150,4.790,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
22,1819,11,-0.331,7.739,1.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
23,1819,12,-0.271,3.883,0.574,NaN,0.909,NaN,NaN,NaN,NaN,NaN,8.66,0.32
24,1820,1,-0.501,4.911,0.536,NaN,0.982,NaN,NaN,NaN,NaN,NaN,8.66,0.32
25,1820,2,2.228,6.021,0.632,NaN,0.989,NaN,NaN,NaN,NaN,NaN,8.66,0.32
26,1820,3,0.590,4.994,0.698,NaN,0.994,NaN,NaN,NaN,NaN,NaN,8.66,0.32
27,1820,4,0.548,5.010,0.662,NaN,1.049,NaN,NaN,NaN,NaN,NaN,8.66,0.32
28,1820,5,NaN,NaN,0.705,NaN,1.044,NaN,NaN,NaN,NaN,NaN,8.66,0.32
29,1820,6,-1.610,8.514,0.768,NaN,1.014,NaN,NaN,NaN,NaN,NaN,8.66,0.32
30,1820,7,1.952,4.846,0.950,NaN,0.894,NaN,NaN,NaN,NaN,NaN,8.66,0.32
31,1820,8,2.583,5.411,0.766,NaN,0.872,NaN,NaN,NaN,NaN,NaN,8.66,0.32
32,1820,9,0.895,6.048,0.761,NaN,0.871,NaN,NaN,NaN,NaN,NaN,8.66,0.32
33,1820,10,0.591,6.072,0.983,NaN,0.842,NaN,NaN,NaN,NaN,NaN,8.66,0.32
34,1820,11,0.180,5.211,1.111,3.706,0.784,NaN,NaN,NaN,NaN,NaN,8.66,0.32
35,1820,12,0.482,4.972,1.146,3.764,0.707,NaN,NaN,NaN,NaN,NaN,8.66,0.32
36,1821,1,1.689,8.108,0.788,3.689,0.706,NaN,NaN,NaN,NaN,NaN,8.66,0.32
37,1821,2,0.014,6.126,0.347,3.619,0.755,NaN,NaN,NaN,NaN,NaN,8.66,0.32
38,1821,3,0.533,8.214,0.285,3.528,0.767,NaN,NaN,NaN,NaN,NaN,8.66,0.32
39,1821,4,NaN,NaN,0.270,3.536,0.808,NaN,NaN,NaN,NaN,NaN,8.66,0.32
40,1821,5,2.801,8.157,0.326,3.450,0.810,NaN,NaN,NaN,NaN,NaN,8.66,0.32
41,1821,6,-1.180,5.566,0.464,3.374,0.823,NaN,NaN,NaN,NaN,NaN,8.66,0.32
42,1821,7,-2.346,4.917,0.517,3.374,0.812,NaN,0.567,NaN,NaN,NaN,8.66,0.32
43,1821,8,-2.716,5.099,0.761,3.581,0.830,NaN,0.591,NaN,NaN,NaN,8.66,0.32
44,1821,9,0.154,4.703,0.953,3.715,0.857,NaN,0.589,NaN,NaN,NaN,8.66,0.32
45,1821,10,0.410,5.404,0.887,NaN,0.815,NaN,0.600,NaN,NaN,NaN,8.66,0.32
46,1821,11,0.850,5.367,0.831,NaN,0.755,NaN,0.606,NaN,NaN,NaN,8.66,0.32
47,1821,12,2.138,4.841,1.127,NaN,0.708,NaN,0.602,NaN,NaN,NaN,8.66,0.32
48,1822,1,2.330,5.507,1.685,NaN,0.653,NaN,0.573,NaN,NaN,NaN,8.66,0.32
49,1822,2,2.937,7.457,1.925,NaN,0.638,NaN,0.487,NaN,NaN,NaN,8.66,0.32
50,1822,3,2.843,5.263,2.039,NaN,0.670,NaN,0.506,NaN,NaN,NaN,8.66,0.32
51,1822,4,NaN,NaN,1.997,NaN,0.679,NaN,0.571,NaN,NaN,NaN,8.66,0.32
52,1822,5,NaN,NaN,1.966,1.719,0.676,NaN,0.606,NaN,NaN,NaN,8.66,0.32
53,1822,6,2.372,4.599,1.706,1.818,0.697,NaN,0.607,NaN,NaN,NaN,8.66,0.32
54,1822,7,4.359,6.451,1.085,1.872,0.719,NaN,0.633,NaN,NaN,NaN,8.66,0.32
55,1822,8,0.165,4.430,0.923,1.862,0.688,NaN,0.641,NaN,NaN,NaN,8.66,0.32
56,1822,9,1.519,4.877,0.786,1.911,0.671,NaN,0.641,NaN,NaN,NaN,8.66,0.32
57,1822,10,-0.099,4.636,0.614,2.025,0.690,NaN,0.677,NaN,NaN,NaN,8.66,0.32
58,1822,11,0.477,4.101,0.334,2.721,0.664,NaN,0.641,NaN,NaN,NaN,8.66,0.32
59,1822,12,-0.975,4.074,-0.115,2.725,0.640,NaN,0.654,NaN,NaN,NaN,8.66,0.32
60,1823,1,-5.123,5.135,-0.482,2.792,0.597,NaN,0.641,NaN,NaN,NaN,8.66,0.32
61,1823,2,0.993,5.130,-0.380,2.831,0.559,NaN,0.619,NaN,NaN,NaN,8.66,0.32
62,1823,3,1.202,5.075,-0.429,1.650,0.547,NaN,0.617,NaN,NaN,NaN,8.66,0.32
63,1823,4,0.363,5.384,-0.262,1.777,0.547,NaN,0.622,NaN,NaN,NaN,8.66,0.32
64,1823,5,-1.243,5.652,-0.258,1.874,0.556,NaN,0.611,NaN,NaN,NaN,8.66,0.32
65,1823,6,-3.011,4.529,-0.129,1.722,0.613,NaN,NaN,NaN,NaN,NaN,8.66,0.32
66,1823,7,-0.049,5.457,0.392,1.662,0.568,NaN,NaN,NaN,NaN,NaN,8.66,0.32
67,1823,8,1.383,5.052,0.520,1.717,0.586,NaN,NaN,NaN,NaN,NaN,8.66,0.32
68,1823,9,NaN,NaN,0.604,1.917,0.597,NaN,NaN,NaN,NaN,NaN,8.66,0.32
69,1823,10,NaN,NaN,0.438,1.785,0.528,NaN,NaN,NaN,NaN,NaN,8.66,0.32
70,1823,11,0.529,5.951,0.457,1.972,0.459,NaN,NaN,NaN,NaN,NaN,8.66,0.32
71,1823,12,0.568,5.663,0.809,2.192,0.462,NaN,NaN,NaN,NaN,NaN,8.66,0.32
72,1824,1,1.131,3.959,0.737,2.065,0.515,NaN,NaN,NaN,NaN,NaN,8.66,0.32
73,1824,2,2.527,5.079,0.667,2.068,0.571,NaN,NaN,NaN,NaN,NaN,8.66,0.32
74,1824,3,2.207,5.490,0.758,2.094,0.544,NaN,NaN,NaN,NaN,NaN,8.66,0.32
75,1824,4,NaN,NaN,0.729,3.862,0.535,NaN,NaN,NaN,NaN,NaN,8.66,0.32
76,1824,5,-1.015,5.094,0.643,3.836,0.510,1.295,NaN,NaN,NaN,NaN,8.66,0.32
77,1824,6,1.217,6.417,0.676,4.441,0.468,1.271,NaN,NaN,NaN,NaN,8.66,0.32
78,1824,7,-0.916,4.022,0.649,4.862,0.432,1.263,NaN,NaN,NaN,NaN,8.66,0.32
79,1824,8,0.536,5.133,0.471,5.146,0.290,1.242,NaN,NaN,NaN,NaN,8.66,0.32
80,1824,9,2.031,5.921,0.253,5.123,0.277,1.258,NaN,NaN,NaN,NaN,8.66,0.32
81,1824,10,1.554,5.269,0.526,5.363,0.276,1.259,NaN,NaN,NaN,NaN,8.66,0.32
82,1824,11,-0.497,6.242,0.587,5.446,0.311,1.292,NaN,NaN,NaN,NaN,8.66,0.32
83,1824,12,0.962,7.984,0.233,5.074,0.304,1.290,NaN,NaN,NaN,NaN,8.66,0.32
84,1825,1,0.813,8.723,0.256,5.128,0.284,1.268,NaN,NaN,NaN,NaN,8.66,0.32
85,1825,2,0.386,8.832,0.239,5.124,0.294,1.271,NaN,NaN,NaN,NaN,8.66,0.32
86,1825,3,-0.408,5.167,0.081,4.734,0.288,1.257,NaN,NaN,NaN,NaN,8.66,0.32
87,1825,4,1.643,4.999,0.003,4.564,0.304,NaN,NaN,NaN,NaN,NaN,8.66,0.32
88,1825,5,-0.278,5.662,0.104,4.410,0.238,NaN,NaN,NaN,NaN,NaN,8.66,0.32
89,1825,6,-3.031,3.144,0.350,3.972,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
90,1825,7,-0.638,4.268,0.198,3.279,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
91,1825,8,0.324,5.214,0.257,2.742,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
92,1825,9,0.136,3.132,0.387,2.624,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
93,1825,10,0.619,3.907,0.175,2.482,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
94,1825,11,0.722,5.600,0.089,2.205,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
95,1825,12,3.910,4.943,0.254,2.204,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
96,1826,1,-1.007,5.268,0.378,2.276,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
97,1826,2,1.085,6.538,0.404,2.253,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
98,1826,3,NaN,NaN,0.271,2.371,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
99,1826,4,-0.899,3.499,0.209,2.178,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
100,1826,5,-1.318,3.118,0.094,2.044,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
101,1826,6,-1.045,3.304,-0.263,1.935,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
102,1826,7,0.845,5.211,-0.163,2.215,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
103,1826,8,0.638,5.495,-0.718,2.111,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
104,1826,9,-1.452,4.872,-0.644,2.426,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
105,1826,10,-0.136,4.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
106,1826,11,-0.655,5.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
107,1826,12,-0.370,3.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
108,1827,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
109,1827,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
110,1827,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
111,1827,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
112,1827,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
113,1827,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
114,1827,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
115,1827,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
116,1827,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
117,1827,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
118,1827,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
119,1827,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
120,1828,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
121,1828,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
122,1828,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
123,1828,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
124,1828,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
125,1828,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
126,1828,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
127,1828,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
128,1828,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
129,1828,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
130,1828,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
131,1828,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
132,1829,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
133,1829,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
134,1829,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
135,1829,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
136,1829,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
137,1829,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
138,1829,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.66,0.32
