,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1880,8,-0.446,1.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
1,1880,9,0.650,1.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
2,1880,10,0.736,1.715,0.044,0.753,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
3,1880,11,-0.077,1.316,0.090,0.799,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
4,1880,12,-0.451,2.246,0.041,0.799,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
5,1881,1,-0.950,0.955,0.079,0.806,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
6,1881,2,-0.232,1.119,0.136,0.868,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
7,1881,3,0.322,1.606,0.101,0.844,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
8,1881,4,1.072,1.906,0.138,0.890,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
9,1881,5,0.398,1.360,0.164,0.922,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
10,1881,6,-0.583,1.108,0.172,0.838,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
11,1881,7,0.512,1.106,0.272,0.882,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
12,1881,8,0.239,1.064,0.284,0.885,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
13,1881,9,0.229,1.420,0.194,0.817,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
14,1881,10,1.177,2.504,0.122,0.801,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
15,1881,11,0.238,1.790,0.107,0.842,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
16,1881,12,-0.355,1.463,0.087,0.873,NaN,NaN,NaN,NaN,NaN,NaN,29.13,0.30
