,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1840,1,0.321,4.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
1,1840,2,3.244,5.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
2,1840,3,0.101,5.859,0.889,2.090,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
3,1840,4,1.089,3.772,0.694,2.076,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
4,1840,5,-0.760,4.186,0.483,1.914,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
5,1840,6,-0.138,5.116,-0.009,1.721,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
6,1840,7,-0.532,3.906,-0.251,1.676,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
7,1840,8,-0.321,3.952,-0.653,1.569,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
8,1840,9,0.402,3.448,-0.661,1.497,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
9,1840,10,-1.002,6.078,-0.666,1.468,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
10,1840,11,0.532,5.270,-0.390,1.436,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
11,1840,12,-3.038,4.005,-0.287,1.470,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
12,1841,1,-2.588,6.878,-0.350,1.476,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
13,1841,2,-1.576,3.790,-0.304,1.485,NaN,NaN,NaN,NaN,NaN,NaN,-2.86,0.21
14,1841,3,0.006,5.371,-0.333,1.475,0.285,1.602,NaN,NaN,NaN,NaN,-2.86,0.21
15,1841,4,1.019,6.953,-0.340,1.447,0.249,1.565,NaN,NaN,NaN,NaN,-2.86,0.21
16,1841,5,2.559,3.476,-0.579,1.451,0.283,1.561,NaN,NaN,NaN,NaN,-2.86,0.21
17,1841,6,1.093,3.593,0.037,1.424,0.346,1.542,NaN,NaN,NaN,NaN,-2.86,0.21
18,1841,7,-1.284,5.494,0.510,1.424,0.288,1.502,NaN,NaN,NaN,NaN,-2.86,0.21
19,1841,8,0.225,5.334,1.068,1.456,0.147,1.479,NaN,NaN,NaN,NaN,-2.86,0.21
20,1841,9,0.059,4.067,1.298,1.567,0.122,1.466,NaN,NaN,NaN,NaN,-2.86,0.21
21,1841,10,-1.084,7.510,1.152,1.636,0.212,1.474,NaN,NaN,NaN,NaN,-2.86,0.21
22,1841,11,-2.339,3.711,1.039,1.743,0.195,1.485,NaN,NaN,NaN,NaN,-2.86,0.21
23,1841,12,4.349,7.751,0.899,1.723,0.119,1.496,NaN,NaN,NaN,NaN,-2.86,0.21
