,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1867,1,-1.007,1.186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
1,1867,2,-0.216,1.148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
2,1867,3,-1.358,3.295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
3,1867,4,-0.734,1.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
4,1867,5,-0.728,1.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
5,1867,6,-0.782,2.505,-0.986,0.821,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
6,1867,7,-0.515,1.673,-1.025,0.930,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
7,1867,8,-0.814,1.834,-1.133,0.982,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
8,1867,9,-1.104,2.032,-1.060,1.113,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
9,1867,10,-0.046,1.166,-1.075,1.103,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
10,1867,11,-2.202,1.263,-1.039,1.101,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
11,1867,12,-2.330,1.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
12,1868,1,-1.473,1.756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
13,1868,2,-1.514,1.523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
14,1868,3,-0.480,1.708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
15,1868,4,-0.910,1.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
16,1868,5,-0.303,1.170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
17,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
18,1868,7,-0.263,1.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
19,1868,8,-0.834,2.430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
20,1868,9,-1.898,1.345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
21,1868,10,-1.116,2.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
22,1868,11,-1.391,2.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
23,1868,12,-1.600,2.308,-0.886,1.955,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
24,1869,1,-0.887,4.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
25,1869,2,-0.018,2.431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
26,1869,3,-1.047,2.254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
27,1869,4,-1.196,2.150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
28,1869,5,0.066,1.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
29,1869,6,-0.448,1.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
30,1869,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
31,1869,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
32,1869,9,-0.834,1.091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
33,1869,10,-1.283,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
34,1869,11,-1.398,2.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
35,1869,12,-1.105,3.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
36,1870,1,-0.990,1.379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
37,1870,2,-0.883,1.233,-0.718,0.790,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
38,1870,3,-1.364,1.120,-0.690,0.787,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
39,1870,4,-1.015,1.343,-0.620,0.818,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
40,1870,5,-0.392,1.822,-0.551,0.812,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
41,1870,6,0.343,1.046,-0.619,0.735,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
42,1870,7,0.056,1.327,-0.578,0.681,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
43,1870,8,0.244,1.628,-0.585,0.612,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
44,1870,9,-0.496,1.546,-0.505,0.708,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
45,1870,10,-0.444,1.245,-0.486,0.721,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
46,1870,11,-0.564,2.244,-0.479,0.673,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
47,1870,12,-1.923,1.987,-0.543,0.672,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
48,1871,1,-0.495,1.047,-0.529,0.648,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
49,1871,2,-0.967,1.853,-0.583,0.665,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
50,1871,3,-0.408,1.556,-0.602,0.611,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
51,1871,4,-0.782,1.196,-0.566,0.591,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
52,1871,5,-0.310,1.337,-0.598,0.634,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
53,1871,6,-0.423,1.324,-0.586,0.750,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
54,1871,7,0.216,1.307,-0.579,0.760,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
55,1871,8,-0.404,1.072,-0.571,0.812,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
56,1871,9,-0.717,1.549,-0.641,0.894,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
57,1871,10,-0.020,1.824,-0.669,0.888,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
58,1871,11,-0.946,1.860,-0.665,0.821,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
59,1871,12,-1.773,1.759,-0.692,0.722,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
60,1872,1,-0.410,1.294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
61,1872,2,-0.874,1.517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
62,1872,3,-1.245,1.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
63,1872,4,-1.120,1.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
64,1872,5,-0.259,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
65,1872,6,-0.745,1.392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.15,0.65
