,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1871,2,-0.221,1.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
1,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
2,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
3,1871,5,-0.728,1.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
4,1871,6,-0.544,2.450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
5,1871,7,-0.464,2.013,-0.287,1.026,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
6,1871,8,-0.735,2.033,-0.287,1.015,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
7,1871,9,0.085,2.096,-0.243,0.939,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
8,1871,10,-0.564,1.989,-0.233,0.937,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
9,1871,11,NaN,NaN,-0.230,0.897,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
10,1871,12,0.901,3.683,-0.224,0.814,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
11,1872,1,0.997,3.409,-0.233,0.772,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
12,1872,2,-0.214,1.738,-0.249,0.752,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
13,1872,3,-0.422,1.646,-0.255,0.757,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
14,1872,4,-0.438,1.609,-0.201,0.712,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
15,1872,5,-0.684,2.305,-0.190,0.735,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
16,1872,6,-0.481,2.250,-0.182,0.749,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
17,1872,7,-0.570,1.710,-0.230,0.697,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
18,1872,8,-0.931,2.269,-0.220,0.687,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
19,1872,9,0.014,1.758,-0.216,0.690,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
20,1872,10,0.094,2.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
21,1872,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
22,1872,12,1.002,4.342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
23,1873,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
24,1873,2,-0.094,2.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
25,1873,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
26,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
27,1873,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
28,1873,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
29,1873,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.00,0.61
