,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1871,2,-0.367,1.814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
1,1871,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
2,1871,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
3,1871,5,-0.082,1.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
4,1871,6,0.847,2.181,-0.565,0.802,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
5,1871,7,-1.216,2.030,-0.695,0.777,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
6,1871,8,-1.651,3.255,-0.702,0.839,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
7,1871,9,-1.383,1.934,-0.747,0.866,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
8,1871,10,-0.200,1.801,-0.738,0.872,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
9,1871,11,0.091,3.076,-0.735,0.876,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
10,1871,12,-1.164,2.470,-0.738,0.788,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
11,1872,1,-1.521,2.420,-0.743,0.773,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
12,1872,2,-0.458,3.314,-0.754,0.747,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
13,1872,3,-1.357,1.744,-0.718,0.749,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
14,1872,4,-0.764,1.273,-0.764,0.742,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
15,1872,5,-0.043,1.591,-0.874,0.816,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
16,1872,6,0.813,1.913,-0.940,0.889,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
17,1872,7,-1.278,2.085,-0.856,0.839,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
18,1872,8,-1.785,3.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
19,1872,9,-0.953,1.741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.53,1.04
