,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1750,1,-1.830,1.837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
1,1750,2,0.220,2.099,-0.391,0.798,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
2,1750,3,1.858,2.539,-0.340,0.820,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
3,1750,4,0.266,1.609,-0.315,0.822,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
4,1750,5,-0.785,1.603,-0.462,0.822,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
5,1750,6,0.092,1.691,-0.477,0.849,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
6,1750,7,0.686,1.733,-0.428,0.845,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
7,1750,8,0.312,1.596,-0.676,0.815,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
8,1750,9,-0.116,2.205,-0.768,0.775,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
9,1750,10,-1.444,1.577,-0.896,0.758,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
10,1750,11,-2.854,1.609,-0.914,0.728,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
11,1750,12,-2.132,1.752,-0.948,0.730,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
12,1751,1,-1.246,1.836,-0.964,0.696,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
13,1751,2,-2.756,1.822,-0.941,0.693,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
14,1751,3,0.761,1.646,-1.011,0.684,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
15,1751,4,-1.266,1.575,-1.029,0.692,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
16,1751,5,-1.008,1.665,-1.029,0.717,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
17,1751,6,-0.311,1.709,-1.017,0.746,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
18,1751,7,0.486,1.696,-0.992,0.740,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
19,1751,8,0.591,1.550,-0.684,0.741,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
20,1751,9,-0.958,1.525,-0.744,0.752,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
21,1751,10,-1.659,1.688,-0.727,0.728,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
22,1751,11,-2.854,1.742,-0.703,0.709,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
23,1751,12,-1.981,2.055,-0.541,0.685,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
24,1752,1,-0.951,1.777,-0.571,0.698,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
25,1752,2,0.940,1.841,-0.687,0.715,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
26,1752,3,0.046,1.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
27,1752,4,-1.060,1.604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
28,1752,5,-0.725,1.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
29,1752,6,1.633,1.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
30,1752,7,0.130,1.679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
31,1752,8,-0.800,1.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
33,1752,10,-0.857,1.636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
34,1752,11,-0.040,1.711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
35,1752,12,-0.827,1.900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
36,1753,1,-3.049,2.160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
37,1753,2,-0.656,2.992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
38,1753,3,1.085,2.091,-0.236,0.771,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
39,1753,4,-0.210,1.778,-0.187,0.776,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
40,1753,5,0.192,1.360,-0.314,0.783,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
41,1753,6,2.075,1.687,-0.259,0.949,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
42,1753,7,0.742,1.552,-0.109,1.153,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
43,1753,8,-1.070,1.931,-0.269,1.137,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
44,1753,9,-0.221,1.291,-0.639,1.046,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
45,1753,10,-0.266,1.527,-0.636,1.087,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
46,1753,11,-1.558,1.691,-0.580,1.106,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
47,1753,12,-0.172,5.067,-0.711,1.097,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
48,1754,1,-1.247,2.687,-0.837,1.074,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
49,1754,2,-2.575,2.894,-0.703,1.224,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
50,1754,3,-3.352,1.250,-0.726,1.324,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
51,1754,4,-0.182,1.670,-0.631,1.344,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
52,1754,5,0.870,1.504,-0.413,1.375,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
53,1754,6,0.500,1.556,-0.432,1.094,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
54,1754,7,-0.771,1.556,-0.715,0.938,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
55,1754,8,0.534,1.644,-0.784,0.863,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
56,1754,9,-0.491,1.990,-0.587,0.843,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
57,1754,10,0.875,1.763,-0.285,0.967,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
58,1754,11,1.060,2.526,-0.388,0.886,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
59,1754,12,-0.411,1.765,-0.229,0.901,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
60,1755,1,-4.642,1.457,-0.186,1.008,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
61,1755,2,-3.400,1.783,-0.345,0.986,NaN,NaN,NaN,NaN,NaN,NaN,10.55,0.16
62,1755,3,-0.985,1.512,-0.402,0.956,-0.383,0.625,NaN,NaN,NaN,NaN,10.55,0.16
63,1755,4,3.444,1.993,-0.533,0.887,-0.426,0.601,NaN,NaN,NaN,NaN,10.55,0.16
64,1755,5,-0.369,1.520,-0.676,0.971,-0.439,0.624,NaN,NaN,NaN,NaN,10.55,0.16
65,1755,6,2.409,2.167,-0.684,0.888,-0.458,0.621,NaN,NaN,NaN,NaN,10.55,0.16
66,1755,7,-0.260,2.751,-0.206,0.988,-0.468,0.615,NaN,NaN,NaN,NaN,10.55,0.16
67,1755,8,-1.367,1.606,0.186,0.891,-0.473,0.595,NaN,NaN,NaN,NaN,10.55,0.16
68,1755,9,-1.180,1.471,0.252,0.813,-0.492,0.587,NaN,NaN,NaN,NaN,10.55,0.16
69,1755,10,-0.697,1.292,-0.108,0.788,-0.504,0.600,NaN,NaN,NaN,NaN,10.55,0.16
70,1755,11,-0.649,2.683,-0.086,0.733,-0.496,0.611,NaN,NaN,NaN,NaN,10.55,0.16
71,1755,12,-0.515,1.487,-0.161,0.756,-0.518,0.620,NaN,NaN,NaN,NaN,10.55,0.16
72,1756,1,1.091,2.236,-0.151,0.749,-0.571,0.605,NaN,NaN,NaN,NaN,10.55,0.16
73,1756,2,1.306,4.590,-0.086,0.679,-0.567,0.622,NaN,NaN,NaN,NaN,10.55,0.16
74,1756,3,-0.194,3.016,0.049,0.680,-0.596,0.614,NaN,NaN,NaN,NaN,10.55,0.16
75,1756,4,-0.873,2.589,-0.019,0.685,-0.631,0.600,NaN,NaN,NaN,NaN,10.55,0.16
76,1756,5,-0.102,4.694,-0.181,0.647,-0.612,0.566,NaN,NaN,NaN,NaN,10.55,0.16
77,1756,6,1.503,2.138,-0.379,0.654,-0.615,0.547,NaN,NaN,NaN,NaN,10.55,0.16
78,1756,7,-0.137,7.614,-0.747,0.615,-0.576,0.545,NaN,NaN,NaN,NaN,10.55,0.16
79,1756,8,-0.586,3.387,-0.930,0.604,-0.515,0.546,NaN,NaN,NaN,NaN,10.55,0.16
80,1756,9,0.437,1.451,-0.997,0.624,-0.460,0.553,NaN,NaN,NaN,NaN,10.55,0.16
81,1756,10,-1.508,10.366,-0.912,0.615,-0.457,0.556,NaN,NaN,NaN,NaN,10.55,0.16
82,1756,11,-2.599,1.519,-0.835,0.757,-0.471,0.555,NaN,NaN,NaN,NaN,10.55,0.16
83,1756,12,-2.882,2.466,-0.822,0.699,-0.478,0.539,NaN,NaN,NaN,NaN,10.55,0.16
