,Year,Month,MonthlyAnomaly,MonthlyUnc,AnnualAnomaly,AnnualUnc,FiveYearsAnomaly,FiveYearsUnc,TenYearsAnomaly,TenYearsUnc,TwentyYearsAnomaly,TwentyYearsUnc,absoluteTemp,absoluteTempUnc
0,1814,1,-2.631,2.364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
1,1814,2,-4.813,2.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
2,1814,3,-3.202,1.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
3,1814,4,1.355,1.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
4,1814,5,-2.397,1.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
5,1814,6,-1.946,3.123,-1.560,1.215,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
6,1814,7,-0.556,1.583,-1.567,1.194,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
7,1814,8,-1.428,1.850,-1.057,1.144,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
8,1814,9,-2.370,3.980,-0.622,1.150,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
9,1814,10,-2.233,1.474,-0.676,1.128,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
10,1814,11,0.427,1.849,-0.410,1.124,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
11,1814,12,1.072,1.567,-0.332,0.994,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
12,1815,1,-2.710,1.877,-0.497,1.045,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
13,1815,2,1.302,1.631,-0.562,0.985,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
14,1815,3,2.023,1.714,-0.453,1.078,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
15,1815,4,0.704,1.786,-0.273,1.142,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
16,1815,5,0.796,1.953,-0.430,1.111,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
17,1815,6,-1.005,1.659,-0.725,1.098,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
18,1815,7,-2.539,2.053,-0.515,1.102,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
19,1815,8,-2.217,1.422,-0.789,1.139,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
20,1815,9,-1.053,1.530,-1.127,1.107,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
21,1815,10,-0.074,1.952,-1.221,1.140,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
22,1815,11,-1.460,1.674,-1.414,1.202,NaN,NaN,NaN,NaN,NaN,NaN,15.17,0.33
